	 Date	 Team	 Acquired	 Relinquished	 Notes
0	2006-12-22	 Maple Leafs	 	 • Kyle Wellwood	 groin injury (DTD)
1	2007-02-11	 Maple Leafs	 	 • Kyle Wellwood	 sports hernia (out 4-6 weeks)
2	2007-03-10	 Maple Leafs	 • Kyle Wellwood	 	 returned to lineup
3	2007-03-16	 Maple Leafs	 	 • Kyle Wellwood	 general soreness (DTD)
4	2007-03-17	 Maple Leafs	 • Kyle Wellwood	 	 returned to lineup
5	2007-09-23	 Maple Leafs	 	 • Kyle Wellwood	 groin injury (out indefinitely)
6	2007-11-06	 Maple Leafs	 • Kyle Wellwood	 	 returned to lineup
7	2008-04-01	 Maple Leafs	 	 • Kyle Wellwood	 surgery on groin (DTD)
8	2009-02-07	 Canucks	 	 • Kyle Wellwood	 flu (DTD)
9	2009-02-12	 Canucks	 • Kyle Wellwood	 	 returned to lineup
10	2009-10-25	 Canucks	 	 • Kyle Wellwood	 broken right big toe (DTD)
11	2009-11-01	 Canucks	 • Kyle Wellwood	 	 returned to lineup
12	2012-02-07	 Jets	 	 • Kyle Wellwood	 flu-like symptoms (DTD)
13	2012-02-11	 Jets	 • Kyle Wellwood	 	 returned to lineup
14	2012-04-02	 Jets	 	 • Kyle Wellwood	 fractured left foot (out for season)
15	2013-04-23	 Jets	 	 • Kyle Wellwood	 hand injury (out for season)
