	 Date	 Team	 Acquired	 Relinquished	 Notes
0	2005-12-19	 Flames	 	 • Stephane Yelle	 ankle injury (DTD)
1	2006-01-06	 Flames	 • Stephane Yelle	 	 returned to lineup
2	2006-10-20	 Flames	 	 • Stephane Yelle	 hairline fracture in leg (out indefinitely)
3	2006-12-16	 Flames	 • Stephane Yelle	 	 returned to lineup
4	2007-03-15	 Flames	 	 • Stephane Yelle	 undisclosed injury (DTD)
5	2007-03-20	 Flames	 • Stephane Yelle	 	 returned to lineup
6	2007-11-29	 Flames	 	 • Stephane Yelle	 groin injury (DTD)
7	2007-12-11	 Flames	 • Stephane Yelle	 	 returned to lineup
8	2008-04-05	 Flames	 	 • Stephane Yelle	 leg injury (DTD)
9	2008-04-09	 Flames	 • Stephane Yelle	 	 returned to lineup
10	2009-03-08	 Bruins	 	 • Stephane Yelle	 upper body injury (DTD)
11	2009-03-19	 Bruins	 • Stephane Yelle	 	 returned to lineup
12	2009-11-13	 Hurricanes	 	 • Stephane Yelle	 lower body injury (DTD)
13	2009-11-15	 Hurricanes	 • Stephane Yelle	 	 returned to lineup
14	2010-03-16	 Avalanche	 	 • Stephane Yelle	 leg injury (DTD)
15	2010-04-02	 Avalanche	 • Stephane Yelle	 	 returned to lineup
