	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh	empty1	corsi_for	corsi_against	corsi_pct	fenwick_for	fenwick_against	fenwick_pct	faceoff_wins	faceoff_losses	faceoff_percentage	zs_offense_pct	pdo
0	2009-10-03		Tampa Bay Lightning	6	3	W			28	24	1		0		39	36	1		0		41	55	42.7	35	43	44.9	26	21	55.3	41.3	115.1
1	2009-10-08	@	St. Louis Blues	4	2	W			22	6	1		0		31	4	0		0		30	41	42.3	21	38	35.6	22	16	57.9	47.8	110.8
2	2009-10-10	@	Ottawa Senators	2	4	L			28	13	0		0		34	13	1		0		43	46	48.3	33	37	47.1	24	26	48.0	51.4	98.3
3	2009-10-16	@	New Jersey Devils	4	2	W			19	19	2		1		30	13	0		0		22	47	31.9	13	37	26.0	20	20	50.0	26.5	102.0
4	2009-10-17	@	Buffalo Sabres	4	2	W			27	12	2		0		42	10	1		0		33	50	39.8	28	38	42.4	26	22	54.2	47.1	105.7
5	2009-10-20	@	Montreal Canadiens	1	2	L	SO		23	29	0		0		35	14	0		0		53	48	52.5	31	30	50.8	16	17	48.5	46.5	98.7
6	2009-10-22		Washington Capitals	4	5	L			26	14	2		1		28	16	0		0		32	34	48.5	23	23	50.0	18	20	47.4	47.5	78.9
7	2009-10-24		San Jose Sharks	3	4	L			27	13	1		0		24	13	2		0		42	39	51.9	25	30	45.5	17	28	37.8	55.6	100.9
8	2009-10-29		Washington Capitals	3	4	L			41	10	1		0		32	4	2		0		53	44	54.6	45	29	60.8	23	22	51.1	50.0	97.2
9	2009-10-31	@	Ottawa Senators	3	1	W			21	8	0		0		51	4	1		0		38	65	36.9	28	52	35.0	35	20	63.6	27.1	115.8
10	2009-11-03	@	Montreal Canadiens	5	4	W			30	8	1		0		38	10	0		0		47	50	48.5	33	42	44.0	20	15	57.1	23.8	103.1
11	2009-11-05		Columbus Blue Jackets	3	4	L			35	4	2		0		21	16	0		0		41	28	59.4	30	24	55.6	19	23	45.2	59.0	81.5
12	2009-11-07	@	New York Islanders	3	6	L			34	8	0		0		45	8	1		0		50	58	46.3	37	45	45.1	25	19	56.8	44.9	98.1
13	2009-11-08		St. Louis Blues	3	2	W	SO		40	8	0		0		32	12	1		0		49	37	57.0	37	32	53.6	17	24	41.5	63.5	102.3
14	2009-11-12	@	New York Rangers	5	3	W			27	22	2		0		36	22	1		0		43	43	50.0	30	37	44.8	24	30	44.4	26.6	107.1
15	2009-11-13		Los Angeles Kings	7	0	W			21	34	1		1		38	43	0		0		29	50	36.7	21	39	35.0	22	25	46.8	30.5	127.8
16	2009-11-15		Edmonton Oilers	3	2	W			30	10	2		0		36	6	0		0		38	43	46.9	33	38	46.5	22	13	62.9	35.0	97.5
17	2009-11-19		Boston Bruins	3	4	L	SO		35	4	1		0		42	14	1		0		46	55	45.5	34	43	44.2	22	25	46.8	55.3	103.1
18	2009-11-21		Pittsburgh Penguins	2	3	L			33	26	0		1		34	16	1		0		46	47	49.5	36	36	50.0	32	20	61.5	58.3	95.6
19	2009-11-22		Tampa Bay Lightning	3	4	L	OT		31	14	0		0		40	10	1		0		36	41	46.8	30	35	46.2	27	21	56.3	53.6	100.4
20	2009-11-25	@	Detroit Red Wings	2	0	W			25	6	1		0		40	8	0		0		29	49	37.2	23	38	37.7	19	23	45.2	30.3	105.6
21	2009-11-27	@	Carolina Hurricanes	6	4	W			34	10	0		0		36	4	0		1		44	49	47.3	35	33	51.5	28	31	47.5	51.3	109.2
22	2009-11-28		Philadelphia Flyers	1	0	W			18	33	1		0		34	32	0		0		35	42	45.5	23	32	41.8	23	22	51.1	43.8	100.0
23	2009-11-30		Florida Panthers	4	3	W			35	6	0		0		28	2	1		0		54	37	59.3	38	29	56.7	24	13	64.9	33.3	104.6
24	2009-12-03		New York Islanders	1	4	L			27	6	0		0		27	4	1		0		37	49	43.0	25	35	41.7	25	21	54.3	64.5	91.6
25	2009-12-05	@	Florida Panthers	2	1	W	SO		37	17	0		0		31	30	1		0		56	33	62.9	42	26	61.8	26	19	57.8	54.3	103.3
26	2009-12-07	@	Toronto Maple Leafs	2	5	L			24	8	1		0		28	4	0		0		42	54	43.8	30	40	42.9	21	22	48.8	40.7	82.0
27	2009-12-09	@	Calgary Flames	1	3	L			25	15	0		0		32	13	0		0		38	50	43.2	32	38	45.7	20	15	57.1	49.1	92.8
28	2009-12-10	@	Vancouver Canucks	2	4	L			24	26	1		0		38	20	0		0		27	52	34.2	24	43	35.8	17	28	37.8	42.6	92.5
29	2009-12-12		Montreal Canadiens	4	3	W	OT		34	18	1		0		19	24	1		0		52	22	70.3	37	16	69.8	21	14	60.0	68.1	88.5
30	2009-12-14	@	New York Rangers	3	2	W	SO		27	10	1		1		48	6	2		0		41	58	41.4	29	44	39.7	27	28	49.1	30.7	100.0
31	2009-12-16	@	Florida Panthers	3	4	L			23	8	0		0		29	4	0		0		46	37	55.4	27	30	47.4	22	24	47.8	42.6	100.4
32	2009-12-17		Dallas Stars	6	5	W	OT		25	8	3		1		47	8	2		1		34	57	37.4	22	44	33.3	28	25	52.8	29.6	106.6
33	2009-12-19		New Jersey Devils	4	5	L			26	4	1		0		42	4	1		0		49	53	48.0	36	45	44.4	28	29	49.1	38.2	102.2
34	2009-12-21		Montreal Canadiens	3	4	L	OT		50	6	1		0		23	12	2		0		56	30	65.1	46	23	66.7	31	17	64.6	46.3	93.1
35	2009-12-23	@	Boston Bruins	4	6	L			29	10	0		0		31	8	3		0		43	31	58.1	30	24	55.6	23	25	47.9	57.0	104.5
36	2009-12-26	@	Tampa Bay Lightning	3	4	L			27	13	0		0		34	17	0		0		50	47	51.5	34	36	48.6	27	32	45.8	40.2	98.7
37	2009-12-28	@	New Jersey Devils	2	3	L			26	14	0		0		26	22	1		0		35	30	53.8	27	28	49.1	18	20	47.4	45.5	99.3
38	2009-12-30	@	Boston Bruins	0	4	L			18	10	0		0		30	8	1		0		37	32	53.6	24	26	48.0	18	16	52.9	44.9	82.4
39	2010-01-01	@	Buffalo Sabres	3	4	L	OT		35	8	1		0		23	14	0		0		38	38	50.0	34	27	55.7	21	18	53.8	38.1	85.8
40	2010-01-02	@	New York Islanders	5	6	L	SO		27	10	1		0		36	12	0		0		41	51	44.6	26	41	38.8	18	26	40.9	18.0	105.4
41	2010-01-05	@	Pittsburgh Penguins	2	5	L			33	8	0		0		37	4	1		0		55	42	56.7	43	37	53.8	28	19	59.6	50.0	92.7
42	2010-01-07		New York Rangers	2	1	W	SO		32	14	0		0		30	12	0		0		47	42	52.8	32	32	50.0	24	28	46.2	50.5	100.0
43	2010-01-09		Washington Capitals	1	8	L			39	6	0		0		37	6	2		1		60	46	56.6	48	36	57.1	33	29	53.2	60.9	87.2
44	2010-01-12		Ottawa Senators	6	1	W			28	39	1		0		31	32	0		0		38	42	47.5	30	34	46.9	25	24	51.0	37.6	116.3
45	2010-01-14		Buffalo Sabres	1	2	L	OT		33	16	1		0		32	16	1		0		43	29	59.7	35	22	61.4	23	14	62.2	53.6	94.7
46	2010-01-16	@	Carolina Hurricanes	5	3	W			37	8	0		0		32	6	2		0		56	59	48.7	44	38	53.7	30	31	49.2	32.8	110.1
47	2010-01-18	@	Florida Panthers	0	1	L			27	8	0		0		24	6	0		0		53	30	63.9	38	25	60.3	15	18	45.5	50.0	93.8
48	2010-01-19		Toronto Maple Leafs	4	3	W			32	12	1		0		40	16	0		0		26	47	35.6	24	36	40.0	13	15	46.4	37.5	105.3
49	2010-01-21		Carolina Hurricanes	2	5	L			34	10	0		0		22	14	3		0		47	23	67.1	33	16	67.3	24	20	54.5	62.2	89.8
50	2010-01-23	@	Tampa Bay Lightning	1	2	L	SO		38	22	0		0		26	26	1		0		56	32	63.6	44	25	63.8	25	28	47.2	68.9	103.4
51	2010-01-26		Anaheim Ducks	2	1	W			34	13	1		0		35	13	0		0		42	49	46.2	35	32	52.2	18	20	47.4	29.4	99.8
52	2010-01-28	@	Philadelphia Flyers	4	3	W			28	13	0		0		37	15	0		0		42	42	50.0	34	33	50.7	26	31	45.6	51.4	105.6
53	2010-01-30	@	Nashville Predators	3	4	L			26	10	1		1		31	10	0		0		39	42	48.1	28	35	44.4	24	24	50.0	67.8	89.5
54	2010-02-02		Tampa Bay Lightning	1	2	L			27	8	0		0		24	8	0		0		50	35	58.8	31	25	55.4	15	25	37.5	62.7	93.2
55	2010-02-05	@	Washington Capitals	2	5	L			45	17	0		1		32	13	1		0		53	58	47.7	41	42	49.4	29	20	59.2	54.5	88.3
56	2010-02-06		Florida Panthers	4	2	W			34	26	1		0		28	30	0		0		51	35	59.3	37	28	56.9	19	9	67.9	70.7	102.5
57	2010-02-10	@	Colorado Avalanche	3	4	L	OT		36	10	0		0		35	10	0		0		46	47	49.5	34	39	46.6	18	23	43.9	20.8	97.7
58	2010-02-12	@	Minnesota Wild	3	2	W			24	8	1		0		38	16	1		0		44	54	44.9	31	41	43.1	30	25	54.5	30.4	107.5
59	2010-02-13	@	Chicago Blackhawks	4	5	L	SO		27	14	1		0		40	12	1		1		27	55	32.9	24	43	35.8	24	16	60.0	30.0	110.6
60	2010-03-02		Florida Panthers	4	2	W			39	16	1		0		36	10	1		0		46	34	57.5	33	32	50.8	21	11	65.6	50.0	107.5
61	2010-03-04		New York Islanders	6	3	W			22	10	1		0		37	6	2		0		32	37	46.4	25	29	46.3	25	14	64.1	35.3	122.1
62	2010-03-06	@	Tampa Bay Lightning	2	6	L			31	17	0		0		30	29	1		0		43	36	54.4	33	31	51.6	20	18	52.6	36.8	90.3
63	2010-03-07		Carolina Hurricanes	0	4	L			27	16	0		0		33	8	2		0		36	34	51.4	26	23	53.1	15	24	38.5	62.5	90.0
64	2010-03-09		Nashville Predators	1	2	L			31	4	0		0		32	4	1		0		50	49	50.5	38	40	48.7	17	20	45.9	37.5	100.4
65	2010-03-11	@	Columbus Blue Jackets	1	2	L			29	10	0		0		21	6	1		0		43	28	60.6	34	17	66.7	17	17	50.0	65.9	96.7
66	2010-03-12		New York Rangers	2	5	L			31	14	1		0		35	10	2		0		42	40	51.2	32	30	51.6	19	24	44.2	52.2	91.0
67	2010-03-14		Phoenix Coyotes	2	3	L	SO		41	8	2		0		34	16	1		0		33	29	53.2	27	23	54.0	23	14	62.2	51.6	94.7
68	2010-03-16		Buffalo Sabres	4	3	W			26	12	0		0		32	14	1		0		38	50	43.2	31	35	47.0	24	19	55.8	32.3	110.0
69	2010-03-18		Ottawa Senators	6	3	W			27	10	2		0		39	14	0		0		37	54	40.7	28	40	41.2	25	23	52.1	29.3	108.3
70	2010-03-20		Philadelphia Flyers	5	2	W			28	20	0		0		27	18	0		0		41	49	45.6	32	32	50.0	27	27	50.0	42.0	110.5
71	2010-03-21	@	Philadelphia Flyers	3	1	W			31	11	0		0		45	11	0		0		34	67	33.7	27	48	36.0	22	25	46.8	29.0	109.5
72	2010-03-23		Boston Bruins	0	4	L			27	9	0		0		33	9	0		0		46	53	46.5	34	41	45.3	20	21	48.8	50.0	86.2
73	2010-03-25		Toronto Maple Leafs	1	2	L	OT		20	10	1		0		30	10	0		0		49	55	47.1	30	41	42.3	22	25	46.8	50.3	92.6
74	2010-03-27	@	Carolina Hurricanes	4	0	W			43	8	1		0		34	6	0		0		51	62	45.1	43	48	47.3	33	14	70.2	35.1	109.4
75	2010-03-29		Carolina Hurricanes	1	4	L			27	25	1		0		22	19	0		0		43	37	53.8	26	22	54.2	31	21	59.6	45.6	77.8
