	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh	empty1	corsi_for	corsi_against	corsi_pct	fenwick_for	fenwick_against	fenwick_pct	faceoff_wins	faceoff_losses	faceoff_percentage	zs_offense_pct	pdo
0	2018-10-03	@	Washington Capitals	0	7	L			25	32	0	2	0		37	14	4	6	0		45	41	52.3	31	31	50.0	32	16	66.7	39.3	87.0
1	2018-10-04	@	Buffalo Sabres	4	0	W			26	6	1	1	1		32	4	0	2	0		38	58	39.6	32	46	41.0	24	37	39.3	32.6	108.7
2	2018-10-08		Ottawa Senators	6	3	W			30	8	1	2	0		31	6	0	3	0		45	43	51.1	32	36	47.1	21	33	38.9	55.2	108.5
3	2018-10-11		Edmonton Oilers	4	1	W			32	11	2	4	0		26	15	0	2	0		43	36	54.4	37	25	59.7	26	16	61.9	45.5	101.9
4	2018-10-13		Detroit Red Wings	8	2	W			39	14	1	3	0		34	14	1	3	1		56	38	59.6	45	29	60.8	30	28	51.7	68.8	119.4
5	2018-10-17	@	Calgary Flames	2	5	L			26	8	0	4	0		29	8	0	4	0		47	50	48.5	35	32	52.2	18	20	47.4	45.8	89.1
6	2018-10-18	@	Edmonton Oilers	2	3	L	OT		29	8	0	3	0		22	10	1	2	0		51	43	54.3	36	32	52.9	20	22	47.6	60.7	96.9
7	2018-10-20	@	Vancouver Canucks	1	2	L	OT		31	7	0	3	0		22	11	0	1	0		48	40	54.5	39	33	54.2	24	22	52.2	55.2	95.1
8	2018-10-23	@	Ottawa Senators	4	1	W			32	15	2	2	0		39	9	1	5	0		53	52	50.5	38	35	52.1	29	17	63.0	58.6	107.4
9	2018-10-25		Philadelphia Flyers	3	0	W			25	12	2	5	0		26	26	0	3	0		33	38	46.5	21	28	42.9	12	24	33.3	56.0	106.3
10	2018-10-27		Montreal Canadiens	0	3	L			33	8	0	3	0		23	8	0	3	0		47	35	57.3	37	28	56.9	28	32	46.7	67.4	85.0
11	2018-10-30	@	Carolina Hurricanes	3	2	W			31	8	2	5	0		44	10	2	4	0		47	59	44.3	34	50	40.5	20	27	42.6	42.4	105.0
