	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh
0	2006-10-06		Vancouver Canucks	2	3	L	OT		20	8	2		0		44	10	1		0
1	2006-10-07	@	Chicago Blackhawks	5	4	W			24	18	3		0		22	20	2		0
2	2006-10-09		Phoenix Coyotes	5	1	W			29	20	3		0		24	28	0		0
3	2006-10-14	@	Minnesota Wild	0	5	L			24	26	0		0		30	18	2		0
4	2006-10-20		Toronto Maple Leafs	2	4	L			25	10	0		0		27	16	1		0
5	2006-10-21	@	Pittsburgh Penguins	3	5	L			39	27	2		0		34	41	3		2
6	2006-10-23		San Jose Sharks	0	3	L			23	23	0		0		32	21	2		0
7	2006-10-27		Los Angeles Kings	2	0	W			14	16	0		0		38	10	0		0
8	2006-10-28	@	New Jersey Devils	0	1	L			22	27	0		0		21	15	0		0
9	2006-11-01		Colorado Avalanche	3	5	L			44	8	1		0		22	18	1		0
10	2006-11-03		Calgary Flames	5	4	W	SO		37	21	4		0		32	29	1		1
11	2006-11-04	@	Detroit Red Wings	1	4	L			17	16	1		0		37	20	0		1
12	2006-11-09	@	St. Louis Blues	4	2	W			29	24	1		1		26	22	1		0
13	2006-11-10		Edmonton Oilers	1	4	L			27	33	1		0		29	36	0		0
14	2006-11-12	@	Chicago Blackhawks	0	1	L			28	8	0		0		19	18	0		0
15	2006-11-15		Nashville Predators	4	5	L			33	10	0		0		30	10	1		1
16	2006-11-17		Colorado Avalanche	0	3	L			25	14	0		0		28	14	1		0
17	2006-11-18	@	Nashville Predators	2	4	L			30	37	1		0		25	21	3		0
18	2006-11-20		Nashville Predators	1	3	L			24	17	0		0		23	11	1		0
19	2006-11-22		St. Louis Blues	3	4	L	SO		32	11	1		0		38	19	0		0
20	2006-11-24	@	Philadelphia Flyers	2	3	L			41	10	1		0		22	12	1		0
21	2006-11-25		Minnesota Wild	5	3	W			33	10	1		0		22	10	1		0
22	2006-11-28	@	Vancouver Canucks	0	1	L			24	12	0		0		33	16	0		0
23	2006-12-01	@	Calgary Flames	1	2	L			19	8	1		0		31	10	0		0
24	2006-12-02	@	Edmonton Oilers	4	0	W			23	10	1		0		21	6	0		0
25	2006-12-05	@	Colorado Avalanche	3	0	W			21	8	0		0		42	4	0		0
26	2006-12-09	@	St. Louis Blues	5	1	W			24	16	1		0		25	18	1		0
27	2006-12-10		Ottawa Senators	6	2	W			31	21	5		0		33	38	1		0
28	2006-12-12	@	Dallas Stars	3	1	W			23	18	0		0		26	14	1		0
29	2006-12-14	@	Phoenix Coyotes	4	5	L	SO		25	20	0		1		29	12	2		1
30	2006-12-16		Chicago Blackhawks	4	6	L			36	8	2		0		24	14	1		0
31	2006-12-18		Detroit Red Wings	4	3	W			26	10	1		1		36	14	0		0
32	2006-12-20	@	Detroit Red Wings	0	5	L			27	14	0		0		25	14	2		0
33	2006-12-22		Vancouver Canucks	3	2	W			22	21	1		0		33	21	1		0
34	2006-12-23	@	New York Islanders	0	4	L			26	19	0		0		23	27	1		0
35	2006-12-26		Boston Bruins	5	4	W	OT		42	12	1		1		26	12	1		0
36	2006-12-28		Detroit Red Wings	4	7	L			25	6	2		0		36	8	1		0
37	2006-12-29	@	Minnesota Wild	3	4	L	OT		29	22	1		0		24	8	3		0
38	2006-12-31		Chicago Blackhawks	3	1	W			24	20	1		0		22	18	0		0
39	2007-01-03	@	Los Angeles Kings	0	3	L			26	25	0		0		32	13	1		0
40	2007-01-05	@	Anaheim Ducks	4	3	W			33	19	0		0		36	19	1		0
41	2007-01-06	@	San Jose Sharks	2	5	L			19	25	2		0		33	21	5		0
42	2007-01-09		St. Louis Blues	3	4	L	SO		22	8	1		0		24	10	1		0
43	2007-01-12	@	Nashville Predators	0	2	L			22	8	0		0		24	4	0		0
44	2007-01-13		Nashville Predators	1	4	L			40	11	1		0		17	31	0		0
45	2007-01-16	@	Chicago Blackhawks	5	4	W	OT		18	6	0		0		28	2	0		0
46	2007-01-18	@	Nashville Predators	0	4	L			33	10	0		0		26	12	1		0
47	2007-01-19		Detroit Red Wings	3	1	W			27	12	2		0		42	16	0		0
48	2007-01-26		Buffalo Sabres	3	2	W			26	21	1		0		38	23	2		0
49	2007-01-27		Minnesota Wild	3	2	W			22	18	2		0		37	14	1		0
50	2007-01-30	@	Vancouver Canucks	3	2	W	SO		28	8	1		0		37	6	2		0
51	2007-01-31	@	Edmonton Oilers	2	5	L			22	6	1		0		37	4	2		0
52	2007-02-02	@	Calgary Flames	2	6	L			22	30	0		0		24	32	4		0
53	2007-02-06		Phoenix Coyotes	0	3	L			28	23	0		0		27	21	0		0
54	2007-02-08		Calgary Flames	2	1	W			31	14	0		0		25	16	1		0
55	2007-02-11		Chicago Blackhawks	4	5	L			28	29	2		0		28	19	1		0
