	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh	empty1	corsi_for	corsi_against	corsi_pct	fenwick_for	fenwick_against	fenwick_pct	faceoff_wins	faceoff_losses	faceoff_percentage	zs_offense_pct	pdo
0	2016-10-13		Boston Bruins	3	6	L			31	6	1	3	0		37	8	0	2	0		54	50	51.9	31	37	45.6	26	30	46.4	47.1	87.7
1	2016-10-15		San Jose Sharks	2	3	L			28	10	1	2	0		38	4	1	5	0		51	40	56.0	37	30	55.2	23	21	52.3	70.4	96.2
2	2016-10-21		Chicago Blackhawks	3	2	W			28	8	2	2	0		34	4	0	4	0		45	54	45.5	36	39	48.0	24	24	50.0	44.8	96.0
3	2016-10-22	@	Dallas Stars	3	0	W			26	15	0	2	0		32	9	0	5	0		58	51	53.2	41	42	49.4	18	34	34.6	56.7	112.0
4	2016-10-25	@	Los Angeles Kings	2	3	L	OT		21	2	1	1	0		30	2	0	1	0		38	64	37.3	30	44	40.5	23	27	46.0	41.6	95.3
5	2016-10-27	@	San Jose Sharks	1	3	L			25	4	0	3	0		29	6	2	2	0		43	56	43.4	28	41	40.6	24	20	54.5	34.6	100.9
6	2016-10-28	@	Anaheim Ducks	4	0	W			37	15	1	5	0		35	17	0	4	0		42	47	47.2	37	42	46.8	19	25	43.2	46.9	110.3
7	2016-11-01		Dallas Stars	3	2	W	OT		28	13	1	2	0		38	9	0	4	0		52	60	46.4	36	44	45.0	30	22	57.7	51.4	101.9
8	2016-11-04		Montreal Canadiens	10	0	W			40	4	4	5	0		30	12	0	1	0		47	54	46.5	38	37	50.7	33	38	46.5	50.9	120.0
9	2016-11-05	@	St. Louis Blues	1	2	L	OT		21	15	0	3	0		30	13	0	4	0		31	44	41.3	21	34	38.2	20	23	46.5	33.7	97.9
10	2016-11-09		Anaheim Ducks	3	2	W	OT		18	6	0	3	0		32	6	0	3	0		32	40	44.4	20	28	41.7	21	31	40.4	45.5	111.3
11	2016-11-10	@	Boston Bruins	2	5	L			17	4	0	3	0		32	6	0	2	0		37	45	45.1	27	37	42.2	15	32	31.9	64.0	95.5
12	2016-11-12		St. Louis Blues	8	4	W			30	18	1	2	0		37	12	4	5	0		43	51	45.7	31	39	44.3	27	22	55.1	49.0	126.9
13	2016-11-15		Washington Capitals	2	1	W	OT		27	4	0	3	0		22	6	0	2	0		48	45	51.6	36	28	56.3	25	22	53.2	44.8	103.5
14	2016-11-18		New York Rangers	4	2	W			24	4	0	2	1		27	4	0	2	0		48	45	51.6	35	36	49.3	30	20	60.0	50.0	105.0
15	2016-11-20	@	Washington Capitals	3	2	W			23	6	2	3	0		21	10	1	1	0		46	42	52.3	31	28	52.5	26	26	50.0	34.2	100.0
16	2016-11-21		Colorado Avalanche	2	3	L	OT		42	2	0	1	0		27	2	0	1	0		91	46	66.4	63	34	64.9	31	29	51.7	71.2	92.8
17	2016-11-23		Calgary Flames	0	2	L			34	6	0	4	0		20	8	1	3	0		48	37	56.5	33	26	55.9	18	20	47.4	72.0	93.3
18	2016-11-25	@	Tampa Bay Lightning	5	3	W			38	6	1	2	1		28	8	0	1	0		55	50	52.4	43	43	50.0	28	30	48.3	48.5	97.9
19	2016-11-26	@	Florida Panthers	1	2	L	SO		37	4	0	2	0		23	4	0	2	0		54	53	50.5	42	32	56.8	20	34	37.0	44.2	98.0
