	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh
0	2003-10-09	@	Vancouver Canucks	1	4	L			23	10	1		0		26	4	2		0
1	2003-10-11		San Jose Sharks	3	2	W			20	8	2		0		19	14	1		0
2	2003-10-14		Edmonton Oilers	1	0	W			15	10	1		0		19	14	0		0
3	2003-10-18		Buffalo Sabres	0	2	L			20	10	0		0		18	19	1		0
4	2003-10-21	@	Minnesota Wild	3	2	W			27	12	0		0		22	6	1		0
5	2003-10-24		St. Louis Blues	1	2	L			26	8	0		0		19	2	1		0
6	2003-10-25	@	Edmonton Oilers	4	2	W			21	48	2		0		18	46	2		0
7	2003-10-28	@	Colorado Avalanche	2	4	L			28	32	2		0		19	24	2		0
8	2003-10-29	@	Dallas Stars	3	4	L	OT		17	18	0		0		28	18	1		0
9	2003-11-01		Columbus Blue Jackets	3	0	W			34	24	1		1		15	20	0		0
10	2003-11-04		Detroit Red Wings	0	3	L			21	10	0		0		25	6	1		0
11	2003-11-07		Minnesota Wild	0	3	L			34	26	0		0		20	24	1		0
12	2003-11-09	@	Columbus Blue Jackets	3	4	L			45	21	0		0		28	15	3		0
13	2003-11-12	@	Chicago Blackhawks	6	2	W			33	14	2		1		33	12	0		0
14	2003-11-13	@	Nashville Predators	1	4	L			30	17	0		0		22	19	2		0
15	2003-11-15	@	Edmonton Oilers	1	2	L	OT		34	10	0		0		24	14	0		0
16	2003-11-18		Toronto Maple Leafs	3	2	W	OT		26	15	2		0		17	17	1		0
17	2003-11-20		Montreal Canadiens	2	1	W			32	26	0		0		23	20	1		0
18	2003-11-22		Chicago Blackhawks	2	1	W			28	15	1		0		25	17	0		0
19	2003-11-27		Colorado Avalanche	5	6	L	OT		32	13	1		1		24	19	1		1
20	2003-11-29		Vancouver Canucks	4	4	T	OT		33	26	2		0		34	12	1		0
21	2003-12-02		San Jose Sharks	3	1	W			33	18	1		0		20	18	0		0
22	2003-12-04	@	Vancouver Canucks	4	1	W			23	10	1		0		29	10	0		0
23	2003-12-05		Minnesota Wild	2	1	W			31	13	0		0		23	13	0		0
24	2003-12-07		Pittsburgh Penguins	6	1	W			43	9	2		0		22	17	0		0
25	2003-12-09	@	Minnesota Wild	1	2	L			32	13	0		0		19	9	1		0
26	2003-12-11		Carolina Hurricanes	1	0	W			31	6	0		0		23	14	0		0
27	2003-12-13		Colorado Avalanche	1	1	T	OT		33	6	0		0		24	10	0		0
28	2003-12-16	@	Philadelphia Flyers	3	2	W	OT		26	32	0		0		37	20	1		0
29	2003-12-18	@	Boston Bruins	5	0	W			14	23	0		0		30	33	0		0
30	2003-12-19	@	Columbus Blue Jackets	2	1	W			21	31	0		1		34	19	0		0
31	2003-12-23		Edmonton Oilers	2	1	W			21	13	1		0		31	27	0		0
32	2003-12-26		Vancouver Canucks	0	2	L			31	23	0		0		31	8	1		0
33	2003-12-28	@	Edmonton Oilers	2	1	W			21	9	0		0		21	13	1		0
34	2003-12-29		Minnesota Wild	2	2	T	OT		46	12	0		0		19	16	1		0
35	2003-12-31		Colorado Avalanche	1	2	L			31	4	0		1		29	6	0		0
