	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh
0	2007-10-03		Dallas Stars	4	3	W			23	6	0		0		34	4	2		0
1	2007-10-04	@	Nashville Predators	0	4	L			35	15	0		0		32	11	1		0
2	2007-10-07		San Jose Sharks	6	2	W			25	21	2		0		26	21	1		0
3	2007-10-12	@	St. Louis Blues	1	4	L			25	8	0		0		23	8	0		0
4	2007-10-13		Columbus Blue Jackets	5	1	W			26	22	2		0		25	36	0		0
5	2007-10-16		Calgary Flames	5	4	W	SO		35	17	1		0		29	17	0		0
6	2007-10-19	@	Chicago Blackhawks	3	5	L			40	15	1		0		27	15	0		0
7	2007-10-21	@	Minnesota Wild	2	3	L			31	10	1		0		32	12	2		0
8	2007-10-23	@	Edmonton Oilers	4	2	W			22	9	0		0		27	13	0		0
9	2007-10-26	@	Calgary Flames	3	2	W	OT		22	10	0		0		41	8	0		0
10	2007-10-28		Minnesota Wild	3	1	W			30	6	1		0		22	6	1		0
11	2007-11-01		Pittsburgh Penguins	3	2	W			33	12	1		0		28	12	1		0
12	2007-11-03		Vancouver Canucks	3	4	L			32	14	1		1		22	14	2		0
13	2007-11-05		Calgary Flames	4	1	W			36	17	1		0		24	17	1		0
14	2007-11-07		Edmonton Oilers	4	3	W	SO		38	8	0		0		33	8	1		0
15	2007-11-09	@	Vancouver Canucks	1	2	L	OT		25	4	1		0		28	6	0		0
16	2007-11-11		Minnesota Wild	4	2	W			26	13	2		0		27	17	2		0
17	2007-11-16	@	Dallas Stars	1	6	L			18	4	0		0		26	6	2		0
18	2007-11-18	@	Minnesota Wild	1	4	L			28	4	0		0		26	8	0		0
19	2007-11-20	@	Calgary Flames	1	4	L			21	9	0		0		15	15	0		0
20	2007-11-22	@	Edmonton Oilers	3	2	W			31	12	0		0		16	18	1		0
21	2007-11-24		Calgary Flames	2	5	L			23	28	0		0		32	39	0		0
22	2007-11-28		Edmonton Oilers	4	2	W			43	10	1		0		13	12	0		0
23	2007-11-30	@	San Jose Sharks	2	3	L			20	12	1		1		29	12	2		0
24	2007-12-01	@	Los Angeles Kings	5	2	W			34	6	0		0		19	6	0		0
25	2007-12-03		San Jose Sharks	2	3	L			35	8	0		0		28	4	0		0
26	2007-12-05	@	Columbus Blue Jackets	4	5	L			36	13	1		0		31	13	1		0
27	2007-12-07		Philadelphia Flyers	2	1	W			32	10	1		0		29	10	1		0
28	2007-12-09		St. Louis Blues	9	5	W			29	6	3		0		28	12	1		0
29	2007-12-12	@	Columbus Blue Jackets	1	4	L			16	6	0		0		16	8	0		0
30	2007-12-13	@	Nashville Predators	2	1	W			32	4	0		0		31	4	0		0
31	2007-12-15		Nashville Predators	3	1	W			16	9	0		0		32	13	0		0
32	2007-12-17	@	Los Angeles Kings	4	2	W			40	8	1		0		21	12	1		1
33	2007-12-19	@	Anaheim Ducks	1	2	L	OT		12	9	0		0		38	7	0		0
34	2007-12-21		New York Rangers	4	3	W	OT		37	18	1		0		23	24	1		0
35	2007-12-23		Vancouver Canucks	3	1	W			32	12	1		0		22	12	1		0
36	2007-12-27		Detroit Red Wings	2	4	L			24	2	0		0		29	8	0		0
37	2007-12-29		Los Angeles Kings	1	3	L			30	19	0		0		23	9	0		0
38	2007-12-31	@	Phoenix Coyotes	3	4	L	SO		45	12	0		0		26	6	2		0
39	2008-01-02		Phoenix Coyotes	2	5	L			26	11	0		0		31	11	2		2
40	2008-01-05		New York Islanders	2	1	W	OT		39	6	0		0		24	8	0		0
41	2008-01-08	@	Detroit Red Wings	0	1	L			19	6	0		0		25	4	0		0
42	2008-01-09	@	Washington Capitals	1	2	L			19	11	0		0		23	9	0		0
43	2008-01-12	@	Carolina Hurricanes	5	4	W			29	18	0		0		34	18	0		0
44	2008-01-13	@	Florida Panthers	4	3	W	SO		40	26	1		0		33	26	2		0
45	2008-01-15	@	Tampa Bay Lightning	3	0	W			25	14	2		0		32	16	0		0
46	2008-01-18		Chicago Blackhawks	1	2	L	SO		23	15	0		0		23	9	0		0
47	2008-01-20		Columbus Blue Jackets	3	1	W			27	13	0		0		27	15	0		0
48	2008-01-22		Nashville Predators	0	4	L			38	10	0		0		29	8	2		0
49	2008-01-24		Minnesota Wild	2	3	L			30	6	0		0		37	4	1		0
50	2008-01-30		Chicago Blackhawks	6	3	W			30	6	1		0		15	8	0		0
51	2008-02-01	@	Detroit Red Wings	0	2	L			15	10	0		0		36	8	0		0
52	2008-02-02	@	St. Louis Blues	6	4	W			24	8	1		0		32	6	1		0
53	2008-02-04		Phoenix Coyotes	3	4	L	OT		36	8	2		0		33	8	1		0
54	2008-02-06	@	San Jose Sharks	3	1	W			25	11	1		0		31	13	1		0
55	2008-02-09	@	Vancouver Canucks	6	2	W			24	33	1		0		25	23	2		0
56	2008-02-12		Anaheim Ducks	1	2	L			33	31	0		0		29	33	1		0
57	2008-02-14		St. Louis Blues	1	4	L			40	9	0		0		24	15	0		1
58	2008-02-17	@	Chicago Blackhawks	1	2	L			22	13	0		0		27	19	1		0
59	2008-02-18		Detroit Red Wings	0	4	L			18	51	0		0		40	35	2		0
60	2008-02-20	@	Anaheim Ducks	2	3	L	SO		28	12	0		0		22	8	1		0
61	2008-02-22	@	Phoenix Coyotes	3	2	W	SO		29	8	1		0		29	12	1		0
62	2008-02-24	@	Edmonton Oilers	2	3	L			29	9	0		0		20	11	0		0
63	2008-02-26	@	Calgary Flames	3	2	W	OT		34	15	2		0		29	17	0		1
