	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh	empty1	corsi_for	corsi_against	corsi_pct	fenwick_for	fenwick_against	fenwick_pct	faceoff_wins	faceoff_losses	faceoff_percentage	zs_offense_pct	pdo
0	2010-10-07		Chicago Blackhawks	4	3	W	OT		41	14	1		0		38	6	2		0		49	38	56.3	40	30	57.1	22	22	50.0	59.6	105.1
1	2010-10-11	@	Philadelphia Flyers	2	4	L			27	10	0		0		38	8	0		1		40	46	46.5	31	38	44.9	21	21	50.0	59.5	98.0
2	2010-10-12	@	Detroit Red Wings	5	4	W	SO		38	7	0		0		28	13	1		1		47	62	43.1	36	37	49.3	22	26	45.8	63.5	105.2
3	2010-10-15	@	New Jersey Devils	3	2	W			22	26	1		0		43	15	1		0		27	41	39.7	24	34	41.4	17	29	37.0	28.6	107.8
4	2010-10-16	@	New York Islanders	2	5	L			30	19	0		0		25	13	1		1		52	29	64.2	40	18	69.0	14	29	32.6	69.3	86.6
5	2010-10-18	@	New York Rangers	3	1	W			34	14	2		0		32	8	0		0		43	51	45.7	37	34	52.1	28	19	59.6	56.5	99.2
6	2010-10-21		San Jose Sharks	2	4	L			31	22	1		0		34	8	2		0		40	51	44.0	31	37	45.6	17	30	36.2	58.4	96.4
7	2010-10-23		Los Angeles Kings	4	6	L			32	15	2		0		30	30	2		1		31	37	45.6	26	29	47.3	17	21	44.7	68.4	96.4
8	2010-10-26	@	Vancouver Canucks	3	4	L	OT		39	11	0		0		31	9	1		0		54	46	54.0	40	34	54.1	24	27	47.1	69.9	95.8
9	2010-10-28	@	Calgary Flames	6	5	W			36	16	1		0		19	22	1		0		46	34	57.5	40	24	62.5	24	19	55.8	43.5	88.5
10	2010-10-30		Columbus Blue Jackets	5	1	W			31	25	1		0		34	31	1		0		38	50	43.2	32	44	42.1	22	27	44.9	52.5	116.0
11	2010-11-04		Vancouver Canucks	1	3	L			34	13	0		0		36	9	3		0		56	46	54.9	41	38	51.9	32	28	53.3	66.7	103.4
12	2010-11-06		Dallas Stars	5	0	W			45	19	0		1		31	17	0		0		55	46	54.5	48	37	56.5	22	18	55.0	55.0	110.0
13	2010-11-09		Calgary Flames	2	4	L			31	17	2		0		25	21	1		0		36	50	41.9	28	35	44.4	14	21	40.0	44.2	86.4
14	2010-11-12	@	Columbus Blue Jackets	5	1	W			29	8	0		1		29	4	0		0		41	48	46.1	35	33	51.5	24	27	47.1	28.7	111.0
15	2010-11-13	@	Detroit Red Wings	1	3	L			22	8	1		0		25	10	1		0		35	35	50.0	26	29	47.3	16	17	48.5	47.8	90.9
16	2010-11-15		St. Louis Blues	6	3	W			23	25	1		0		30	37	1		0		35	48	42.2	29	32	47.5	26	18	59.1	42.9	117.0
17	2010-11-17		San Jose Sharks	4	3	W	OT		22	10	1		0		43	4	0		0		38	57	40.0	26	44	37.1	20	34	37.0	47.3	107.2
18	2010-11-19		New York Rangers	5	1	W			26	20	0		0		26	12	0		0		35	39	47.3	28	25	52.8	30	18	62.5	44.0	117.5
19	2010-11-20	@	Dallas Stars	4	3	W	SO		26	10	2		0		29	10	1		0		45	42	51.7	30	34	46.9	23	24	48.9	51.2	96.3
20	2010-11-24	@	Vancouver Canucks	2	4	L			23	8	1		0		19	10	0		0		27	43	38.6	22	26	45.8	11	30	26.8	47.7	85.5
21	2010-11-25	@	Edmonton Oilers	2	3	L			37	18	1		0		24	6	0		0		47	45	51.1	38	29	56.7	21	12	63.6	44.9	88.4
22	2010-11-27		Minnesota Wild	7	4	W			40	11	1		0		32	15	1		0		48	48	50.0	39	38	50.6	36	28	56.3	43.5	109.0
23	2010-11-30		Atlanta Thrashers	2	3	L	OT		31	8	1		0		31	8	0		0		49	40	55.1	34	30	53.1	14	16	46.7	61.9	92.5
