	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh
0	2003-10-08		Mighty Ducks of Anaheim	4	1	W			22	20	1		0		21	18	1		0
1	2003-10-11	@	Nashville Predators	3	1	W			30	36	1		0		25	24	1		0
2	2003-10-13	@	Buffalo Sabres	3	4	L			21	18	2		0		21	28	1		0
3	2003-10-15		Boston Bruins	0	2	L			27	8	0		0		13	12	0		0
4	2003-10-17		Washington Capitals	4	2	W			18	22	1		0		25	24	0		0
5	2003-10-19		Minnesota Wild	3	1	W			30	19	1		0		11	19	1		0
6	2003-10-22		Toronto Maple Leafs	1	3	L			16	15	0		0		24	13	1		0
7	2003-10-24	@	Detroit Red Wings	0	4	L			22	2	0		0		23	6	0		1
8	2003-10-25	@	Columbus Blue Jackets	3	2	W			34	38	0		0		27	16	1		0
9	2003-10-29		Calgary Flames	4	3	W	OT		28	18	1		0		17	18	0		0
10	2003-11-01	@	Nashville Predators	1	1	T	OT		28	13	0		0		26	11	0		0
11	2003-11-02		Nashville Predators	7	3	W			33	29	3		0		24	31	2		0
12	2003-11-04	@	New York Rangers	0	3	L			30	7	0		0		18	11	0		1
13	2003-11-06	@	New York Islanders	1	4	L			28	4	0		0		23	4	0		0
14	2003-11-08	@	Boston Bruins	1	4	L			28	15	0		0		33	11	0		0
15	2003-11-12		Detroit Red Wings	2	6	L			18	32	1		0		27	20	2		1
16	2003-11-14		Phoenix Coyotes	3	3	T	OT		35	12	1		1		26	12	1		0
17	2003-11-15	@	Colorado Avalanche	0	3	L			29	16	0		0		41	20	1		0
18	2003-11-19		Mighty Ducks of Anaheim	3	3	T	OT		29	15	2		0		33	23	1		0
19	2003-11-21		Los Angeles Kings	3	1	W			17	6	0		0		26	4	1		0
20	2003-11-22	@	St. Louis Blues	1	2	L			22	4	0		0		24	6	0		0
21	2003-11-24		Phoenix Coyotes	5	2	W			19	24	3		0		22	14	0		0
22	2003-11-26	@	Minnesota Wild	3	1	W			20	7	1		0		19	9	0		0
23	2003-11-28		New Jersey Devils	2	0	W			21	16	1		0		21	14	0		0
24	2003-11-30		Los Angeles Kings	1	2	L			19	11	1		0		21	19	0		0
25	2003-12-04	@	Los Angeles Kings	0	3	L			17	13	0		0		23	13	0		0
26	2003-12-06	@	San Jose Sharks	1	2	L			16	12	0		0		20	14	1		0
27	2003-12-07	@	Mighty Ducks of Anaheim	0	4	L			32	39	0		0		37	33	2		1
28	2003-12-10	@	Phoenix Coyotes	1	2	L			40	9	1		0		18	15	0		0
29	2003-12-12		Chicago Blackhawks	1	0	W			26	15	0		0		16	13	0		0
30	2003-12-14	@	Chicago Blackhawks	1	1	T	OT		32	15	0		1		30	17	0		0
31	2003-12-17		Vancouver Canucks	3	1	W			28	13	0		0		23	25	0		0
32	2003-12-19	@	Florida Panthers	0	1	L			36	8	0		0		24	8	0		1
33	2003-12-20	@	Tampa Bay Lightning	2	1	W			22	14	1		0		27	6	0		1
34	2003-12-22	@	Carolina Hurricanes	3	1	W			27	4	0		1		17	6	0		0
35	2003-12-26		Nashville Predators	2	1	W			17	14	1		0		24	8	0		0
36	2003-12-27	@	Columbus Blue Jackets	4	3	W			18	10	1		0		24	8	0		0
37	2003-12-29		Philadelphia Flyers	2	2	T	OT		22	6	2		0		28	16	0		0
