	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh	empty1	corsi_for	corsi_against	corsi_pct	fenwick_for	fenwick_against	fenwick_pct	faceoff_wins	faceoff_losses	faceoff_percentage	zs_offense_pct	pdo
0	2014-10-09		Chicago Blackhawks	2	3	L	SO		34	12	1		0		26	14	1		0		51	48	51.5	39	31	55.7	28	22	56.0	68.1	98.8
1	2014-10-11	@	Nashville Predators	1	4	L			18	23	0		0		33	9	0		0		40	49	44.9	28	35	44.4	24	26	48.0	41.8	91.4
2	2014-10-14	@	Columbus Blue Jackets	4	2	W			35	13	0		0		35	7	1		0		59	45	56.7	46	36	56.1	27	34	44.3	54.8	107.9
3	2014-10-16	@	Pittsburgh Penguins	3	2	W			28	8	1		0		29	8	2		0		47	48	49.5	33	32	50.8	21	29	42.0	56.7	108.0
4	2014-10-18		Philadelphia Flyers	5	6	L	OT		23	10	2		0		37	6	2		0		42	66	38.9	34	44	43.6	23	30	43.4	33.3	101.0
5	2014-10-21		Vancouver Canucks	6	3	W			28	8	1		0		46	12	0		0		34	52	39.5	27	46	37.0	30	22	57.7	45.8	118.0
6	2014-10-24	@	New Jersey Devils	3	2	W	SO		37	5	1		0		27	9	0		0		46	42	52.3	41	34	54.7	36	29	55.4	54.3	95.2
7	2014-10-25	@	New York Islanders	5	7	L			31	4	1		0		29	10	0		1		49	42	53.8	36	34	51.4	23	30	43.4	61.8	92.3
8	2014-10-28		St. Louis Blues	3	4	L	OT		28	10	1		0		27	8	1		0		43	35	55.1	32	24	57.1	24	21	53.3	57.7	92.0
9	2014-10-31		Anaheim Ducks	1	2	L	OT		22	10	0		0		24	14	0		0		43	34	55.8	30	25	54.5	23	30	43.4	72.9	94.7
10	2014-11-01	@	Minnesota Wild	1	4	L			20	8	0		0		30	8	2		0		44	40	52.4	25	32	43.9	18	18	50.0	55.0	97.6
11	2014-11-04		Los Angeles Kings	1	3	L			34	12	0		0		30	10	0		1		52	41	55.9	38	31	55.1	26	26	50.0	51.2	95.7
12	2014-11-06		Nashville Predators	2	3	L			35	6	0		0		33	2	2		0		68	65	51.1	56	46	54.9	35	25	58.3	57.1	102.3
13	2014-11-08		San Jose Sharks	3	5	L			40	18	1		0		29	14	1		0		64	63	50.4	46	39	54.1	32	34	48.5	57.1	90.7
14	2014-11-11	@	Arizona Coyotes	4	3	W			32	22	1		1		37	18	0		0		42	54	43.8	29	36	44.6	26	24	52.0	44.1	96.5
15	2014-11-13	@	Los Angeles Kings	2	0	W			27	11	0		0		27	13	0		0		40	45	47.1	30	37	44.8	25	28	47.2	46.8	108.0
16	2014-11-15		Minnesota Wild	1	2	L			28	2	0		0		22	4	0		0		64	49	56.6	38	34	52.8	24	24	50.0	58.8	94.9
17	2014-11-16	@	Chicago Blackhawks	2	6	L			24	13	0		0		47	7	1		0		40	61	39.6	29	47	38.2	32	31	50.8	42.5	96.3
18	2014-11-18		Carolina Hurricanes	4	6	L			27	13	0		1		25	11	1		0		52	45	53.6	42	34	55.3	26	41	38.8	56.8	85.7
19	2014-11-20		Arizona Coyotes	3	1	W			27	4	0		0		27	4	1		0		51	45	53.1	44	32	57.9	25	34	42.4	55.3	112.0
20	2014-11-22		Los Angeles Kings	5	4	W			23	10	2		0		41	12	1		0		30	55	35.3	24	43	35.8	30	23	56.6	32.4	108.4
21	2014-11-25		Edmonton Oilers	3	2	W			34	9	0		0		37	13	0		1		56	64	46.7	42	41	50.6	32	31	50.8	48.7	106.4
22	2014-11-28		Minnesota Wild	4	5	L	OT		45	4	0		0		34	8	0		0		69	57	54.8	52	44	54.2	38	27	58.5	55.1	93.9
23	2014-11-29	@	Colorado Avalanche	2	5	L			24	21	0		0		47	13	2		0		47	46	50.5	35	38	47.9	28	17	62.2	44.8	98.4
24	2014-12-02	@	Toronto Maple Leafs	3	5	L			38	14	0		0		40	10	1		0		57	48	54.3	44	40	52.4	28	21	57.1	60.5	96.2
25	2014-12-04	@	Detroit Red Wings	2	5	L			24	6	1		0		29	6	1		0		25	42	37.3	22	31	41.5	25	29	46.3	42.2	90.2
26	2014-12-06		Montreal Canadiens	4	1	W			29	6	2		0		17	14	0		0		48	35	57.8	36	20	64.3	25	25	50.0	44.8	101.2
27	2014-12-09		Winnipeg Jets	2	5	L			28	10	1		0		32	12	1		1		47	50	48.5	32	38	45.7	20	20	50.0	38.1	93.2
28	2014-12-13		New Jersey Devils	4	3	W			36	9	0		0		31	9	1		0		68	62	52.3	50	48	51.0	34	25	57.6	48.7	106.0
29	2014-12-17	@	Vancouver Canucks	2	0	W			29	15	0		0		27	11	0		0		44	33	57.1	34	26	56.7	30	15	66.7	47.2	108.3
30	2014-12-19	@	Calgary Flames	2	1	W			21	10	0		0		22	4	0		0		55	34	61.8	33	24	57.9	29	25	53.7	62.4	103.6
31	2014-12-21	@	Edmonton Oilers	6	5	W	SO		45	9	1		0		29	13	1		0		76	47	61.8	60	35	63.2	27	37	42.2	64.4	94.1
32	2014-12-23		Toronto Maple Leafs	0	4	L			43	21	0		0		26	19	1		0		65	36	64.4	54	29	65.1	32	24	57.1	60.7	85.7
33	2014-12-27	@	St. Louis Blues	4	3	W			24	15	2		0		33	17	1		0		38	59	39.2	27	44	38.0	25	37	40.3	46.1	104.2
34	2014-12-29		New York Rangers	3	2	W			27	6	1		0		30	10	1		0		41	46	47.1	27	30	47.4	29	26	52.7	39.4	106.2
35	2014-12-31		Arizona Coyotes	6	0	W			31	6	1		0		32	4	0		0		54	45	54.5	45	31	59.2	31	17	64.6	46.7	117.9
36	2015-01-03		Minnesota Wild	7	1	W			35	35	1		1		22	57	1		0		59	32	64.8	45	22	67.2	29	25	53.7	64.8	116.7
37	2015-01-04	@	Chicago Blackhawks	4	5	L	OT		34	6	0		0		38	0	1		0		46	62	42.6	35	40	46.7	28	22	56.0	51.5	98.9
38	2015-01-06		Columbus Blue Jackets	2	4	L			26	15	0		0		20	15	1		0		37	28	56.9	26	23	53.1	19	16	54.3	55.6	91.1
39	2015-01-08	@	Nashville Predators	2	3	L	OT		20	4	0		0		24	6	0		0		35	52	40.2	23	34	40.4	26	28	48.1	48.5	98.7
40	2015-01-10	@	Colorado Avalanche	3	4	L			40	6	0		0		30	12	0		0		64	35	64.6	42	33	56.0	26	27	49.1	46.7	95.4
