	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh
0	1995-10-06	@	Colorado Avalanche	2	3	L			32	16	1		0		23	33	1		1
1	1995-10-08	@	Edmonton Oilers	3	1	W			30	31	1		0		27	23	0		0
2	1995-10-09	@	Vancouver Canucks	5	3	W			34	19	2		0		21	29	1		1
3	1995-10-13		Edmonton Oilers	9	0	W			50	22	1		1		17	34	0		0
4	1995-10-15	@	Winnipeg Jets	5	5	T	OT		26	10	2		0		27	10	2		1
5	1995-10-17		Calgary Flames	3	3	T	OT		25	19	1		0		30	27	0		1
6	1995-10-19	@	New Jersey Devils	2	4	L			17	10	1		0		19	31	1		0
7	1995-10-21		Boston Bruins	4	2	W			29	6	0		0		21	12	0		0
8	1995-10-24		Ottawa Senators	1	2	L			23	8	1		0		21	16	0		0
9	1995-10-27	@	Calgary Flames	3	0	W			25	39	0		1		8	43	0		0
10	1995-10-30	@	Winnipeg Jets	2	3	L			39	23	0		0		28	35	0		0
11	1995-11-01	@	Buffalo Sabres	1	2	L			30	10	0		0		18	14	2		0
12	1995-11-02	@	Boston Bruins	6	5	W	OT		34	20	1		0		34	16	0		1
13	1995-11-04		Dallas Stars	5	1	W			29	17	1		1		20	9	1		0
14	1995-11-07		Edmonton Oilers	4	2	W			36	8	1		1		26	8	0		0
15	1995-11-11	@	San Jose Sharks	5	2	W			35	14	2		1		15	14	0		0
16	1995-11-14	@	Los Angeles Kings	6	5	W			45	10	2		0		33	26	1		1
17	1995-11-17	@	Edmonton Oilers	5	4	W			35	13	0		0		29	17	1		0
18	1995-11-22		San Jose Sharks	5	2	W			36	6	2		0		16	23	0		0
19	1995-11-24	@	Philadelphia Flyers	1	4	L			37	16	1		0		27	20	2		0
20	1995-11-25		New York Rangers	2	0	W			25	32	1		0		29	44	0		0
21	1995-11-28		Montreal Canadiens	3	2	W			36	6	1		1		25	10	0		0
22	1995-12-01		Mighty Ducks of Anaheim	5	2	W			40	6	3		0		26	6	0		0
23	1995-12-02	@	Montreal Canadiens	11	1	W			41	15	4		0		23	28	1		0
24	1995-12-05		Philadelphia Flyers	5	3	W			29	18	1		0		22	14	1		0
25	1995-12-07		Dallas Stars	3	1	W			34	6	0		0		28	12	0		0
26	1995-12-08	@	New York Rangers	1	2	L	OT		34	36	0		0		24	26	1		0
27	1995-12-12	@	St. Louis Blues	5	2	W			33	15	0		1		33	23	0		0
28	1995-12-13		Chicago Blackhawks	3	1	W			28	16	0		0		19	31	0		0
29	1995-12-15		New Jersey Devils	3	1	W			30	25	1		0		19	35	0		0
30	1995-12-20	@	Mighty Ducks of Anaheim	6	1	W			41	18	3		0		33	14	1		0
31	1995-12-22	@	Calgary Flames	5	1	W			21	6	0		0		29	8	0		0
32	1995-12-23	@	Vancouver Canucks	1	0	W			27	18	1		0		26	12	0		0
33	1995-12-26		St. Louis Blues	3	2	W			28	24	2		0		20	30	0		1
34	1995-12-29	@	Dallas Stars	2	1	W			25	19	1		0		22	35	1		0
35	1995-12-31		Hartford Whalers	3	2	W			39	9	0		1		30	11	0		0
36	1996-01-03		Dallas Stars	3	3	T	OT		38	55	0		0		21	29	0		0
37	1996-01-05	@	Pittsburgh Penguins	2	5	L			34	12	1		0		39	18	1		0
38	1996-01-06		Chicago Blackhawks	3	0	W			37	44	0		0		20	73	0		0
39	1996-01-08		Winnipeg Jets	4	6	L			47	16	3		0		19	18	4		0
40	1996-01-10	@	Dallas Stars	4	0	W			30	31	2		0		25	36	0		0
41	1996-01-12		Los Angeles Kings	3	2	W			35	10	1		0		27	6	1		0
42	1996-01-13	@	Washington Capitals	4	2	W			18	16	2		0		32	10	1		0
43	1996-01-17		Colorado Avalanche	3	2	W			28	6	1		0		19	8	0		0
44	1996-01-24		San Jose Sharks	4	2	W			33	10	1		1		24	23	1		0
