	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh	empty1	corsi_for	corsi_against	corsi_pct	fenwick_for	fenwick_against	fenwick_pct	faceoff_wins	faceoff_losses	faceoff_percentage	zs_offense_pct	pdo
0	2013-01-19	@	St. Louis Blues	0	6	L			14	30	0		0		36	18	4		1		26	50	34.2	18	40	31.0	18	20	47.4	38.1	96.3
1	2013-01-21	@	Columbus Blue Jackets	4	3	W	SO		42	23	0		0		33	23	2		0		49	29	62.8	37	23	61.7	19	28	40.4	52.8	102.1
2	2013-01-22		Dallas Stars	1	2	L			40	6	0		0		32	10	0		0		52	37	58.4	44	27	62.0	27	21	56.3	56.8	93.7
3	2013-01-25		Minnesota Wild	5	3	W			27	21	2		0		26	15	1		0		34	32	51.5	29	21	58.0	22	16	57.9	59.1	99.6
4	2013-01-27	@	Chicago Blackhawks	1	2	L	OT		30	6	0		0		27	12	1		0		45	35	56.3	30	22	57.7	25	24	51.0	63.7	98.7
5	2013-01-29		Dallas Stars	4	1	W			27	22	1		0		26	22	0		0		33	34	49.3	28	25	52.8	21	17	55.3	68.5	110.5
6	2013-02-01		St. Louis Blues	5	3	W			31	10	2		1		26	22	2		0		34	30	53.1	24	21	53.3	23	14	62.2	74.8	101.9
7	2013-02-02	@	Columbus Blue Jackets	2	4	L			34	6	0		0		28	10	1		1		44	28	61.1	35	24	59.3	21	17	55.3	73.9	95.6
8	2013-02-05		Calgary Flames	1	4	L			26	15	1		0		23	13	2		0		53	33	61.6	35	25	58.3	26	26	50.0	73.5	89.5
9	2013-02-07	@	St. Louis Blues	5	1	W			29	19	0		0		27	6	1		0		45	46	49.5	38	34	52.8	30	29	50.8	50.9	117.2
10	2013-02-09		Edmonton Oilers	2	1	W			30	16	2		0		24	24	1		0		49	33	59.8	35	24	59.3	22	11	66.7	55.9	100.0
11	2013-02-10		Los Angeles Kings	3	2	W			31	6	1		0		47	8	0		0		32	55	36.8	27	48	36.0	23	32	41.8	31.3	103.7
12	2013-02-13		St. Louis Blues	3	4	L	OT		18	8	0		0		25	10	1		1		41	32	56.2	23	25	47.9	25	19	56.8	62.8	108.1
13	2013-02-15		Anaheim Ducks	2	5	L			28	6	1		0		37	8	0		0		49	47	51.0	39	36	52.0	25	17	59.5	53.9	87.1
14	2013-02-17	@	Minnesota Wild	2	3	L			31	4	0		0		24	6	0		0		49	38	56.3	39	32	54.9	16	26	38.1	62.1	94.4
15	2013-02-19	@	Nashville Predators	3	4	L	OT		29	12	0		1		25	4	1		0		51	33	60.7	38	26	59.4	20	16	55.6	68.2	89.6
16	2013-02-21		Columbus Blue Jackets	2	3	L			30	23	0		0		24	15	1		0		32	39	45.1	24	27	47.1	21	17	55.3	50.4	98.9
17	2013-02-23		Nashville Predators	4	0	W			27	4	1		0		33	4	0		0		35	55	38.9	29	45	39.2	21	20	51.2	25.9	113.0
18	2013-02-24		Vancouver Canucks	8	3	W			28	6	3		0		21	12	0		0		35	32	52.2	28	23	54.9	21	21	50.0	50.0	108.3
19	2013-02-27	@	Los Angeles Kings	1	2	L			33	10	0		0		29	6	1		0		41	36	53.2	35	31	53.0	20	26	43.5	57.6	99.8
20	2013-02-28	@	San Jose Sharks	2	1	W	SO		34	2	0		0		26	4	0		0		69	58	54.3	46	36	56.1	25	29	46.3	66.0	99.2
21	2013-03-03		Chicago Blackhawks	1	2	L	SO		33	8	0		0		33	4	1		0		36	54	40.0	29	43	40.3	23	25	47.9	43.2	104.0
22	2013-03-05		Colorado Avalanche	2	1	W			33	2	0		0		37	4	0		0		44	53	45.4	36	42	46.2	16	25	39.0	29.6	103.5
23	2013-03-07		Edmonton Oilers	3	0	W			28	5	0		0		22	7	0		0		60	42	58.8	41	28	59.4	35	24	59.3	41.0	111.1
24	2013-03-09	@	Columbus Blue Jackets	0	3	L			30	14	0		0		24	18	1		0		37	33	52.9	30	27	52.6	13	25	34.2	72.9	90.5
25	2013-03-10		Columbus Blue Jackets	2	3	L	SO		23	15	1		0		21	17	0		0		33	37	47.1	23	26	46.9	19	22	46.3	51.7	96.3
26	2013-03-13	@	Calgary Flames	2	5	L			38	4	1		0		22	4	1		0		64	33	66.0	48	28	63.2	19	22	46.3	68.2	81.9
27	2013-03-15	@	Edmonton Oilers	3	2	W	OT		28	11	1		0		32	15	0		0		44	41	51.8	29	34	46.0	28	17	62.2	55.3	103.6
28	2013-03-16	@	Vancouver Canucks	5	2	W			26	12	1		0		35	6	0		0		42	44	48.8	31	36	46.3	30	20	60.0	42.1	110.5
29	2013-03-20		Minnesota Wild	2	4	L			38	8	1		0		19	12	2		0		41	21	66.1	34	15	69.4	21	28	42.9	64.5	88.5
30	2013-03-22	@	Anaheim Ducks	5	1	W			23	21	1		0		34	19	0		0		46	44	51.1	32	32	50.0	22	22	50.0	55.6	117.5
31	2013-03-24	@	Anaheim Ducks	2	1	W			21	11	1		0		34	57	1		0		27	49	35.5	19	38	33.3	22	28	44.0	39.6	107.1
32	2013-03-25	@	Phoenix Coyotes	3	2	W			35	6	2		0		30	10	1		0		49	45	52.1	40	36	52.6	14	29	32.6	53.3	98.8
33	2013-03-28	@	San Jose Sharks	0	2	L			27	0	0		0		24	2	0		0		63	52	54.8	42	36	53.8	22	28	44.0	64.7	91.7
34	2013-03-31		Chicago Blackhawks	1	7	L			34	0	0		0		26	4	0		0		54	46	54.0	43	32	57.3	29	26	52.7	56.3	76.5
35	2013-04-01		Colorado Avalanche	3	2	W			20	6	1		0		24	4	1		0		35	30	53.8	31	24	56.4	20	27	42.6	36.1	105.3
36	2013-04-04	@	Phoenix Coyotes	2	4	L			36	10	2		0		38	14	0		0		49	36	57.6	37	31	54.4	22	22	50.0	65.6	84.6
37	2013-04-05	@	Colorado Avalanche	3	2	W	OT		31	6	1		0		35	8	0		0		55	58	48.7	35	37	48.6	22	20	52.4	62.0	101.0
38	2013-04-07		St. Louis Blues	0	1	L			28	6	0		0		25	8	0		0		44	33	57.1	33	26	55.9	18	24	42.9	63.6	95.5
39	2013-04-11		San Jose Sharks	2	3	L	SO		29	8	1		0		30	8	1		1		47	39	54.7	33	32	50.8	19	28	40.4	64.5	104.3
40	2013-04-12	@	Chicago Blackhawks	2	3	L	SO		29	6	1		0		28	10	0		0		42	42	50.0	30	30	50.0	14	30	31.8	56.6	95.5
41	2013-04-14	@	Nashville Predators	3	0	W			32	4	0		0		22	4	0		0		65	35	65.0	45	24	65.2	23	21	52.3	60.0	110.0
42	2013-04-17	@	Calgary Flames	2	3	L			38	2	0		0		17	10	0		1		56	29	65.9	45	21	68.2	21	21	50.0	65.3	93.1
43	2013-04-20	@	Vancouver Canucks	1	2	L	SO		34	15	0		0		14	13	1		0		47	25	65.3	36	15	70.6	19	15	55.9	63.6	103.4
44	2013-04-22		Phoenix Coyotes	4	0	W			23	10	3		0		34	12	0		0		39	47	45.3	32	38	45.7	19	23	45.2	32.1	105.6
45	2013-04-24		Los Angeles Kings	3	1	W			36	6	1		0		24	8	0		0		58	35	62.4	47	31	60.3	27	18	60.0	66.3	102.1
46	2013-04-25		Nashville Predators	5	2	W			38	10	1		0		22	8	1		0		50	25	66.7	41	22	65.1	25	18	58.1	72.1	106.6
47	2013-04-27	@	Dallas Stars	3	0	W			37	8	0		1		17	12	0		0		62	40	60.8	49	24	67.1	20	19	51.3	74.9	106.5
