	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh
0	1998-10-10		Los Angeles Kings	1	2	L			24	14	0		0		32	12	1		0
1	1998-10-13		Toronto Maple Leafs	2	3	L			30	12	0		0		29	6	2		0
2	1998-10-14	@	Vancouver Canucks	4	1	W			24	37	3		0		13	29	1		0
3	1998-10-17	@	New Jersey Devils	4	2	W			23	13	1		0		34	19	1		0
4	1998-10-20	@	New York Rangers	2	3	L			26	20	2		0		28	14	2		0
5	1998-10-21	@	New York Islanders	4	2	W			30	21	2		0		30	25	1		0
6	1998-10-24	@	Colorado Avalanche	4	6	L			35	63	1		0		27	80	3		1
7	1998-10-28		Washington Capitals	8	2	W			33	17	3		0		24	25	1		1
8	1998-10-31		Pittsburgh Penguins	4	1	W			15	18	1		1		22	18	1		0
9	1998-11-02		Vancouver Canucks	5	3	W			49	26	3		0		16	59	1		0
10	1998-11-04		Nashville Predators	3	2	W			29	18	0		1		28	18	0		0
11	1998-11-06		Colorado Avalanche	2	5	L			21	12	0		0		32	8	2		0
12	1998-11-08	@	Chicago Blackhawks	3	2	W	OT		32	12	1		0		24	14	0		0
13	1998-11-11	@	Toronto Maple Leafs	2	3	L			34	8	0		0		21	22	1		0
14	1998-11-12	@	Ottawa Senators	1	1	T	OT		27	16	0		0		34	10	0		0
15	1998-11-14	@	Montreal Canadiens	4	1	W			27	26	1		0		26	24	0		0
16	1998-11-18		Detroit Red Wings	2	6	L			22	10	1		0		26	12	1		0
17	1998-11-20	@	Mighty Ducks of Anaheim	3	2	W	OT		23	10	1		0		21	10	1		0
18	1998-11-21	@	Phoenix Coyotes	2	3	L	OT		15	19	0		0		39	25	0		0
19	1998-11-25		Colorado Avalanche	3	0	W			41	18	0		0		26	40	0		0
20	1998-11-27	@	Calgary Flames	3	2	W			36	9	0		0		31	11	0		0
21	1998-11-29		Chicago Blackhawks	2	3	L			38	11	2		0		18	35	1		0
22	1998-12-02		Phoenix Coyotes	4	3	W			22	10	1		0		48	6	1		1
23	1998-12-04		Tampa Bay Lightning	1	2	L			35	4	0		0		23	8	1		0
24	1998-12-06		Dallas Stars	2	6	L			25	17	0		1		24	17	1		0
