	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh	empty1	corsi_for	corsi_against	corsi_pct	fenwick_for	fenwick_against	fenwick_pct	faceoff_wins	faceoff_losses	faceoff_percentage	zs_offense_pct	pdo
0	2017-10-04		Calgary Flames	3	0	W			45	7	0	2	0		27	9	0	1	0		73	53	57.9	59	37	61.5	29	26	52.7	60.0	107.1
1	2017-10-07	@	Vancouver Canucks	2	3	L			35	19	1	5	0		26	15	1	7	0		54	26	67.5	44	22	66.7	19	25	43.2	76.8	89.0
2	2017-10-09		Winnipeg Jets	2	5	L			39	8	0	2	0		43	4	1	4	0		57	57	50.0	41	41	50.0	22	34	39.3	52.8	95.9
3	2017-10-14		Ottawa Senators	1	6	L			36	27	0	3	0		31	13	3	5	0		72	38	65.5	47	32	59.5	21	24	46.7	63.9	90.4
4	2017-10-17		Carolina Hurricanes	3	5	L			51	10	2	7	0		21	14	2	5	1		53	28	65.4	41	17	70.7	21	13	61.8	47.4	88.8
5	2017-10-19	@	Chicago Blackhawks	2	1	W	OT		42	10	1	2	0		31	4	0	5	0		54	53	50.5	42	33	56.0	29	24	54.7	42.2	98.4
6	2017-10-21	@	Philadelphia Flyers	1	2	L			24	6	0	3	0		24	6	1	2	0		51	48	51.5	34	28	54.8	20	24	45.5	51.9	99.8
7	2017-10-24	@	Pittsburgh Penguins	1	2	L	OT		30	11	0	2	0		44	9	0	3	0		56	49	53.3	35	38	47.9	16	26	38.1	56.3	98.3
8	2017-10-26		Dallas Stars	5	4	W			35	15	0	3	0		32	11	3	5	0		63	42	60.0	40	27	59.7	24	34	41.4	67.7	111.4
9	2017-10-28		Washington Capitals	2	5	L			40	2	0	4	0		31	10	0	0	0		64	56	53.3	45	44	50.6	35	19	64.8	56.6	89.8
10	2017-11-01		Pittsburgh Penguins	2	3	L			37	8	1	5	0		30	10	2	4	0		47	46	50.5	37	33	52.9	30	22	57.7	61.8	99.4
11	2017-11-03		New Jersey Devils	6	3	W			42	5	1	1	0		34	7	0	0	0		74	66	52.9	60	42	58.8	43	21	67.2	51.2	103.7
12	2017-11-05		Detroit Red Wings	0	4	L			36	4	0	2	0		35	4	1	2	0		68	50	57.6	49	43	53.3	35	23	60.3	62.4	90.3
13	2017-11-07	@	New York Islanders	2	1	W	OT		25	6	0	2	0		37	4	0	3	0		35	52	40.2	25	43	36.8	13	30	30.2	40.0	106.6
14	2017-11-09	@	New Jersey Devils	3	2	W	OT		32	8	0	2	0		34	4	0	4	0		48	48	50.0	35	36	49.3	28	31	47.5	64.5	104.2
15	2017-11-11	@	New York Rangers	2	4	L			29	6	1	2	0		34	4	2	3	0		45	40	52.9	37	35	51.4	30	23	56.6	55.6	97.2
16	2017-11-12	@	Washington Capitals	1	2	L	SO		30	23	0	0	0		19	7	0	3	0		64	31	67.4	45	22	67.2	28	25	52.8	56.7	97.1
17	2017-11-14		Vegas Golden Knights	8	2	W			31	10	3	3	1		24	8	0	4	0		48	40	54.5	39	33	54.2	22	33	40.0	72.2	105.2
18	2017-11-16		St. Louis Blues	1	4	L			30	27	1	3	0		39	15	1	4	1		42	43	49.4	32	32	50.0	20	22	47.6	41.4	93.5
19	2017-11-18	@	Dallas Stars	3	6	L			30	38	1	3	1		21	32	1	6	0		42	27	60.9	28	22	56.0	23	23	50.0	55.3	69.3
20	2017-11-21	@	St. Louis Blues	3	8	L			29	11	0	1	0		40	7	1	3	0		38	58	39.6	30	44	40.5	23	29	44.2	35.5	90.3
21	2017-11-22	@	Detroit Red Wings	6	2	W			28	4	0	1	0		22	2	1	2	0		43	43	50.0	33	30	52.4	27	29	48.2	43.3	118.1
22	2017-11-24	@	Buffalo Sabres	1	3	L			30	6	0	3	0		31	6	0	3	0		52	45	53.6	34	34	50.0	23	41	35.9	67.4	92.5
23	2017-11-26	@	Boston Bruins	4	2	W			36	4	0	2	0		25	4	1	2	0		44	42	51.2	39	31	55.7	25	18	58.1	40.7	108.3
24	2017-11-28		Arizona Coyotes	3	2	W	OT		27	6	0	3	0		31	8	1	2	0		61	65	48.4	40	47	46.0	31	34	47.7	58.6	109.7
25	2017-11-30		Toronto Maple Leafs	4	6	L			45	9	0	2	0		36	9	2	2	0		70	64	52.2	52	48	52.0	31	35	47.0	57.9	98.3
26	2017-12-02	@	Calgary Flames	7	5	W			33	12	0	2	1		34	6	1	6	1		49	47	51.0	42	32	56.8	25	35	41.7	49.5	110.6
27	2017-12-06		Philadelphia Flyers	2	4	L			26	8	0	2	1		33	4	1	4	0		45	42	51.7	34	31	52.3	32	20	61.5	66.7	92.0
28	2017-12-09	@	Montreal Canadiens	6	2	W			40	11	2	4	0		24	13	1	3	0		56	53	51.4	46	30	60.5	32	21	60.4	60.0	107.7
29	2017-12-10	@	Toronto Maple Leafs	0	1	L			41	4	0	4	0		23	8	0	2	0		65	39	62.5	50	27	64.9	15	18	45.5	63.2	95.2
30	2017-12-12	@	Columbus Blue Jackets	7	2	W			38	14	2	4	1		29	18	0	2	0		45	51	46.9	37	37	50.0	28	20	58.3	48.6	106.6
31	2017-12-14		Nashville Predators	0	4	L			46	8	0	3	0		23	8	2	3	0		70	47	59.8	44	32	57.9	21	26	44.7	63.9	90.0
32	2017-12-16	@	Minnesota Wild	3	2	W			29	8	0	6	1		31	12	0	4	0		36	41	46.8	27	33	45.0	22	21	51.2	46.8	103.1
33	2017-12-18		San Jose Sharks	5	3	W			29	6	0	2	0		21	6	1	3	0		46	51	47.4	34	32	51.5	28	30	48.3	51.3	107.5
34	2017-12-21		St. Louis Blues	3	2	W			35	4	0	3	0		36	8	0	1	0		54	51	51.4	41	42	49.4	26	23	53.1	44.6	103.2
35	2017-12-23		Montreal Canadiens	4	1	W			35	4	1	3	0		30	6	1	2	0		56	53	51.4	43	33	56.6	25	29	46.3	36.1	110.7
36	2017-12-27	@	Winnipeg Jets	3	4	L			25	8	0	1	1		39	2	0	4	0		44	59	42.7	34	47	42.0	19	26	42.2	37.5	96.6
37	2017-12-29		Chicago Blackhawks	3	4	L	OT		45	6	1	2	0		36	4	2	3	0		72	66	52.2	56	45	55.4	28	24	53.8	45.9	98.1
38	2017-12-31		Winnipeg Jets	0	5	L			35	6	0	2	0		38	4	2	3	0		57	54	51.4	39	42	48.1	22	31	41.5	51.4	89.7
39	2018-01-02		Los Angeles Kings	0	5	L			32	19	0	3	0		33	11	3	6	0		51	44	53.7	38	30	55.9	15	21	41.7	50.0	90.9
40	2018-01-04		Anaheim Ducks	2	1	W	SO		34	4	0	5	0		34	10	1	2	0		54	49	52.4	37	33	52.9	25	22	53.2	49.0	103.8
41	2018-01-06	@	Dallas Stars	1	5	L			38	6	1	3	0		33	8	0	2	0		56	57	49.6	43	41	51.2	20	34	37.0	66.3	82.1
42	2018-01-07	@	Chicago Blackhawks	1	4	L			33	6	0	1	0		29	2	0	3	0		44	58	43.1	32	34	48.5	20	32	38.5	58.8	86.7
43	2018-01-09	@	Nashville Predators	1	2	L			26	6	0	1	0		24	2	1	3	0		53	33	61.6	39	24	61.9	28	15	65.1	55.1	98.8
44	2018-01-12	@	Arizona Coyotes	4	2	W			27	2	0	1	0		22	2	0	1	0		45	47	48.9	36	35	50.7	26	27	49.1	51.5	108.3
45	2018-01-13	@	Vegas Golden Knights	3	2	W	OT		30	17	0	3	0		36	11	0	6	0		27	45	37.5	25	34	42.4	15	25	37.5	26.7	105.9
46	2018-01-20		Vancouver Canucks	5	2	W			35	6	0	3	0		27	6	1	3	0		47	48	49.5	35	35	50.0	17	31	35.4	44.5	112.9
47	2018-01-23		Buffalo Sabres	0	5	L			33	8	0	2	0		34	4	3	4	0		63	40	61.2	43	33	56.6	31	26	54.4	54.3	92.9
48	2018-01-25		Calgary Flames	4	3	W	SO		37	55	0	3	0		37	23	0	4	0		52	53	49.5	39	42	48.1	31	28	52.5	50.2	101.7
49	2018-02-01		Colorado Avalanche	3	4	L	OT		32	2	0	3	0		31	6	1	1	1		52	55	48.6	39	36	52.0	20	21	48.8	56.0	103.1
50	2018-02-05		Tampa Bay Lightning	6	2	W			35	8	2	4	0		34	10	1	3	0		47	52	47.5	41	36	53.2	21	27	43.8	60.7	109.9
51	2018-02-07	@	Los Angeles Kings	2	5	L			27	11	1	3	0		28	11	1	3	0		37	57	39.4	29	35	45.3	29	17	63.0	52.0	87.4
52	2018-02-09	@	Anaheim Ducks	2	3	L			32	9	0	3	0		34	11	0	2	0		54	51	51.4	40	43	48.2	20	28	41.7	63.3	98.0
53	2018-02-10	@	San Jose Sharks	4	6	L			31	2	0	3	0		30	6	0	1	0		55	57	49.1	35	37	48.6	21	30	41.2	41.9	95.3
54	2018-02-12		Florida Panthers	5	7	L			32	8	0	0	1		40	0	3	4	0		65	58	52.8	46	48	48.9	35	27	56.5	46.7	104.1
55	2018-02-15	@	Vegas Golden Knights	1	4	L			29	9	0	1	0		28	7	1	2	0		53	50	51.5	39	30	56.5	34	21	61.8	47.4	92.6
56	2018-02-17	@	Arizona Coyotes	0	1	L			40	8	0	2	0		32	4	0	4	0		54	45	54.5	47	29	61.8	22	23	48.9	40.0	95.8
57	2018-02-18	@	Colorado Avalanche	4	2	W			40	6	0	1	0		26	2	0	3	0		54	48	52.9	47	38	55.3	25	23	52.1	54.8	103.4
58	2018-02-20		Boston Bruins	2	3	L			20	8	0	1	0		45	4	0	3	0		40	62	39.2	31	47	39.7	18	37	32.7	43.1	101.2
59	2018-02-22		Colorado Avalanche	3	2	W	OT		46	2	0	2	0		30	4	0	1	0		75	58	56.4	57	40	58.8	20	21	48.8	61.0	99.8
60	2018-02-24	@	Los Angeles Kings	4	3	W			25	6	0	2	0		33	4	0	3	0		43	56	43.4	30	42	41.7	19	33	36.5	50.2	107.5
61	2018-02-25	@	Anaheim Ducks	6	5	W	SO		42	6	0	2	0		46	4	1	3	0		55	56	49.5	45	50	47.4	32	29	52.5	41.9	105.0
62	2018-02-27	@	San Jose Sharks	2	5	L			26	8	0	2	0		37	6	0	3	0		53	59	47.3	35	43	44.9	25	29	46.3	36.9	93.6
63	2018-03-01		Nashville Predators	2	4	L			36	6	1	1	0		42	2	0	3	0		52	67	43.7	35	50	41.2	21	35	37.5	52.4	92.2
64	2018-03-03		New York Rangers	2	3	L			37	6	0	2	0		34	4	1	3	0		57	51	52.8	44	35	55.7	20	34	37.0	59.7	98.7
65	2018-03-05		Arizona Coyotes	4	3	W	OT		36	10	1	4	1		35	12	0	3	0		38	55	40.9	26	42	38.2	27	22	55.1	55.0	99.4
66	2018-03-08		New York Islanders	2	1	W	SO		36	7	0	2	0		31	9	0	1	0		73	60	54.9	54	43	55.7	25	39	39.1	58.8	99.6
67	2018-03-10		Minnesota Wild	4	1	W			28	8	2	2	0		33	6	0	3	0		45	58	43.7	33	40	45.2	24	19	55.8	50.0	104.4
68	2018-03-13	@	Calgary Flames	0	1	L			28	9	0	3	0		32	11	0	2	0		45	53	45.9	34	42	44.7	19	21	47.5	62.5	96.4
69	2018-03-14		San Jose Sharks	3	4	L	OT		28	8	0	1	0		40	2	1	4	0		45	59	43.3	33	49	40.2	29	28	50.9	42.1	103.9
70	2018-03-17	@	Florida Panthers	4	2	W			36	19	0	1	1		42	9	0	6	0		57	41	58.2	41	38	51.9	26	24	52.0	61.6	102.5
71	2018-03-18	@	Tampa Bay Lightning	1	3	L			30	8	0	5	0		40	10	1	4	0		32	60	34.8	25	48	34.2	16	20	44.4	32.0	101.8
72	2018-03-20	@	Carolina Hurricanes	7	3	W			30	4	0	1	0		33	2	1	2	0		43	45	48.9	37	38	49.3	17	23	42.5	32.0	117.0
73	2018-03-22	@	Ottawa Senators	6	2	W			38	4	1	5	0		35	10	1	2	0		48	49	49.5	35	37	48.6	26	27	49.1	41.9	112.8
74	2018-03-24		Los Angeles Kings	3	2	W			27	2	0	2	0		29	4	0	1	0		43	60	41.7	38	40	48.7	13	21	38.2	45.0	104.6
75	2018-03-25		Anaheim Ducks	4	5	L	OT		32	4	1	4	0		38	8	0	2	0		47	64	42.3	40	47	46.0	23	26	46.9	55.9	96.8
76	2018-03-27		Columbus Blue Jackets	3	7	L			25	6	1	3	1		27	6	0	3	0		37	50	42.5	28	34	45.2	24	26	48.0	60.9	73.2
77	2018-03-29	@	Vancouver Canucks	1	2	L			36	2	0	2	0		30	4	0	1	0		56	40	58.3	44	35	55.7	28	16	63.6	54.8	96.1
78	2018-03-31	@	Calgary Flames	2	3	L			36	22	0	5	0		20	24	0	3	1		49	33	59.8	38	25	60.3	19	17	52.8	53.6	94.4
79	2018-04-02	@	Minnesota Wild	0	3	L			22	4	0	2	0		40	4	0	2	0		37	56	39.8	29	44	39.7	19	28	40.4	60.0	91.9
80	2018-04-05		Vegas Golden Knights	4	3	W			33	4	1	3	0		33	6	0	2	0		45	44	50.6	39	37	51.3	23	24	48.9	45.8	99.6
81	2018-04-07		Vancouver Canucks	3	2	W	SO		33	8	1	2	0		38	4	0	4	0		62	57	52.1	47	48	49.5	33	27	55.0	58.4	97.2
