	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh	empty1	corsi_for	corsi_against	corsi_pct	fenwick_for	fenwick_against	fenwick_pct	faceoff_wins	faceoff_losses	faceoff_percentage	zs_offense_pct	pdo
0	2009-10-02	@	Chicago Blackhawks	4	3	W	SO		24	6	0		0		55	6	0		0		47	79	37.3	31	59	34.4	25	34	42.4	41.0	108.6
1	2009-10-03		Chicago Blackhawks	0	4	L			23	10	0		0		33	6	3		0		44	42	51.2	34	33	50.7	15	14	51.7	41.2	95.7
2	2009-10-09	@	Carolina Hurricanes	2	7	L			27	8	0		0		33	14	0		1		45	46	49.5	34	34	50.0	26	25	51.0	55.2	81.9
3	2009-10-10		New Jersey Devils	2	3	L			21	12	1		0		41	8	2		0		35	49	41.7	20	38	34.5	22	14	61.1	50.4	103.4
4	2009-10-12	@	Tampa Bay Lightning	2	3	L			33	12	1		1		31	10	2		0		35	42	45.5	28	31	47.5	9	24	27.3	37.5	95.8
5	2009-10-16		Philadelphia Flyers	4	2	W			28	14	1		1		27	16	0		0		52	49	51.5	35	41	46.1	28	23	54.9	45.5	100.0
6	2009-10-21		Buffalo Sabres	2	5	L			43	22	1		0		36	28	1		0		50	46	52.1	45	39	53.6	22	21	51.2	50.4	90.0
7	2009-10-23	@	Pittsburgh Penguins	2	3	L	SO		29	19	1		0		43	15	1		1		52	49	51.5	33	40	45.2	28	27	50.9	40.0	104.5
8	2009-10-24	@	Philadelphia Flyers	1	5	L			18	10	0		0		38	23	2		0		29	54	34.9	21	31	40.4	19	20	48.7	40.0	94.6
9	2009-10-28		Ottawa Senators	3	4	L			38	7	1		0		29	19	1		0		43	39	52.4	32	32	50.0	21	18	53.8	52.4	96.0
10	2009-10-30	@	Dallas Stars	6	5	W	SO		29	12	0		0		37	4	1		0		48	70	40.7	36	42	46.2	27	21	56.3	32.6	105.4
11	2009-10-31	@	St. Louis Blues	4	0	W			27	6	0		0		34	6	0		0		40	58	40.8	33	40	45.2	27	24	52.9	33.6	114.8
12	2009-11-04		Carolina Hurricanes	3	0	W			25	14	1		1		32	16	0		0		26	41	38.8	22	35	38.6	16	17	48.5	30.3	106.7
13	2009-11-06		Washington Capitals	1	4	L			29	4	1		0		25	17	1		0		49	46	51.6	36	33	52.2	25	22	53.2	50.0	86.4
14	2009-11-07	@	Washington Capitals	4	7	L			28	15	0		0		32	11	1		0		48	52	48.0	36	35	50.7	24	25	49.0	37.6	92.9
15	2009-11-12	@	Boston Bruins	1	0	W	SO		23	11	0		0		40	11	0		0		37	53	41.1	25	38	39.7	22	27	44.9	32.9	100.0
16	2009-11-14		New York Islanders	5	4	W	SO		42	8	1		0		40	10	2		0		66	46	58.9	49	40	55.1	31	26	54.4	55.8	101.8
17	2009-11-16		Los Angeles Kings	3	4	L	SO		29	19	1		0		34	13	2		1		44	42	51.2	33	33	50.0	22	22	50.0	35.6	108.7
18	2009-11-18	@	Buffalo Sabres	6	2	W			24	8	1		0		28	6	1		0		41	51	44.6	32	31	50.8	25	11	69.4	55.6	118.0
