	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh
0	2002-10-09		Phoenix Coyotes	4	1	W			33	17	2		0		26	17	0		0
1	2002-10-12		Detroit Red Wings	3	2	W			26	14	1		0		29	18	1		0
2	2002-10-16	@	Mighty Ducks of Anaheim	4	2	W			38	21	0		0		33	15	0		0
3	2002-10-17		Colorado Avalanche	1	4	L			27	23	0		1		32	17	1		0
4	2002-10-19		Vancouver Canucks	2	2	T	OT		16	15	0		0		19	17	0		0
5	2002-10-23	@	Detroit Red Wings	3	3	T	OT		31	19	2		0		28	31	1		0
6	2002-10-25	@	New York Rangers	6	2	W			28	7	2		0		20	19	0		0
7	2002-10-27	@	Columbus Blue Jackets	1	5	L			25	29	0		0		33	15	1		1
8	2002-10-29	@	Atlanta Thrashers	4	0	W			41	31	1		0		25	33	0		0
9	2002-10-31	@	Chicago Blackhawks	1	2	L	OT		23	10	1		0		30	8	1		0
10	2002-11-02		Nashville Predators	6	5	W	OT		32	16	1		0		28	12	3		0
11	2002-11-04		Minnesota Wild	2	5	L			26	6	1		0		23	12	1		1
12	2002-11-05	@	San Jose Sharks	2	5	L			29	19	0		0		32	15	1		0
13	2002-11-08	@	Ottawa Senators	3	2	W			20	12	1		0		30	6	2		0
14	2002-11-09	@	Montreal Canadiens	1	3	L			28	6	0		0		20	4	2		0
15	2002-11-12	@	Toronto Maple Leafs	3	4	L	OT		27	6	1		0		26	4	0		0
16	2002-11-14	@	Vancouver Canucks	2	3	L			21	6	0		0		15	10	2		0
17	2002-11-16	@	Edmonton Oilers	4	1	W			28	4	1		0		18	8	0		0
18	2002-11-19	@	Minnesota Wild	2	2	T	OT		35	16	0		0		21	4	0		0
19	2002-11-21	@	St. Louis Blues	2	3	L	OT		12	8	0		0		37	2	0		0
20	2002-11-23		Dallas Stars	2	0	W			37	15	0		0		29	17	0		0
21	2002-11-27		Florida Panthers	2	5	L			34	10	1		0		27	6	1		0
22	2002-11-29	@	Mighty Ducks of Anaheim	2	2	T	OT		24	8	0		0		25	6	0		0
23	2002-11-30		Chicago Blackhawks	4	1	W			27	17	1		0		13	15	1		0
24	2002-12-05		Nashville Predators	2	3	L			21	25	1		0		19	8	2		0
25	2002-12-07		Columbus Blue Jackets	2	4	L			30	14	0		0		25	12	2		0
26	2002-12-10	@	Nashville Predators	3	0	W			26	16	2		1		19	14	0		0
27	2002-12-11	@	Dallas Stars	3	0	W			18	10	1		0		35	12	0		0
28	2002-12-14		Pittsburgh Penguins	3	2	W	OT		33	6	1		0		17	6	1		0
29	2002-12-15	@	Phoenix Coyotes	1	2	L			23	14	0		0		24	10	1		0
30	2002-12-17		St. Louis Blues	6	2	W			29	26	3		1		36	38	2		0
31	2002-12-19		Mighty Ducks of Anaheim	5	4	W			36	22	1		0		22	20	3		0
32	2002-12-22	@	Chicago Blackhawks	1	3	L			25	11	0		0		20	19	0		0
33	2002-12-23	@	St. Louis Blues	0	5	L			30	14	0		0		28	12	2		0
34	2002-12-26		Phoenix Coyotes	4	3	W	OT		28	37	1		0		36	29	0		0
35	2002-12-29	@	Colorado Avalanche	1	6	L			29	8	1		0		29	6	3		0
36	2002-12-30		Chicago Blackhawks	0	2	L			33	4	0		0		14	10	0		0
37	2003-01-02		Philadelphia Flyers	1	4	L			19	19	0		0		27	23	0		0
38	2003-01-04		Dallas Stars	2	3	L			19	2	1		0		29	4	1		0
39	2003-01-06	@	Minnesota Wild	3	2	W			14	14	1		1		28	6	1		0
40	2003-01-07	@	Dallas Stars	4	7	L			23	18	1		0		23	18	2		0
