	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh	empty1	corsi_for	corsi_against	corsi_pct	fenwick_for	fenwick_against	fenwick_pct	faceoff_wins	faceoff_losses	faceoff_percentage	zs_offense_pct	pdo
0	2013-01-19		Chicago Blackhawks	2	5	L			21	10	0		0		22	10	1		0		34	29	54.0	24	23	51.1	24	17	58.5	60.0	85.8
1	2013-01-22	@	Colorado Avalanche	1	3	L			29	10	0		0		31	14	1		0		47	41	53.4	33	35	48.5	20	21	48.8	67.1	96.6
2	2013-01-24	@	Edmonton Oilers	1	2	L	OT		31	25	0		0		39	31	1		0		40	32	55.6	28	23	54.9	17	17	50.0	56.9	98.8
3	2013-01-26	@	Phoenix Coyotes	4	2	W			31	22	0		0		33	18	1		0		46	46	50.0	38	35	52.1	27	20	57.4	44.0	110.3
4	2013-01-28		Vancouver Canucks	3	2	W	SO		28	6	1		0		23	8	0		0		51	29	63.8	35	24	59.3	26	21	55.3	75.7	94.5
5	2013-01-31		Nashville Predators	1	2	L	SO		24	6	1		0		14	12	0		0		52	30	63.4	32	23	58.2	20	27	42.6	64.3	92.9
6	2013-02-02	@	Anaheim Ducks	4	7	L			34	13	2		0		25	13	3		0		56	29	65.9	42	23	64.6	23	26	46.9	52.4	85.2
7	2013-02-05	@	Columbus Blue Jackets	4	2	W			31	30	1		0		20	29	0		0		48	31	60.8	38	22	63.3	18	29	38.3	58.2	100.0
8	2013-02-07	@	Nashville Predators	0	3	L			32	11	0		0		14	11	1		0		57	19	75.0	39	15	72.2	24	25	49.0	76.7	81.8
9	2013-02-10	@	Detroit Red Wings	2	3	L			47	8	0		0		31	6	1		0		55	32	63.2	48	27	64.0	32	23	58.2	68.7	96.3
10	2013-02-11	@	St. Louis Blues	4	1	W			23	22	1		0		22	22	1		0		34	28	54.8	25	23	52.1	22	21	51.2	50.2	115.8
11	2013-02-15		Columbus Blue Jackets	2	1	W			22	8	1		0		13	10	0		0		31	23	57.4	26	16	61.9	15	14	51.7	47.4	96.8
12	2013-02-17	@	Chicago Blackhawks	2	3	L			27	12	2		0		37	10	1		0		42	47	47.2	23	36	39.0	21	20	51.2	42.8	92.9
13	2013-02-19	@	Edmonton Oilers	3	1	W			38	8	0		0		24	4	1		0		66	35	65.3	51	28	64.6	30	19	61.2	54.6	108.3
14	2013-02-20	@	Calgary Flames	3	1	W			33	12	0		0		27	6	0		0		58	35	62.4	40	26	60.6	33	20	62.3	36.1	104.4
15	2013-02-23		Colorado Avalanche	4	1	W			26	15	0		1		24	11	1		0		43	31	58.1	33	28	54.1	24	22	52.2	43.5	115.8
16	2013-02-25		Anaheim Ducks	5	2	W			25	11	1		0		26	9	1		0		56	34	62.2	40	26	60.6	33	21	61.1	53.1	111.7
17	2013-02-27		Detroit Red Wings	2	1	W			29	6	1		0		33	10	0		0		36	41	46.8	31	35	47.0	26	20	56.5	42.4	100.2
18	2013-03-02	@	Vancouver Canucks	2	5	L			30	11	1		0		24	15	0		0		37	39	48.7	26	28	48.1	29	15	65.9	59.3	80.5
19	2013-03-04		Nashville Predators	5	1	W			16	6	2		0		19	8	0		0		44	31	58.7	30	25	54.5	21	21	50.0	54.2	115.5
20	2013-03-05		St. Louis Blues	6	4	W			29	25	0		0		14	29	0		0		46	24	65.7	34	17	66.7	25	19	56.8	69.6	89.7
21	2013-03-07		Dallas Stars	2	5	L			33	6	0		0		22	2	2		0		50	37	57.5	40	30	57.1	36	19	65.5	58.5	91.4
22	2013-03-09		Calgary Flames	6	2	W			24	13	1		0		19	17	1		0		51	36	58.6	37	28	56.9	30	30	50.0	67.6	115.9
23	2013-03-11		Calgary Flames	3	1	W			22	8	1		0		24	2	0		0		39	40	49.4	31	29	51.7	18	28	39.1	50.0	104.7
24	2013-03-12	@	Phoenix Coyotes	2	5	L			33	6	2		0		29	10	1		0		57	41	58.2	35	32	52.2	26	28	48.1	55.9	85.2
