	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh
0	2006-10-05		Colorado Avalanche	3	2	W	OT		33	10	0		0		31	6	0		1
1	2006-10-07		Nashville Predators	6	5	W			34	14	5		0		30	16	2		1
2	2006-10-10		Vancouver Canucks	2	1	W	SO		36	8	1		0		31	4	0		0
3	2006-10-12		Washington Capitals	3	2	W	SO		38	16	2		0		26	22	1		0
4	2006-10-14		Columbus Blue Jackets	5	0	W			30	18	2		0		24	26	0		0
5	2006-10-18	@	Los Angeles Kings	2	1	W	OT		27	12	0		0		35	12	0		0
6	2006-10-20	@	Anaheim Ducks	1	2	L			28	8	0		0		29	10	0		0
7	2006-10-21	@	San Jose Sharks	4	1	W			18	12	0		0		32	10	0		0
8	2006-10-25		Los Angeles Kings	3	1	W			29	19	1		0		36	19	0		0
9	2006-10-27		Anaheim Ducks	3	2	W	SO		33	22	0		0		34	52	0		0
10	2006-10-29	@	Colorado Avalanche	1	4	L			21	12	1		0		36	6	1		0
11	2006-11-02		Vancouver Canucks	5	2	W			24	14	3		1		30	10	0		0
12	2006-11-04		Nashville Predators	3	4	L			28	8	1		0		21	12	1		0
13	2006-11-07	@	San Jose Sharks	1	3	L			23	14	0		0		30	6	0		0
14	2006-11-11	@	Los Angeles Kings	3	2	W	SO		34	2	1		0		32	12	0		0
15	2006-11-12	@	Anaheim Ducks	2	3	L			26	10	0		0		38	2	1		0
16	2006-11-14	@	Phoenix Coyotes	3	4	L			29	15	0		0		34	9	0		0
17	2006-11-16	@	Nashville Predators	7	6	W	SO		45	10	2		1		45	10	1		0
18	2006-11-18		Colorado Avalanche	1	2	L	SO		29	10	1		0		31	8	0		0
19	2006-11-20	@	Ottawa Senators	3	5	L			45	6	1		1		33	10	2		0
20	2006-11-22	@	Montreal Canadiens	2	4	L			38	16	0		0		35	14	1		0
21	2006-11-24		Phoenix Coyotes	4	0	W			29	10	2		1		28	12	0		0
22	2006-11-25	@	Columbus Blue Jackets	3	5	L			22	10	1		0		33	10	1		0
23	2006-11-29		San Jose Sharks	1	2	L			16	10	0		0		31	4	1		0
24	2006-12-01		Detroit Red Wings	0	3	L			20	10	0		0		23	2	1		0
25	2006-12-02	@	Dallas Stars	3	4	L	SO		35	14	0		0		24	18	1		0
26	2006-12-05		Chicago Blackhawks	3	2	W	SO		37	8	0		0		29	10	0		1
27	2006-12-07		Calgary Flames	3	2	W	SO		27	18	2		0		40	18	1		1
28	2006-12-09		Chicago Blackhawks	5	4	W	OT		38	12	3		1		26	18	1		0
29	2006-12-12	@	Calgary Flames	2	5	L			26	10	1		1		29	10	1		0
30	2006-12-14	@	Edmonton Oilers	1	3	L			25	8	0		0		25	10	0		0
31	2006-12-16	@	Vancouver Canucks	1	2	L			29	12	0		0		18	14	2		0
32	2006-12-19		Vancouver Canucks	5	2	W			27	10	0		0		22	12	1		0
33	2006-12-22	@	Detroit Red Wings	1	3	L			35	8	0		0		25	10	0		1
34	2006-12-23		Detroit Red Wings	3	2	W	OT		35	8	0		1		32	6	0		0
35	2006-12-26	@	Toronto Maple Leafs	3	4	L			21	18	1		0		36	8	2		0
36	2006-12-27	@	Detroit Red Wings	1	3	L			32	12	0		0		33	6	0		0
37	2006-12-29		Columbus Blue Jackets	4	3	W	OT		24	8	3		0		29	22	1		0
38	2006-12-31		Anaheim Ducks	4	3	W			29	14	3		0		30	20	2		0
39	2007-01-02		Atlanta Thrashers	5	1	W			35	8	2		0		15	18	1		0
40	2007-01-04		Tampa Bay Lightning	2	3	L			31	6	0		0		24	8	1		1
41	2007-01-06		Colorado Avalanche	1	2	L	SO		25	10	0		0		27	12	0		0
42	2007-01-09	@	Calgary Flames	0	3	L			26	13	0		0		25	15	1		1
43	2007-01-11	@	Vancouver Canucks	5	2	W			38	6	2		0		26	10	0		0
44	2007-01-12	@	Edmonton Oilers	4	2	W			27	6	0		0		34	16	0		0
45	2007-01-14	@	Chicago Blackhawks	4	3	W	SO		27	10	0		1		41	14	1		0
46	2007-01-16		Edmonton Oilers	1	2	L			29	10	0		0		18	12	2		0
47	2007-01-19	@	Chicago Blackhawks	3	0	W			26	6	0		0		24	6	0		0
48	2007-01-20		Dallas Stars	1	2	L	SO		26	8	0		0		27	4	0		0
49	2007-01-26		Calgary Flames	2	1	W	SO		41	11	1		0		24	11	1		0
50	2007-01-27	@	Columbus Blue Jackets	2	3	L			37	14	1		0		22	18	2		0
51	2007-01-30	@	St. Louis Blues	5	2	W			30	6	1		0		31	10	1		0
52	2007-02-01	@	Colorado Avalanche	5	3	W			37	6	1		0		30	10	1		0
53	2007-02-03	@	Phoenix Coyotes	1	0	W			30	8	0		0		29	6	0		0
54	2007-02-06	@	Dallas Stars	2	4	L			22	10	0		0		35	4	2		0
55	2007-02-08		Florida Panthers	4	2	W			35	8	2		0		43	6	0		0
56	2007-02-10		Carolina Hurricanes	5	4	W			29	10	2		0		26	16	1		0
57	2007-02-14		Vancouver Canucks	2	3	L	OT		32	11	0		0		34	13	1		0
58	2007-02-17	@	Nashville Predators	4	1	W			22	4	2		0		26	8	0		0
