	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh	empty1	corsi_for	corsi_against	corsi_pct	fenwick_for	fenwick_against	fenwick_pct	faceoff_wins	faceoff_losses	faceoff_percentage	zs_offense_pct	pdo
0	2009-10-03	@	Columbus Blue Jackets	1	2	L			33	6	1		0		39	8	0		1		35	46	43.2	29	36	44.6	23	23	50.0	32.1	96.4
1	2009-10-06		Anaheim Ducks	4	3	W	OT		32	13	3		0		19	19	1		0		47	29	61.8	33	23	58.9	33	18	64.7	62.5	92.5
2	2009-10-08	@	Los Angeles Kings	3	6	L			29	8	2		0		23	8	1		0		44	35	55.7	31	25	55.4	27	20	57.4	48.3	79.8
3	2009-10-10	@	San Jose Sharks	2	4	L			40	10	1		0		29	16	1		0		52	41	55.9	39	29	57.4	20	25	44.4	51.8	90.4
4	2009-10-14	@	Anaheim Ducks	2	3	L			34	13	0		0		35	13	0		0		54	40	57.4	47	32	59.5	17	18	48.6	52.8	92.8
5	2009-10-16	@	Edmonton Oilers	2	5	L			31	10	1		0		19	8	0		0		51	45	53.1	42	28	60.0	19	25	43.2	69.1	72.3
6	2009-10-17	@	Vancouver Canucks	1	2	L			18	10	0		0		39	8	0		0		24	53	31.2	17	39	30.4	12	16	42.9	22.2	104.8
7	2009-10-21		Colorado Avalanche	3	2	W	SO		26	9	2		0		35	19	0		0		27	44	38.0	20	43	31.7	23	18	56.1	40.3	94.1
8	2009-10-23	@	St. Louis Blues	1	3	L			21	17	0		0		26	11	0		1		35	32	52.2	24	25	49.0	20	16	55.6	54.5	92.5
9	2009-10-24		Carolina Hurricanes	3	2	W	OT		29	15	1		0		23	23	1		0		41	46	47.1	29	33	46.8	23	16	59.0	47.4	107.5
10	2009-10-26	@	Chicago Blackhawks	1	3	L			21	15	1		0		35	19	1		0		31	43	41.9	20	31	39.2	20	14	58.8	43.9	92.6
11	2009-10-28		Nashville Predators	3	4	L			22	8	1		0		22	6	1		1		41	47	46.6	30	32	48.4	21	25	45.7	62.4	97.8
12	2009-10-30		New York Rangers	3	2	W			32	4	0		0		20	6	0		0		53	37	58.9	43	31	58.1	26	24	52.0	32.2	100.2
13	2009-10-31	@	Pittsburgh Penguins	2	1	W			15	17	0		0		35	13	0		0		31	55	36.0	19	44	30.2	23	23	50.0	22.3	110.1
14	2009-11-05		Vancouver Canucks	2	5	L			30	8	0		0		22	10	1		1		51	27	65.4	40	22	64.5	15	19	44.1	63.6	85.3
15	2009-11-07		Dallas Stars	3	2	W			37	14	0		1		21	12	2		0		36	32	52.9	31	24	56.4	25	21	54.3	40.9	108.7
16	2009-11-10	@	Toronto Maple Leafs	5	2	W			31	8	2		1		39	8	0		0		34	54	38.6	23	37	38.3	18	19	48.6	52.4	103.1
17	2009-11-12	@	Tampa Bay Lightning	3	4	L	SO		34	10	1		0		22	10	1		1		43	30	58.9	34	24	58.6	22	19	53.7	57.1	102.1
18	2009-11-13	@	Washington Capitals	1	3	L			30	6	0		0		41	6	1		0		44	54	44.9	34	40	45.9	22	27	44.9	50.0	97.6
19	2009-11-15	@	Carolina Hurricanes	4	5	L	SO		32	12	0		0		35	6	3		0		49	47	51.0	38	41	48.1	26	24	52.0	45.6	112.4
20	2009-11-18		Phoenix Coyotes	2	3	L			26	4	0		0		32	6	1		0		44	50	46.8	34	40	45.9	19	24	44.2	42.9	101.3
21	2009-11-20		New York Islanders	3	2	W			29	34	1		0		29	22	0		0		40	34	54.1	30	23	56.6	17	23	42.5	54.2	95.8
22	2009-11-25		Boston Bruins	1	2	L	SO		29	8	1		0		16	14	0		0		43	42	50.6	31	22	58.5	20	17	54.1	58.1	90.9
23	2009-11-27		Colorado Avalanche	5	3	W			32	8	2		0		34	8	1		0		49	42	53.8	36	36	50.0	29	26	52.7	53.2	105.1
24	2009-11-28	@	Colorado Avalanche	3	2	W	SO		36	7	0		0		22	13	1		0		54	32	62.8	43	25	63.2	25	19	56.8	47.7	101.5
25	2009-12-02		Nashville Predators	5	4	W	OT		27	9	1		0		35	9	0		0		49	50	49.5	39	42	48.1	31	21	59.6	44.1	103.6
