	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh	empty1	corsi_for	corsi_against	corsi_pct	fenwick_for	fenwick_against	fenwick_pct	faceoff_wins	faceoff_losses	faceoff_percentage	zs_offense_pct	pdo
0	2016-10-13	@	Buffalo Sabres	4	1	W			24	22	0	2	0		31	6	1	5	0		37	37	50.0	31	29	51.7	20	29	40.8	46.4	119.0
1	2016-10-15	@	Ottawa Senators	3	4	L	SO		24	10	1	4	0		38	10	0	4	0		36	50	41.9	25	43	36.8	18	30	37.5	39.6	101.7
2	2016-10-18		Pittsburgh Penguins	4	0	W			32	16	1	6	0		36	14	0	8	0		43	50	46.2	34	43	44.2	34	31	52.3	51.0	112.0
3	2016-10-20		Arizona Coyotes	5	2	W			43	6	1	4	0		29	10	0	2	1		67	53	55.8	52	36	59.1	24	24	50.0	43.6	106.7
4	2016-10-22	@	Boston Bruins	4	2	W			29	16	0	5	1		21	14	1	6	0		42	38	52.5	36	25	59.0	23	19	54.8	56.2	104.8
5	2016-10-24		Philadelphia Flyers	3	1	W			33	2	1	4	0		32	8	0	1	0		45	59	43.3	34	43	44.2	29	27	51.8	32.4	103.6
6	2016-10-26	@	New York Islanders	3	2	W			29	4	1	1	0		28	2	1	2	0		72	51	58.5	44	33	57.1	22	27	44.9	42.4	103.6
7	2016-10-27		Tampa Bay Lightning	3	1	W			26	11	1	3	0		31	11	0	3	0		43	56	43.4	30	38	44.1	23	24	48.9	32.3	104.6
8	2016-10-29		Toronto Maple Leafs	2	1	W			31	12	1	3	0		38	10	1	4	0		47	60	43.9	31	39	44.3	24	17	58.5	36.9	103.8
9	2016-11-02		Vancouver Canucks	3	0	W			21	10	0	3	0		42	6	0	5	0		35	66	34.7	25	44	36.2	25	24	51.0	26.8	114.3
10	2016-11-04	@	Columbus Blue Jackets	0	10	L			30	12	0	1	0		40	4	4	5	0		54	47	53.5	37	38	49.3	38	33	53.5	49.1	80.0
11	2016-11-05		Philadelphia Flyers	5	4	W			17	10	0	3	1		38	6	2	5	0		41	52	44.1	21	35	37.5	24	20	54.5	28.0	123.1
12	2016-11-08		Boston Bruins	3	2	W			23	4	1	2	0		43	4	1	2	0		49	73	40.2	32	49	39.5	26	29	47.3	26.3	106.8
13	2016-11-10		Los Angeles Kings	4	1	W			23	10	0	2	0		24	4	1	5	0		43	31	58.1	31	22	58.5	25	25	50.0	38.7	118.2
14	2016-11-12		Detroit Red Wings	5	0	W			37	12	2	3	0		25	8	0	5	0		61	35	63.5	47	20	70.1	16	22	42.1	70.8	109.1
15	2016-11-13	@	Chicago Blackhawks	2	3	L			23	6	1	2	0		35	6	0	2	0		47	51	48.0	27	43	38.6	24	32	42.9	56.7	95.9
16	2016-11-15		Florida Panthers	3	4	L	OT		37	6	1	3	0		24	6	0	3	0		50	44	53.2	34	31	52.3	24	20	54.5	85.7	87.6
17	2016-11-18	@	Carolina Hurricanes	2	3	L			33	16	0	1	0		18	2	0	2	0		61	45	57.5	47	29	61.8	24	25	49.0	48.3	87.5
18	2016-11-19		Toronto Maple Leafs	2	1	W			29	15	1	5	0		32	12	1	4	0		41	50	45.1	31	30	50.8	26	20	56.5	36.1	104.2
19	2016-11-22		Ottawa Senators	3	4	L			39	17	2	8	0		23	25	1	4	0		55	34	61.8	36	24	60.0	24	24	50.0	61.2	87.2
20	2016-11-24		Carolina Hurricanes	2	1	W			22	6	0	2	0		32	4	0	3	0		36	58	38.3	25	39	39.1	24	24	50.0	44.1	107.9
21	2016-11-26	@	Detroit Red Wings	2	1	W	OT		24	8	0	1	0		33	4	0	3	0		44	49	47.3	33	40	45.2	25	27	48.1	53.8	105.2
22	2016-11-29	@	Anaheim Ducks	1	2	L			40	23	0	3	0		38	13	1	4	0		66	48	57.9	48	39	55.2	26	26	50.0	58.0	98.9
23	2016-12-02	@	San Jose Sharks	1	2	L			32	6	1	4	0		30	8	1	3	0		56	40	58.3	43	31	58.1	22	33	40.0	47.4	95.8
24	2016-12-04	@	Los Angeles Kings	5	4	W	SO		30	8	2	5	0		31	10	2	4	0		45	45	50.0	31	38	44.9	22	31	41.5	57.6	100.6
25	2016-12-06	@	St. Louis Blues	2	3	L	OT		30	8	0	5	0		31	10	0	4	0		45	42	51.7	36	32	52.9	21	27	43.8	42.7	94.1
26	2016-12-08		New Jersey Devils	5	2	W			49	8	0	2	0		21	6	1	3	0		78	41	65.5	62	24	72.1	39	27	59.1	58.2	104.9
27	2016-12-10		Colorado Avalanche	10	1	W			36	10	1	2	0		16	8	0	3	0		57	28	67.1	44	19	69.8	37	15	71.2	43.3	120.6
28	2016-12-12		Boston Bruins	1	2	L	OT		31	9	0	5	0		29	17	0	1	0		60	38	61.2	39	30	56.5	19	27	41.3	56.4	95.5
29	2016-12-16		San Jose Sharks	2	4	L			28	10	0	3	0		23	6	2	5	0		62	34	64.6	34	24	58.6	26	17	60.5	85.2	95.4
30	2016-12-17	@	Washington Capitals	2	1	W			25	20	0	2	0		21	6	1	4	0		40	49	44.9	36	32	52.9	22	23	48.9	45.8	109.1
31	2016-12-20		Anaheim Ducks	5	1	W			34	6	2	6	0		13	12	0	3	0		45	15	75.0	34	13	72.3	22	22	50.0	63.8	100.7
32	2016-12-22		Minnesota Wild	2	4	L			34	8	0	4	1		27	8	0	4	1		57	37	60.6	36	27	57.1	30	22	57.7	55.6	90.8
33	2016-12-23	@	Columbus Blue Jackets	1	2	L			37	8	0	2	0		24	4	1	4	0		57	30	65.5	43	24	64.2	29	25	53.7	59.5	97.0
34	2016-12-28	@	Tampa Bay Lightning	3	4	L	OT		22	6	1	2	0		30	4	1	3	0		36	44	45.0	27	32	45.8	25	24	51.0	43.8	99.0
35	2016-12-29	@	Florida Panthers	3	2	W	OT		41	11	1	2	0		33	9	1	3	0		55	46	54.5	44	39	53.0	29	28	50.9	68.8	101.7
36	2016-12-31	@	Pittsburgh Penguins	3	4	L	OT		40	10	0	2	0		41	4	1	5	0		53	51	51.0	42	36	53.8	30	25	54.5	39.1	97.8
37	2017-01-03	@	Nashville Predators	2	1	W	OT		43	6	0	3	0		23	8	0	2	0		67	40	62.6	48	30	61.5	30	23	56.6	65.0	100.6
38	2017-01-04	@	Dallas Stars	4	3	W	OT		33	9	2	3	0		42	11	1	2	0		56	68	45.2	39	50	43.8	28	35	44.4	55.5	101.5
39	2017-01-07	@	Toronto Maple Leafs	5	3	W			31	36	2	6	0		36	40	2	4	0		33	47	41.3	30	30	50.0	22	20	52.4	34.8	111.8
40	2017-01-09		Washington Capitals	1	4	L			23	4	1	4	0		39	8	1	2	0		50	56	47.2	30	41	42.3	28	20	58.3	44.0	90.9
41	2017-01-11	@	Winnipeg Jets	7	4	W			30	8	1	2	0		27	4	1	4	0		37	46	44.6	30	37	44.8	23	29	44.2	38.7	112.0
42	2017-01-12	@	Minnesota Wild	1	7	L			21	10	1	1	0		24	4	2	4	0		48	31	60.8	35	21	62.5	20	24	45.5	61.5	72.2
43	2017-01-14		New York Rangers	5	4	W			32	24	0	2	0		33	9	1	3	1		55	52	51.4	39	34	53.4	30	20	60.0	52.0	108.4
44	2017-01-16	@	Detroit Red Wings	0	1	L			18	8	0	1	0		20	2	0	4	0		38	32	54.3	25	24	51.0	27	17	61.4	45.2	94.4
45	2017-01-18		Pittsburgh Penguins	1	4	L			20	4	0	1	0		26	2	0	2	0		51	49	51.0	31	38	44.9	32	29	52.5	45.5	88.6
46	2017-01-20	@	New Jersey Devils	3	1	W			26	6	3	7	0		17	13	0	2	0		37	26	58.7	27	18	60.0	26	18	59.1	61.5	93.8
47	2017-01-21		Buffalo Sabres	2	3	L	OT		38	6	0	1	0		38	2	0	3	0		52	53	49.5	44	38	53.7	25	24	51.0	44.9	96.6
48	2017-01-24		Calgary Flames	5	1	W			20	12	2	3	1		31	8	1	5	0		43	37	53.8	26	25	51.0	25	17	59.5	33.0	112.5
49	2017-01-26	@	New York Islanders	1	3	L			22	10	1	3	0		42	8	1	4	0		34	50	40.5	23	43	34.8	22	25	46.8	37.8	94.1
50	2017-01-31		Buffalo Sabres	5	2	W			35	6	0	1	0		39	2	1	3	0		65	54	54.6	47	40	54.0	22	23	48.9	42.3	111.6
51	2017-02-02	@	Philadelphia Flyers	1	3	L			16	6	0	1	0		24	2	1	3	0		43	51	45.7	29	27	51.8	18	23	43.9	36.0	95.1
52	2017-02-04		Washington Capitals	2	3	L			22	8	0	3	0		30	6	1	4	0		39	43	47.6	27	30	47.4	18	24	42.9	47.6	103.1
53	2017-02-05		Edmonton Oilers	0	1	L	SO		22	8	0	1	0		32	2	0	4	0		45	50	47.4	32	33	49.2	29	25	53.7	41.4	100.0
54	2017-02-07	@	Colorado Avalanche	0	4	L			27	6	0	5	0		26	12	1	2	0		44	44	50.0	32	34	48.5	21	25	45.7	41.3	86.4
55	2017-02-09	@	Arizona Coyotes	5	4	W	OT		40	6	1	2	0		25	4	1	3	1		79	39	66.9	63	29	68.5	31	34	47.7	67.7	100.5
56	2017-02-11		St. Louis Blues	2	4	L			30	7	0	1	0		22	7	0	1	0		59	34	63.4	38	28	57.6	37	15	71.2	58.6	88.4
57	2017-02-12	@	Boston Bruins	0	4	L			25	24	0	6	0		36	22	1	7	1		34	36	48.6	27	32	45.8	24	23	51.1	41.3	92.0
58	2017-02-18		Winnipeg Jets	1	3	L			20	6	0	4	0		33	8	0	3	1		47	54	46.5	29	38	43.3	16	32	33.3	51.3	98.9
59	2017-02-21	@	New York Rangers	3	2	W	SO		28	8	1	3	0		30	6	0	4	0		49	45	52.1	40	34	54.1	25	19	56.8	34.4	95.7
60	2017-02-23		New York Islanders	0	3	L			24	6	0	1	0		24	4	0	2	0		56	40	58.3	31	29	51.7	30	22	57.7	57.1	87.5
61	2017-02-25	@	Toronto Maple Leafs	3	2	W	OT		28	4	1	4	0		34	8	0	2	0		51	43	54.3	37	32	53.6	25	20	55.6	54.6	100.4
62	2017-02-27	@	New Jersey Devils	4	3	W	OT		33	6	1	2	0		37	6	1	2	0		49	48	50.5	38	37	50.7	27	31	46.6	55.4	103.7
63	2017-02-28		Columbus Blue Jackets	1	0	W	OT		30	4	1	4	0		26	8	0	2	0		55	48	53.4	33	35	48.5	19	35	35.2	55.5	100.0
64	2017-03-02		Nashville Predators	2	1	W			26	4	0	3	0		25	6	1	2	0		43	55	43.9	25	38	39.7	29	33	46.8	40.5	110.0
65	2017-03-04	@	New York Rangers	4	1	W			35	2	0	1	0		27	4	0	0	0		57	49	53.8	47	38	55.3	34	21	61.8	42.5	108.1
66	2017-03-07	@	Vancouver Canucks	2	1	W	OT		38	2	0	3	0		28	6	0	1	0		47	50	48.5	37	33	52.9	31	24	56.4	33.6	102.9
67	2017-03-09	@	Calgary Flames	0	5	L			24	12	0	2	0		38	14	0	1	0		37	66	35.9	29	51	36.3	32	28	53.3	35.9	86.1
68	2017-03-12	@	Edmonton Oilers	4	1	W			41	13	0	2	0		25	11	0	3	0		67	42	61.5	54	28	65.9	16	37	30.2	37.7	105.0
69	2017-03-14		Chicago Blackhawks	2	4	L			42	2	0	2	0		24	4	0	1	0		80	45	64.0	50	33	60.2	34	23	59.6	58.8	88.0
70	2017-03-18	@	Ottawa Senators	4	3	W	SO		32	8	0	2	0		31	4	1	4	0		52	55	48.6	38	37	50.7	20	28	41.7	29.7	101.4
71	2017-03-19		Ottawa Senators	4	1	W			37	17	1	3	0		31	19	0	2	0		57	46	55.3	42	35	54.5	30	23	56.6	49.2	105.8
72	2017-03-21		Detroit Red Wings	1	2	L	OT		36	2	0	3	0		36	6	1	1	0		60	52	53.6	44	41	51.8	34	27	55.7	59.6	100.3
73	2017-03-23		Carolina Hurricanes	1	4	L			22	4	0	1	0		23	2	1	2	0		47	51	48.0	37	31	54.4	20	34	37.0	37.5	90.3
74	2017-03-25		Ottawa Senators	3	1	W			24	19	2	4	0		32	19	0	3	0		39	54	41.9	27	36	42.9	25	19	56.8	28.8	102.0
75	2017-03-28		Dallas Stars	4	1	W			36	7	0	1	0		28	7	0	1	0		71	50	58.7	47	34	58.0	31	30	50.8	58.5	107.4
76	2017-03-30		Florida Panthers	6	2	W			33	20	0	1	0		31	6	0	3	0		60	44	57.7	42	27	60.9	30	25	54.5	52.9	110.7
77	2017-04-01	@	Tampa Bay Lightning	2	1	W	OT		36	4	0	2	0		22	4	0	2	0		57	48	54.3	47	35	57.3	29	20	59.2	48.5	102.6
78	2017-04-03	@	Florida Panthers	4	1	W			31	9	0	2	0		32	9	0	2	0		52	40	56.5	43	36	54.4	26	26	50.0	43.8	110.6
79	2017-04-05	@	Buffalo Sabres	1	2	L			32	0	0	1	0		30	2	0	0	0		50	48	51.0	45	40	52.9	27	15	64.3	43.3	96.3
80	2017-04-07		Tampa Bay Lightning	2	4	L			29	4	0	4	1		22	8	0	2	0		50	29	63.3	37	24	60.7	26	21	55.3	78.6	79.2
81	2017-04-08	@	Detroit Red Wings	3	2	W	OT		30	0	1	1	0		27	2	0	0	0		46	44	51.1	34	36	48.6	27	21	56.3	44.6	99.5
