	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh	empty1	corsi_for	corsi_against	corsi_pct	fenwick_for	fenwick_against	fenwick_pct	faceoff_wins	faceoff_losses	faceoff_percentage	zs_offense_pct	pdo
0	2018-10-04	@	Carolina Hurricanes	2	1	W	OT		20	6	1	3	0		46	6	0	3	0		32	75	29.9	25	57	30.5	18	26	40.9	37.5	103.8
1	2018-10-06		Nashville Predators	3	4	L			29	4	1	4	0		23	10	0	1	0		40	35	53.3	25	29	46.3	27	20	57.4	60.1	92.9
2	2018-10-08		San Jose Sharks	4	0	W			30	8	1	4	1		35	8	0	4	0		32	54	37.2	24	34	41.4	17	23	42.5	30.8	111.1
3	2018-10-13	@	Nashville Predators	2	5	L			22	4	0	1	0		29	2	1	2	0		41	47	46.6	31	37	45.6	26	28	48.1	40.0	98.5
4	2018-10-17	@	Anaheim Ducks	1	4	L			35	13	0	4	0		25	15	1	3	0		49	41	54.4	40	31	56.3	20	19	51.3	61.6	90.5
5	2018-10-18	@	Los Angeles Kings	7	2	W			32	8	1	3	1		35	6	2	4	0		42	53	44.2	35	39	47.3	24	27	47.1	36.4	119.2
6	2018-10-20	@	San Jose Sharks	1	4	L			25	52	0	1	0		41	30	0	2	0		37	68	35.2	27	54	33.3	22	27	44.9	37.7	94.0
7	2018-10-24		Florida Panthers	2	3	L	OT		22	12	1	3	0		41	8	2	5	0		34	54	38.6	22	43	33.8	29	25	53.7	38.1	101.4
8	2018-10-27	@	Philadelphia Flyers	6	1	W			22	6	1	3	0		23	6	0	3	0		38	48	44.2	23	31	42.6	18	27	40.0	44.4	128.8
9	2018-10-28	@	Carolina Hurricanes	2	1	W			20	6	1	4	0		39	8	0	3	0		36	60	37.5	24	42	36.4	16	27	37.2	40.0	102.3
10	2018-10-30	@	Pittsburgh Penguins	6	3	W			25	6	1	4	0		38	8	0	3	0		34	59	36.6	24	42	36.4	22	19	53.7	55.6	114.7
11	2018-11-01		Pittsburgh Penguins	3	2	W	SO		26	10	0	2	1		31	6	2	4	0		48	45	51.6	37	35	51.4	29	27	51.8	43.1	104.2
12	2018-11-03		New Jersey Devils	3	0	W			33	8	1	4	1		35	8	0	4	0		45	53	45.9	36	37	49.3	15	26	36.6	46.7	104.0
13	2018-11-05		Montreal Canadiens	3	4	L	SO		24	8	0	4	0		35	10	1	3	0		40	59	40.4	29	40	42.0	23	19	54.8	32.5	108.5
14	2018-11-08	@	Tampa Bay Lightning	2	4	L			37	8	0	5	0		27	10	0	4	0		46	31	59.7	36	23	61.0	18	22	45.0	63.8	86.1
15	2018-11-10	@	Florida Panthers	2	4	L			31	12	0	4	0		31	10	1	5	0		40	36	52.6	32	32	50.0	24	23	51.1	67.0	95.5
16	2018-11-13		Vancouver Canucks	5	2	W			34	20	1	5	0		24	20	1	5	0		47	31	60.3	36	24	60.0	21	16	56.8	56.9	108.6
17	2018-11-15		New York Rangers	7	5	W			24	8	2	5	0		41	10	2	4	1		32	44	42.1	21	33	38.9	27	24	52.9	29.6	120.1
