	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh	empty1	corsi_for	corsi_against	corsi_pct	fenwick_for	fenwick_against	fenwick_pct	faceoff_wins	faceoff_losses	faceoff_percentage	zs_offense_pct	pdo
0	2017-10-05		Colorado Avalanche	2	4	L			39	12	2	6	0		26	16	1	5	0		42	34	55.3	30	26	53.6	23	15	60.5	66.4	84.2
1	2017-10-07	@	Toronto Maple Leafs	5	8	L			35	12	2	3	0		41	6	3	6	0		50	56	47.2	44	41	51.8	26	34	43.3	62.2	92.1
2	2017-10-08		Montreal Canadiens	2	0	W			25	2	0	3	0		34	6	0	1	0		28	61	31.5	23	45	33.8	25	19	56.8	35.7	111.1
3	2017-10-10		St. Louis Blues	1	3	L			33	8	1	4	0		23	8	1	4	0		55	32	63.2	37	24	60.7	26	20	56.5	63.8	88.9
4	2017-10-13	@	Columbus Blue Jackets	1	3	L			38	8	0	4	0		43	10	0	3	0		41	62	39.8	31	50	38.3	25	27	48.1	36.7	95.7
5	2017-10-14		New Jersey Devils	2	3	L			31	12	0	3	0		19	8	1	5	0		47	39	54.7	33	30	52.4	25	18	58.1	80.6	94.7
6	2017-10-17		Pittsburgh Penguins	4	5	L	OT		32	10	2	6	0		33	16	1	3	0		44	39	53.0	32	30	51.6	22	21	51.2	46.1	92.4
7	2017-10-19		New York Islanders	3	4	L	SO		41	6	0	1	0		38	2	1	3	0		61	48	56.0	52	37	58.4	27	29	48.2	63.6	100.8
8	2017-10-21		Nashville Predators	4	2	W			15	12	1	5	0		25	12	0	5	0		25	46	35.2	14	32	30.4	17	19	47.2	53.1	119.5
9	2017-10-23		San Jose Sharks	1	4	L			34	2	0	6	0		24	12	0	1	0		41	31	56.9	33	24	57.9	23	16	59.0	54.2	84.3
10	2017-10-26		Arizona Coyotes	5	2	W			30	13	0	2	0		29	11	1	3	0		52	42	55.3	40	30	57.1	30	18	62.5	39.4	113.7
