	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh	empty1	corsi_for	corsi_against	corsi_pct	fenwick_for	fenwick_against	fenwick_pct	faceoff_wins	faceoff_losses	faceoff_percentage	zs_offense_pct	pdo
0	2013-01-19	@	Winnipeg Jets	4	1	W			37	14	1		0		28	6	1		0		53	50	51.5	43	38	53.1	21	25	45.7	63.8	109.7
1	2013-01-21		Florida Panthers	4	0	W			37	11	1		0		31	13	0		0		40	43	48.2	29	30	49.2	29	22	56.9	37.8	112.5
2	2013-01-24	@	Florida Panthers	3	1	W			37	10	1		0		26	6	1		0		53	41	56.4	34	27	55.7	26	23	53.1	57.7	107.1
3	2013-01-25	@	Tampa Bay Lightning	4	6	L			36	29	1		0		31	37	1		0		57	51	52.8	42	39	51.9	29	32	47.5	60.1	91.5
4	2013-01-27		Pittsburgh Penguins	1	2	L	SO		32	10	0		0		34	4	0		0		62	44	58.5	42	33	56.0	22	29	43.1	63.7	99.7
5	2013-01-29		Washington Capitals	3	2	W			27	8	1		0		33	12	0		0		39	41	48.8	29	33	46.8	23	25	47.9	39.9	105.6
6	2013-01-30		Montreal Canadiens	5	1	W			27	28	2		0		32	36	1		0		39	48	44.8	28	31	47.5	28	23	54.9	36.4	113.6
7	2013-02-01	@	Carolina Hurricanes	0	1	L			33	8	0		0		35	8	0		0		52	41	55.9	38	33	53.5	22	28	44.0	50.0	96.0
8	2013-02-03	@	Montreal Canadiens	1	2	L			33	12	1		0		32	8	0		0		58	45	56.3	37	35	51.4	21	23	47.7	68.3	91.3
9	2013-02-05		Buffalo Sabres	4	3	W			24	8	1		0		23	4	0		0		52	37	58.4	33	26	55.9	26	9	74.3	62.5	99.1
10	2013-02-07		Carolina Hurricanes	2	3	L	OT		47	4	0		0		26	6	1		0		72	39	64.9	52	29	64.2	33	23	58.9	76.6	96.2
11	2013-02-09		Winnipeg Jets	0	1	L			33	2	0		0		37	6	0		0		72	50	59.0	51	43	54.3	20	28	41.7	47.2	97.0
12	2013-02-12		Buffalo Sabres	2	0	W			31	10	0		1		42	18	0		0		38	44	46.3	27	38	41.5	24	15	61.5	48.6	104.5
13	2013-02-13	@	Pittsburgh Penguins	2	4	L			29	20	0		0		30	18	1		0		51	37	58.0	32	30	51.6	21	21	50.0	47.8	92.5
14	2013-02-16	@	Toronto Maple Leafs	0	3	L			34	4	0		0		29	8	0		0		52	43	54.7	37	35	51.4	19	16	54.3	58.3	87.5
15	2013-02-18	@	New Jersey Devils	2	1	W	SO		30	34	0		0		31	22	0		0		38	34	52.8	36	28	56.3	30	18	62.5	59.5	98.6
16	2013-02-19		New York Islanders	3	1	W			26	8	1		0		38	10	0		0		42	55	43.3	30	45	40.0	14	22	38.9	37.5	108.2
17	2013-02-21		New York Rangers	3	2	W	SO		37	8	1		1		34	4	1		0		54	54	50.0	40	40	50.0	23	18	56.1	48.8	96.4
18	2013-02-23		Toronto Maple Leafs	3	2	W			35	4	0		0		28	2	1		0		64	51	55.7	42	34	55.3	24	27	47.1	61.1	104.8
19	2013-02-25		Montreal Canadiens	2	1	W	SO		24	8	0		0		45	2	1		0		40	54	42.6	32	45	41.6	29	29	50.0	42.6	104.3
20	2013-02-28	@	Boston Bruins	1	2	L	OT		31	6	1		0		46	10	0		0		51	57	47.2	37	45	45.1	13	28	31.7	46.4	94.3
21	2013-03-02	@	Philadelphia Flyers	1	2	L			34	30	0		0		41	28	0		0		50	54	48.1	40	37	51.9	26	20	56.5	52.2	97.3
22	2013-03-03	@	New York Islanders	2	3	L	SO		31	10	1		0		35	6	0		0		49	64	43.4	36	44	45.0	20	23	46.5	51.7	97.5
23	2013-03-06	@	Toronto Maple Leafs	4	5	L			43	14	0		0		28	12	1		0		92	49	65.2	68	37	64.8	28	34	45.2	71.4	93.8
24	2013-03-08	@	New York Rangers	3	2	W			39	21	1		0		35	13	0		0		72	53	57.6	52	43	54.7	28	22	56.0	51.7	99.0
25	2013-03-11		Boston Bruins	2	3	L	SO		32	23	0		0		35	11	0		0		43	51	45.7	35	41	46.1	31	25	55.4	58.6	99.5
26	2013-03-13	@	Montreal Canadiens	3	4	L	SO		32	14	2		0		45	10	2		0		48	68	41.4	28	48	36.8	34	31	52.3	41.8	101.8
27	2013-03-16	@	Buffalo Sabres	4	3	W	OT		34	15	1		0		36	15	0		0		57	45	55.9	43	35	55.1	32	23	58.2	46.1	99.0
28	2013-03-17		Winnipeg Jets	4	1	W			42	6	2		0		26	8	0		0		54	35	60.7	46	28	62.2	21	21	50.0	67.7	100.8
29	2013-03-19	@	New York Islanders	5	3	W			23	12	0		0		29	2	1		0		41	32	56.2	28	23	54.9	18	26	40.9	52.4	116.3
30	2013-03-21		Boston Bruins	1	2	L			28	6	0		0		29	2	0		0		56	56	50.0	39	41	48.8	26	32	44.8	46.7	96.7
31	2013-03-23		Tampa Bay Lightning	5	3	W			32	30	1		0		32	26	0		0		45	47	48.9	34	32	51.5	16	24	40.0	54.6	103.8
32	2013-03-25		New Jersey Devils	3	2	W	SO		14	7	0		0		34	7	0		0		31	65	32.3	20	51	28.2	29	22	56.9	26.6	108.2
33	2013-03-28		New York Rangers	3	0	W			29	8	1		0		24	4	0		0		46	48	48.9	30	32	48.4	28	21	57.1	51.6	108.7
34	2013-03-30		Toronto Maple Leafs	0	4	L			31	47	0		0		23	47	1		0		45	34	57.0	32	22	59.3	26	21	55.3	62.2	82.4
35	2013-04-02	@	Boston Bruins	2	3	L			47	6	0		0		50	6	0		0		61	62	49.6	45	55	45.0	23	19	54.8	53.6	98.3
36	2013-04-05	@	Buffalo Sabres	2	4	L			37	4	0		0		30	8	0		0		51	38	57.3	40	32	55.6	18	23	43.9	56.0	90.9
37	2013-04-07	@	Florida Panthers	1	2	L			41	7	0		0		17	15	1		0		60	29	67.4	48	22	68.6	25	20	55.6	69.2	96.2
38	2013-04-09	@	Tampa Bay Lightning	2	3	L			33	18	1		0		24	12	2		0		61	27	69.3	44	22	66.7	23	22	51.1	66.3	97.2
39	2013-04-11	@	Philadelphia Flyers	3	1	W			34	4	1		0		25	22	0		1		57	35	62.0	43	20	68.3	21	17	55.3	60.0	107.7
40	2013-04-12	@	New Jersey Devils	2	0	W			11	13	0		0		33	9	0		0		24	48	33.3	15	39	27.8	19	28	40.4	27.6	118.2
41	2013-04-16		Carolina Hurricanes	3	2	W			34	33	0		0		34	43	1		0		37	50	42.5	30	35	46.2	22	24	47.8	26.9	109.1
42	2013-04-18		Washington Capitals	3	1	W			38	6	0		0		19	6	0		0		61	32	65.6	48	23	67.6	27	18	60.0	61.1	101.7
43	2013-04-20		Toronto Maple Leafs	1	4	L			50	13	0		0		22	11	1		0		79	32	71.2	56	25	69.1	26	22	54.2	77.7	85.6
44	2013-04-22		Pittsburgh Penguins	1	3	L			35	23	1		0		24	35	0		0		47	18	72.3	35	15	70.0	17	22	43.6	88.5	72.7
45	2013-04-25	@	Washington Capitals	2	1	W	OT		41	4	1		0		20	22	0		0		50	34	59.5	39	25	60.9	23	28	45.1	63.6	96.8
46	2013-04-27		Philadelphia Flyers	1	2	L			44	24	0		0		25	30	0		0		59	42	58.4	45	33	57.7	24	23	51.1	59.2	94.9
47	2013-04-28	@	Boston Bruins	4	2	W			22	11	0		0		36	11	1		0		41	56	42.3	28	45	38.4	17	31	35.4	52.7	116.9
