	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh	empty1	corsi_for	corsi_against	corsi_pct	fenwick_for	fenwick_against	fenwick_pct	faceoff_wins	faceoff_losses	faceoff_percentage	zs_offense_pct	pdo
0	2015-10-08	@	Buffalo Sabres	3	1	W			22	6	0	0	0		27	0	1	3	0		40	42	48.8	30	31	49.2	39	28	58.2	59.0	113.6
1	2015-10-10	@	Toronto Maple Leafs	5	4	W	SO		33	10	3	6	0		41	14	1	4	0		44	64	40.7	34	49	41.0	27	24	52.9	48.1	95.9
2	2015-10-11		Montreal Canadiens	1	3	L			21	18	0	4	1		34	12	0	7	0		37	54	40.7	23	40	36.5	28	23	54.9	57.5	90.0
3	2015-10-14	@	Columbus Blue Jackets	7	3	W			27	15	1	3	0		41	13	1	4	0		40	49	44.9	33	38	46.5	27	29	48.2	47.4	119.6
4	2015-10-15	@	Pittsburgh Penguins	0	2	L			22	11	0	3	0		36	11	0	3	0		43	46	48.3	31	36	46.3	30	24	55.6	43.1	93.3
5	2015-10-17		Nashville Predators	3	4	L	SO		41	28	0	2	0		25	20	2	6	0		64	40	61.5	45	28	61.6	31	28	52.5	67.9	103.6
6	2015-10-22		New Jersey Devils	4	5	L	SO		39	15	1	5	1		32	28	2	4	0		52	46	53.1	39	36	52.0	15	20	42.9	60.9	99.8
7	2015-10-24		Arizona Coyotes	1	4	L			36	4	0	3	0		26	6	0	2	0		59	39	60.2	48	29	62.3	27	24	52.9	48.6	85.0
8	2015-10-28		Calgary Flames	5	4	W	SO		23	8	0	4	0		38	8	1	4	0		42	56	42.9	26	43	37.7	34	21	61.8	42.7	112.2
9	2015-10-30	@	Detroit Red Wings	3	1	W			35	10	0	4	0		30	8	1	5	0		36	40	47.4	32	30	51.6	17	17	50.0	30.8	111.1
10	2015-10-31		Detroit Red Wings	3	5	L			36	30	0	3	0		28	20	2	3	0		59	41	59.0	40	33	54.8	28	30	48.3	60.4	96.8
11	2015-11-03	@	Montreal Canadiens	2	1	W	OT		27	6	0	1	1		37	2	1	3	0		35	57	38.0	28	39	41.8	16	32	33.3	42.9	104.8
12	2015-11-05		Winnipeg Jets	3	2	W	SO		31	4	0	3	0		40	6	0	2	0		51	70	42.1	35	55	38.9	37	25	59.7	39.4	102.4
13	2015-11-07	@	Carolina Hurricanes	2	3	L	OT		21	6	1	2	0		46	4	1	3	0		34	76	30.9	25	58	30.1	21	34	38.2	28.4	100.8
14	2015-11-10	@	Nashville Predators	5	7	L			26	6	2	3	1		38	6	1	3	0		41	61	40.2	26	49	34.7	31	38	44.9	48.8	91.3
15	2015-11-12		Vancouver Canucks	3	2	W			25	6	2	4	0		35	8	1	3	0		33	55	37.5	24	36	40.0	15	26	36.6	32.0	102.4
16	2015-11-14		New York Rangers	1	2	L	SO		23	11	1	3	0		34	23	1	2	0		53	49	52.0	37	36	50.7	25	21	54.3	33.3	100.0
17	2015-11-16		Detroit Red Wings	3	4	L	OT		25	4	1	2	0		37	4	0	2	0		50	55	47.6	34	43	44.2	33	23	58.9	40.2	96.2
18	2015-11-19		Columbus Blue Jackets	3	0	W			29	17	1	5	0		25	32	0	3	0		45	41	52.3	29	29	50.0	26	20	56.5	42.4	109.5
19	2015-11-21		Philadelphia Flyers	4	0	W			31	35	0	3	0		36	33	0	4	0		43	63	40.6	34	39	46.6	30	16	65.2	54.1	110.7
20	2015-11-24	@	Dallas Stars	7	4	W			20	4	1	3	1		37	6	0	2	1		38	54	41.3	27	41	39.7	23	27	46.0	42.9	121.9
21	2015-11-25	@	Colorado Avalanche	5	3	W			29	27	0	1	1		43	7	1	6	0		40	65	38.1	34	49	41.0	26	24	52.0	47.1	109.5
22	2015-11-28	@	Arizona Coyotes	3	4	L			38	4	1	3	0		19	6	0	2	0		62	32	66.0	51	26	66.2	27	28	49.1	79.3	82.2
23	2015-12-01		Philadelphia Flyers	2	4	L			25	8	0	2	0		33	4	0	4	0		43	47	47.8	27	37	42.2	29	20	59.2	43.1	95.8
24	2015-12-03		Chicago Blackhawks	4	3	W	OT		27	8	2	4	0		38	8	1	3	0		36	63	36.4	29	45	39.2	26	18	59.1	27.1	102.8
25	2015-12-05		New York Islanders	3	2	W	OT		29	2	0	3	0		31	6	1	1	0		53	62	46.1	39	45	46.4	34	21	61.8	45.3	108.0
26	2015-12-06	@	New York Rangers	1	4	L			24	4	0	2	0		31	4	2	2	0		55	49	52.9	34	40	45.9	17	31	35.4	48.6	97.6
27	2015-12-08	@	Florida Panthers	4	2	W			23	8	2	5	1		27	20	0	4	0		31	35	47.0	23	24	48.9	20	20	50.0	62.2	97.2
28	2015-12-10	@	Tampa Bay Lightning	1	4	L			31	8	0	3	0		30	8	1	3	0		47	39	54.7	36	31	53.7	26	21	55.3	70.6	92.0
29	2015-12-12	@	Montreal Canadiens	1	3	L			26	8	0	2	0		42	4	0	4	0		47	54	46.5	31	42	42.5	31	26	54.4	39.6	95.4
30	2015-12-14		Los Angeles Kings	5	3	W			21	6	0	4	0		36	8	1	3	0		30	50	37.5	21	43	32.8	16	30	34.8	25.9	122.7
31	2015-12-16	@	Washington Capitals	1	2	L			27	6	1	3	0		25	14	0	2	0		42	44	48.8	28	35	44.4	22	19	53.7	59.0	91.3
32	2015-12-18		San Jose Sharks	4	2	W			35	8	0	3	0		33	6	1	4	0		43	57	43.0	33	42	44.0	26	29	47.3	37.1	110.3
33	2015-12-20	@	Tampa Bay Lightning	2	5	L			25	22	0	5	1		35	27	2	3	0		31	50	38.3	22	34	39.3	26	20	56.5	55.7	93.9
34	2015-12-22	@	Florida Panthers	1	2	L	SO		16	10	1	2	0		40	4	0	5	0		26	49	34.7	22	37	37.3	27	19	58.7	28.6	96.3
35	2015-12-27		Boston Bruins	3	1	W			22	9	1	2	0		39	19	0	2	0		39	56	41.1	27	48	36.0	17	27	38.6	60.7	107.0
36	2015-12-29	@	Boston Bruins	3	7	L			32	58	0	4	0		37	52	4	7	0		57	45	55.9	40	31	56.3	21	28	42.9	72.8	98.1
37	2015-12-30		New Jersey Devils	0	3	L			36	13	0	4	0		21	13	1	4	1		58	22	72.5	38	20	65.5	15	5	75.0	100.0	93.3
38	2016-01-03	@	Chicago Blackhawks	0	3	L			26	2	0	2	0		30	4	0	1	0		54	54	50.0	33	39	45.8	23	23	50.0	44.1	90.0
39	2016-01-04	@	St. Louis Blues	3	2	W	OT		32	11	2	3	0		38	11	1	3	0		42	57	42.4	33	45	42.3	28	37	43.1	40.3	100.4
40	2016-01-07		Florida Panthers	2	3	L			32	8	0	4	0		16	8	0	4	0		57	35	62.0	36	22	62.1	28	15	65.1	62.7	89.6
41	2016-01-09		Boston Bruins	2	1	W	OT		40	4	0	2	0		34	6	0	1	0		69	61	53.1	47	44	51.6	31	28	52.5	63.7	102.3
42	2016-01-10	@	Washington Capitals	1	7	L			33	8	0	4	0		36	10	2	3	0		44	48	47.8	34	37	47.9	28	27	50.9	46.9	85.3
43	2016-01-13	@	Anaheim Ducks	1	4	L			25	16	0	2	0		38	14	1	3	0		35	55	38.9	22	44	33.3	14	34	29.2	40.0	95.9
44	2016-01-16	@	Los Angeles Kings	5	3	W			23	6	1	4	0		33	8	1	3	0		39	53	42.4	30	37	44.8	21	28	42.9	50.0	112.0
45	2016-01-18	@	San Jose Sharks	4	3	W	SO		17	4	1	1	1		35	2	0	2	0		38	74	33.9	25	51	32.9	24	26	48.0	50.6	96.7
46	2016-01-21	@	New Jersey Devils	3	6	L			32	4	1	4	0		20	8	2	2	0		40	28	58.8	35	22	61.4	33	23	58.9	53.3	82.4
47	2016-01-22		New York Islanders	2	5	L			30	13	0	2	0		34	9	1	4	0		47	62	43.1	33	41	44.6	23	27	46.0	47.8	93.9
48	2016-01-24		New York Rangers	3	0	W			33	6	0	2	1		35	4	0	3	0		67	50	57.3	43	40	51.8	17	23	42.5	50.0	106.7
49	2016-01-26		Buffalo Sabres	2	3	L			36	11	0	2	0		22	11	1	2	0		57	39	59.4	40	25	61.5	32	23	58.2	75.0	96.9
50	2016-02-02	@	Pittsburgh Penguins	5	6	L			23	14	0	1	0		44	6	2	5	0		37	53	41.1	27	45	37.5	37	25	59.7	43.7	110.6
51	2016-02-04		Edmonton Oilers	2	7	L			38	21	1	4	0		28	23	3	3	0		59	47	55.7	36	30	54.5	35	21	62.5	61.3	86.1
52	2016-02-06		Toronto Maple Leafs	6	1	W			25	12	0	3	0		27	10	0	4	0		38	41	48.1	30	29	50.8	23	20	53.5	52.2	120.2
53	2016-02-08		Tampa Bay Lightning	5	1	W			29	13	1	6	0		32	19	0	3	0		36	54	40.0	26	39	40.0	22	22	50.0	48.8	116.7
54	2016-02-10	@	Detroit Red Wings	1	3	L			23	4	1	7	0		29	14	0	2	0		30	39	43.5	28	32	46.7	22	13	62.9	49.6	88.5
55	2016-02-11		Colorado Avalanche	3	4	L			29	8	2	4	0		27	8	3	4	0		60	24	71.4	43	23	65.2	25	21	54.3	60.0	97.8
56	2016-02-13	@	Columbus Blue Jackets	2	4	L			35	13	1	3	0		40	15	0	2	0		60	60	50.0	41	49	45.6	25	33	43.1	60.5	92.2
57	2016-02-16		Buffalo Sabres	2	1	W	SO		26	9	0	2	0		39	9	0	2	0		58	51	53.2	39	44	47.0	30	22	57.7	54.4	100.9
58	2016-02-18		Carolina Hurricanes	4	2	W			22	4	0	4	0		32	18	1	2	0		35	57	38.0	28	37	43.1	20	25	44.4	40.7	117.6
59	2016-02-20		Detroit Red Wings	3	2	W	SO		27	6	0	2	0		31	6	0	2	0		34	42	44.7	24	35	40.7	27	30	47.4	57.6	102.6
60	2016-02-23	@	Edmonton Oilers	4	1	W			25	8	1	2	0		32	6	0	3	0		48	51	48.5	31	38	44.9	24	17	58.5	56.8	111.3
61	2016-02-25	@	Vancouver Canucks	3	5	L			30	10	0	3	1		36	10	1	3	0		43	44	49.4	32	37	46.4	24	15	61.5	57.2	96.6
62	2016-02-27	@	Calgary Flames	6	4	W			26	6	1	3	0		38	6	1	3	0		47	52	47.5	35	42	45.5	29	25	53.7	31.3	114.4
63	2016-03-01		St. Louis Blues	3	4	L	SO		43	12	1	3	0		48	10	2	4	0		59	58	50.4	51	45	53.1	31	22	58.5	46.4	103.2
64	2016-03-03		Tampa Bay Lightning	1	4	L			34	4	0	4	0		29	10	0	1	0		53	50	51.5	37	37	50.0	24	19	55.8	41.4	89.3
65	2016-03-05	@	Toronto Maple Leafs	3	2	W			31	11	0	1	0		43	7	1	3	0		57	74	43.5	43	53	44.8	25	35	41.7	56.1	107.0
