	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh
0	2002-10-10		Toronto Maple Leafs	0	6	L			33	8	0		0		25	18	1		0
1	2002-10-12		New York Rangers	6	0	W			28	20	1		0		30	24	0		0
2	2002-10-14	@	Toronto Maple Leafs	5	4	W			22	16	3		1		33	10	4		0
3	2002-10-16		Atlanta Thrashers	3	2	W			38	14	1		0		34	14	1		1
4	2002-10-19		Tampa Bay Lightning	3	3	T	OT		29	18	1		0		41	14	1		0
5	2002-10-22	@	Montreal Canadiens	3	3	T	OT		30	12	2		0		33	10	0		0
6	2002-10-25	@	Detroit Red Wings	3	7	L			27	12	1		0		44	14	1		0
7	2002-10-26		Buffalo Sabres	5	2	W			23	51	4		0		31	39	1		1
8	2002-10-28		Washington Capitals	3	2	W			24	14	2		1		42	8	0		0
9	2002-10-30	@	Ottawa Senators	4	1	W			19	10	2		0		22	10	1		0
10	2002-11-02		Tampa Bay Lightning	5	3	W			25	6	3		0		29	10	0		0
11	2002-11-06	@	Florida Panthers	3	4	L	OT		29	2	0		0		24	2	1		0
12	2002-11-08	@	Tampa Bay Lightning	1	4	L			16	14	0		0		22	10	1		0
13	2002-11-09	@	Carolina Hurricanes	2	3	L			26	16	1		0		31	10	1		0
14	2002-11-14	@	Minnesota Wild	1	1	T	OT		24	12	0		0		31	8	0		0
15	2002-11-16		New York Islanders	2	3	L			35	26	2		0		27	10	1		0
16	2002-11-18	@	Montreal Canadiens	4	5	L	OT		33	18	4		0		25	16	3		1
17	2002-11-20		Montreal Canadiens	2	3	L	OT		25	4	1		0		35	8	1		0
18	2002-11-22	@	Atlanta Thrashers	3	1	W			23	11	2		0		37	13	0		0
19	2002-11-23		San Jose Sharks	4	1	W			24	9	1		0		25	11	0		0
20	2002-11-27		Philadelphia Flyers	7	2	W			21	4	4		0		43	12	1		0
21	2002-11-29	@	Buffalo Sabres	4	1	W			23	15	2		1		44	15	0		0
22	2002-11-30		Boston Bruins	2	3	L			26	23	2		0		28	18	0		0
23	2002-12-03		Washington Capitals	1	4	L			17	4	0		0		32	6	0		0
24	2002-12-06	@	New Jersey Devils	1	3	L			21	4	0		0		31	2	0		0
25	2002-12-07		New York Islanders	3	6	L			22	8	0		0		26	10	1		0
26	2002-12-10	@	Toronto Maple Leafs	2	4	L			16	6	1		0		23	8	1		0
