	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh
0	1991-10-05		Hartford Whalers	4	2	W			36	28	0		1		25	20	1		0
1	1991-10-08	@	New Jersey Devils	5	6	L			24	18	2		0		43	12	2		0
2	1991-10-10	@	Minnesota North Stars	2	3	L			25	18	1		0		44	14	0		0
3	1991-10-12		Buffalo Sabres	4	5	L			25	72	2		0		40	58	1		0
4	1991-10-13		New York Islanders	1	1	T	OT		25	35	1		0		35	24	1		0
5	1991-10-17	@	Philadelphia Flyers	3	5	L			19	22	0		0		27	16	1		0
6	1991-10-19		Detroit Red Wings	1	6	L			31	71	0		0		33	47	1		0
7	1991-10-23	@	Montreal Canadiens	2	3	L	OT		22	39	0		0		39	14	2		0
8	1991-10-24		Montreal Canadiens	0	5	L			21	44	0		0		29	23	1		0
9	1991-10-26		New York Rangers	3	5	L			27	12	2		0		32	8	1		0
10	1991-10-29		Winnipeg Jets	7	2	W			28	22	0		0		34	20	1		0
11	1991-10-31	@	New York Rangers	4	5	L			26	10	0		2		43	8	0		0
12	1991-11-02		San Jose Sharks	6	3	W			28	23	1		0		32	25	1		0
13	1991-11-07	@	Chicago Blackhawks	2	4	L			24	13	1		0		30	15	1		0
14	1991-11-10		Washington Capitals	3	10	L			33	23	0		0		42	21	2		1
15	1991-11-12	@	Hartford Whalers	4	5	L			23	19	1		1		33	13	2		0
16	1991-11-14	@	Boston Bruins	2	5	L			27	10	0		0		24	8	2		0
17	1991-11-16		Edmonton Oilers	2	6	L			23	20	0		0		37	28	0		0
18	1991-11-18		Pittsburgh Penguins	3	7	L			30	20	0		1		33	18	2		0
19	1991-11-21		Montreal Canadiens	5	2	W			22	37	0		0		26	46	1		0
20	1991-11-23	@	Montreal Canadiens	3	5	L			19	15	1		0		21	15	3		0
21	1991-11-25		Hartford Whalers	5	2	W			28	22	2		0		31	18	1		0
22	1991-11-27	@	Buffalo Sabres	4	4	T	OT		32	13	1		0		29	15	1		0
23	1991-11-28	@	St. Louis Blues	2	5	L			34	15	0		0		34	17	1		1
24	1991-11-30		Buffalo Sabres	4	3	W			41	12	1		0		23	18	2		1
25	1991-12-03		Vancouver Canucks	3	0	W			33	17	0		1		26	17	0		0
26	1991-12-05	@	Boston Bruins	2	2	T	OT		25	14	0		0		35	14	1		0
27	1991-12-07		Los Angeles Kings	7	5	W			28	8	1		0		28	8	2		0
28	1991-12-10		Boston Bruins	5	2	W			19	12	0		0		25	22	1		0
29	1991-12-12	@	Detroit Red Wings	1	4	L			16	12	0		0		27	10	1		0
30	1991-12-14		St. Louis Blues	2	4	L			36	15	0		0		25	19	0		2
31	1991-12-17	@	Washington Capitals	1	3	L			24	44	0		0		32	27	3		0
32	1991-12-19	@	Calgary Flames	5	5	T	OT		23	42	2		1		26	30	2		0
33	1991-12-21	@	San Jose Sharks	1	4	L			35	15	0		0		29	21	0		1
34	1991-12-22	@	Vancouver Canucks	6	6	T	OT		25	18	0		0		34	27	2		0
35	1991-12-26		Montreal Canadiens	1	4	L			23	19	0		0		28	19	1		0
36	1991-12-28		Hartford Whalers	4	1	W			33	18	0		0		24	18	0		0
37	1991-12-30		Toronto Maple Leafs	5	2	W			30	19	1		0		35	17	0		0
38	1992-01-02	@	Hartford Whalers	1	4	L			28	23	0		0		27	21	3		0
39	1992-01-04	@	New York Islanders	2	5	L			37	35	0		1		27	24	2		1
40	1992-01-08	@	Buffalo Sabres	2	4	L			32	43	1		0		32	54	2		0
41	1992-01-09	@	Boston Bruins	4	5	L			22	36	1		0		39	46	0		0
42	1992-01-11		New York Rangers	2	7	L			33	29	0		0		38	29	0		1
43	1992-01-14		Calgary Flames	3	5	L			30	84	1		0		25	51	1		0
