	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh
0	2007-10-04	@	Edmonton Oilers	2	3	L	SO		30	31	1		0		25	21	0		0
1	2007-10-05	@	Vancouver Canucks	3	1	W			31	8	0		0		23	14	0		0
2	2007-10-07	@	Colorado Avalanche	2	6	L			26	21	1		0		25	21	2		0
3	2007-10-10	@	Chicago Blackhawks	2	1	W			32	11	2		0		17	19	0		0
4	2007-10-13		Boston Bruins	1	2	L			27	8	0		0		20	12	0		0
5	2007-10-15	@	Vancouver Canucks	4	2	W			34	38	2		0		26	56	2		0
6	2007-10-18		Detroit Red Wings	2	4	L			25	19	1		0		27	19	2		0
7	2007-10-20		Nashville Predators	3	0	W			20	14	1		0		22	14	0		0
8	2007-10-22	@	Calgary Flames	4	1	W			20	20	2		1		19	28	0		0
9	2007-10-26	@	Detroit Red Wings	1	5	L			11	17	1		0		39	9	0		0
10	2007-10-27	@	Columbus Blue Jackets	1	2	L			17	14	0		0		18	10	1		0
11	2007-10-29	@	Dallas Stars	4	2	W			35	14	0		0		29	16	0		0
12	2007-11-02		Los Angeles Kings	2	5	L			47	2	0		0		30	10	0		0
13	2007-11-03	@	Los Angeles Kings	3	1	W			28	8	1		0		25	2	0		0
14	2007-11-07		Dallas Stars	1	3	L			39	12	1		0		12	20	0		1
15	2007-11-09	@	Anaheim Ducks	2	3	L	SO		24	2	1		0		26	12	0		0
16	2007-11-10		Phoenix Coyotes	4	1	W			28	6	1		0		23	10	0		0
17	2007-11-12		Phoenix Coyotes	5	0	W			28	30	1		1		25	40	0		0
18	2007-11-14	@	Dallas Stars	4	3	W	SO		25	6	0		0		29	10	1		0
19	2007-11-15	@	Phoenix Coyotes	6	0	W			30	12	2		0		15	10	0		0
20	2007-11-17		Anaheim Ducks	1	2	L	SO		29	6	0		0		29	10	0		0
21	2007-11-24		Los Angeles Kings	1	2	L			27	6	0		0		17	6	1		0
22	2007-11-28		Los Angeles Kings	2	3	L	SO		36	12	1		0		31	8	0		1
23	2007-11-30		Colorado Avalanche	3	2	W			29	12	2		0		20	12	1		1
24	2007-12-03	@	Colorado Avalanche	3	2	W			28	4	0		0		35	8	0		0
25	2007-12-05	@	Dallas Stars	3	2	W			28	4	1		0		19	10	0		0
26	2007-12-07	@	Phoenix Coyotes	1	0	W			26	10	0		0		27	10	0		0
27	2007-12-08		Buffalo Sabres	1	7	L			22	10	0		0		34	14	2		1
28	2007-12-11		Minnesota Wild	4	1	W			30	18	1		0		37	18	1		0
29	2007-12-13		Vancouver Canucks	5	2	W			23	4	1		0		17	6	0		0
30	2007-12-15		Dallas Stars	2	4	L			18	31	1		0		22	19	2		0
31	2007-12-16	@	Anaheim Ducks	2	1	W	SO		37	12	0		1		31	20	0		0
32	2007-12-18		Anaheim Ducks	0	2	L			20	24	0		0		16	24	1		0
33	2007-12-20		Phoenix Coyotes	2	3	L	SO		38	27	1		0		37	58	1		1
34	2007-12-22		Anaheim Ducks	2	5	L			29	14	1		0		24	16	1		0
35	2007-12-26	@	Los Angeles Kings	3	2	W			31	24	0		0		31	12	2		0
36	2007-12-28	@	St. Louis Blues	1	0	W			18	10	0		0		26	8	0		0
37	2007-12-29	@	Nashville Predators	5	2	W			29	12	1		0		21	8	0		0
38	2007-12-31	@	Minnesota Wild	3	2	W			25	6	0		0		21	2	0		0
39	2008-01-03		Calgary Flames	2	3	L	OT		36	4	1		0		20	10	0		0
40	2008-01-05		Columbus Blue Jackets	3	2	W			19	6	0		0		23	2	1		0
41	2008-01-10		Vancouver Canucks	3	1	W			31	4	2		0		21	14	0		0
42	2008-01-12		Toronto Maple Leafs	3	2	W			35	6	2		0		25	10	1		0
43	2008-01-13	@	Anaheim Ducks	3	4	L	OT		29	12	1		1		29	8	0		0
44	2008-01-15	@	Phoenix Coyotes	3	5	L			24	8	1		0		28	8	1		0
45	2008-01-17		Dallas Stars	2	4	L			30	13	0		0		31	21	0		0
46	2008-01-19		Detroit Red Wings	3	6	L			18	12	3		0		28	14	2		1
47	2008-01-22		Chicago Blackhawks	3	2	W			23	14	2		1		30	20	0		0
48	2008-01-24		St. Louis Blues	4	1	W			26	16	2		0		18	18	1		0
49	2008-01-29	@	Edmonton Oilers	3	0	W			39	10	0		0		13	10	0		0
50	2008-01-30	@	Calgary Flames	4	5	L			31	13	1		0		29	15	1		1
51	2008-02-02		Chicago Blackhawks	3	2	W	SO		40	19	1		0		21	31	0		0
52	2008-02-06		Colorado Avalanche	1	3	L			31	13	1		0		25	11	1		0
53	2008-02-08		Columbus Blue Jackets	2	1	W	OT		22	15	1		0		32	19	0		0
54	2008-02-09		Nashville Predators	4	3	W			27	15	1		0		13	19	1		0
55	2008-02-12		Calgary Flames	3	4	L	OT		43	6	1		0		18	14	1		0
