	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh	empty1	corsi_for	corsi_against	corsi_pct	fenwick_for	fenwick_against	fenwick_pct	faceoff_wins	faceoff_losses	faceoff_percentage	zs_offense_pct	pdo
0	2013-10-03		Nashville Predators	4	2	W			28	10	2		0		30	20	0		0		37	46	44.6	31	34	47.7	15	23	39.5	62.0	100.7
1	2013-10-05		Florida Panthers	7	0	W			34	53	1		0		19	47	0		0		40	35	53.3	36	25	59.0	22	16	57.9	47.8	119.2
2	2013-10-09		Chicago Blackhawks	3	2	W			34	13	1		0		28	13	2		0		45	48	48.4	37	34	52.1	27	24	52.9	50.0	106.5
3	2013-10-12		New York Rangers	5	3	W			34	14	2		0		29	16	2		0		50	34	59.5	38	27	58.5	21	22	48.8	60.5	105.1
4	2013-10-15		San Jose Sharks	2	6	L			27	47	0		0		39	42	3		0		46	43	51.7	32	38	45.7	23	22	51.1	56.4	98.0
5	2013-10-17	@	Chicago Blackhawks	3	2	W	SO		28	15	1		0		29	23	0		0		42	41	50.6	31	29	51.7	27	28	49.1	55.2	95.5
6	2013-10-18	@	Winnipeg Jets	3	4	L	SO		32	4	0		0		29	6	0		0		56	58	49.1	40	41	49.4	27	22	55.1	38.7	99.2
7	2013-10-25		Vancouver Canucks	2	3	L	OT		24	28	1		0		21	26	1		0		52	33	61.2	40	25	61.5	29	20	59.2	65.4	91.2
8	2013-10-26	@	Nashville Predators	6	1	W			30	25	2		0		23	19	0		1		48	37	56.5	41	28	59.4	16	26	38.1	38.5	115.4
9	2013-10-29		Winnipeg Jets	3	2	W			33	10	1		0		23	12	1		1		44	30	59.5	34	24	58.6	23	17	57.5	65.2	108.0
10	2013-11-01	@	Florida Panthers	4	0	W			23	4	1		0		31	8	0		0		40	47	46.0	30	35	46.2	19	24	44.2	28.6	115.8
11	2013-11-02	@	Tampa Bay Lightning	2	4	L			30	6	0		0		25	8	0		0		44	44	50.0	32	30	51.6	24	25	49.0	52.9	89.0
12	2013-11-05	@	Montreal Canadiens	3	2	W	SO		32	7	0		0		27	13	0		0		67	34	66.3	35	25	58.3	41	20	67.2	52.3	97.1
13	2013-11-07		Calgary Flames	3	2	W			27	19	1		0		20	13	0		0		38	33	53.5	29	19	60.4	17	22	43.6	33.3	93.7
14	2013-11-09		Pittsburgh Penguins	2	1	W			32	19	0		0		20	21	1		0		46	30	60.5	38	21	64.4	25	26	49.0	48.0	107.7
15	2013-11-12		Phoenix Coyotes	2	3	L	OT		39	2	0		0		19	2	0		0		63	31	67.0	48	21	69.6	22	29	43.1	67.4	89.6
16	2013-11-14		Colorado Avalanche	7	3	W			29	25	3		0		24	55	1		0		40	37	51.9	30	28	51.7	25	22	53.2	51.9	106.3
17	2013-11-16		Carolina Hurricanes	4	2	W			32	8	1		0		20	10	0		2		51	30	63.0	38	23	62.3	24	26	48.0	66.5	113.0
18	2013-11-17	@	Washington Capitals	1	4	L			47	13	1		0		20	15	1		0		61	38	61.6	48	29	62.3	24	24	50.0	72.4	82.4
19	2013-11-19	@	Buffalo Sabres	4	1	W			31	4	1		0		24	6	0		0		49	44	52.7	36	31	53.7	22	27	44.9	42.9	107.0
20	2013-11-21	@	Boston Bruins	3	2	W	SO		26	2	0		0		31	2	0		0		48	64	42.9	31	41	43.1	28	32	46.7	51.9	101.4
21	2013-11-23		Dallas Stars	6	1	W			25	16	1		0		35	16	0		0		39	52	42.9	32	40	44.4	24	26	48.0	48.4	118.3
22	2013-11-25		Minnesota Wild	3	0	W			21	6	0		0		22	6	0		0		47	32	59.5	35	24	59.3	31	12	72.1	46.2	117.6
23	2013-11-27	@	Colorado Avalanche	4	1	W			35	10	1		1		26	4	0		0		49	45	52.1	39	26	60.0	19	22	46.3	45.1	101.7
24	2013-11-29	@	San Jose Sharks	3	6	L			24	24	1		0		32	14	2		0		40	48	45.5	25	32	43.9	24	21	53.3	48.5	98.3
25	2013-12-02	@	Los Angeles Kings	2	3	L			27	6	0		0		23	8	0		0		41	41	50.0	36	32	52.9	20	31	39.2	62.1	95.7
26	2013-12-05		New York Islanders	5	1	W			26	15	3		0		23	31	1		0		37	33	52.9	29	31	48.3	21	20	51.2	56.8	109.5
27	2013-12-07		Anaheim Ducks	2	5	L			28	6	0		0		23	12	1		0		47	27	63.5	35	23	60.3	30	25	54.5	61.1	88.7
28	2013-12-10	@	Winnipeg Jets	2	1	W			20	10	1		0		21	8	1		0		43	25	63.2	25	17	59.5	27	19	58.7	46.2	107.7
29	2013-12-12		Toronto Maple Leafs	6	3	W			36	11	0		0		22	11	0		0		48	31	60.8	43	22	66.2	32	19	62.7	54.6	102.7
30	2013-12-14	@	Columbus Blue Jackets	4	3	W	OT		31	26	1		0		33	18	1		0		47	38	55.3	33	26	55.9	21	22	48.8	62.1	100.0
31	2013-12-16	@	Ottawa Senators	2	3	L	OT		32	13	0		0		32	11	0		0		44	58	43.1	34	44	43.6	20	32	38.5	42.1	96.8
32	2013-12-17		San Jose Sharks	2	4	L			22	8	0		0		27	8	0		0		45	41	52.3	27	33	45.0	23	23	50.0	45.4	95.8
33	2013-12-19		Montreal Canadiens	5	1	W			29	10	0		1		26	14	0		0		35	31	53.0	23	22	51.1	22	19	53.7	47.8	116.7
34	2013-12-21	@	Edmonton Oilers	6	0	W			33	12	1		0		23	14	0		0		44	44	50.0	31	27	53.4	23	23	50.0	56.5	118.5
35	2013-12-23	@	Calgary Flames	3	4	L	SO		35	10	1		0		29	8	2		0		48	40	54.5	39	24	61.9	26	26	50.0	50.2	99.6
36	2013-12-28		Chicago Blackhawks	6	5	W	SO		25	2	1		0		32	8	1		0		56	48	53.8	39	36	52.0	25	29	46.3	55.8	103.4
37	2013-12-29	@	Dallas Stars	3	2	W	OT		22	10	2		0		30	4	1		0		39	54	41.9	29	33	46.8	21	30	41.2	50.0	100.5
38	2013-12-31	@	Minnesota Wild	2	1	W			23	6	0		0		25	2	0		0		46	54	46.0	33	31	51.6	23	16	59.0	50.0	105.2
39	2014-01-02		Los Angeles Kings	5	0	W			26	12	2		0		30	10	0		0		29	49	37.2	24	30	44.4	22	14	61.1	44.0	115.8
40	2014-01-04		Columbus Blue Jackets	6	2	W			37	4	0		0		24	4	0		0		63	42	60.0	49	31	61.3	30	22	57.7	64.5	108.3
41	2014-01-07	@	Edmonton Oilers	5	2	W			30	0	2		0		18	6	0		0		49	37	57.0	36	26	58.1	28	26	51.9	67.7	100.7
42	2014-01-09	@	Calgary Flames	5	0	W			29	14	2		0		33	14	0		0		35	43	44.9	25	28	47.2	17	16	51.5	56.3	115.0
43	2014-01-10	@	Vancouver Canucks	1	2	L			31	4	0		0		22	2	0		0		53	41	56.4	39	26	60.0	25	34	42.4	59.0	93.3
44	2014-01-14		Phoenix Coyotes	2	1	W			18	6	1		0		21	6	1		0		28	42	40.0	20	26	43.5	26	28	48.1	31.6	107.7
45	2014-01-16		Los Angeles Kings	1	4	L			29	33	0		0		31	19	0		1		36	31	53.7	29	27	51.8	22	16	57.9	50.7	87.0
46	2014-01-18		Anaheim Ducks	2	3	L			36	8	1		0		21	8	1		0		63	40	61.2	44	30	59.5	35	29	54.7	62.4	93.2
47	2014-01-20	@	Detroit Red Wings	4	1	W			39	12	1		0		23	10	1		0		42	36	53.8	33	26	55.9	21	23	47.7	60.4	112.0
48	2014-01-21	@	New Jersey Devils	1	7	L			27	8	0		0		23	6	3		0		33	27	55.0	24	24	50.0	25	15	62.5	52.2	82.5
49	2014-01-23	@	New York Rangers	2	1	W			25	8	1		0		35	6	0		0		48	54	47.1	31	40	43.7	22	26	45.8	36.3	101.7
50	2014-01-25	@	New York Islanders	4	3	W	SO		35	14	0		0		36	8	0		0		56	43	56.6	46	33	58.2	24	31	43.6	53.7	97.8
51	2014-01-28		New Jersey Devils	3	0	W			25	35	1		0		23	25	0		0		39	42	48.1	27	28	49.1	24	26	48.0	43.1	110.0
52	2014-01-31	@	Carolina Hurricanes	1	3	L			28	8	1		0		31	8	1		0		42	54	43.8	38	35	52.1	23	23	50.0	53.6	91.3
53	2014-02-01		Nashville Predators	4	3	W	SO		34	2	1		0		31	6	0		0		54	59	47.8	40	45	47.1	20	33	37.7	44.7	96.0
54	2014-02-04		Ottawa Senators	4	5	L	SO		50	6	0		0		31	28	0		0		58	48	54.7	47	37	56.0	32	24	57.1	46.3	97.8
55	2014-02-06		Boston Bruins	3	2	W	OT		27	12	0		0		38	10	0		0		36	49	42.4	29	38	43.3	26	24	52.0	39.7	108.0
56	2014-02-08		Winnipeg Jets	4	3	W	SO		26	20	0		0		31	26	1		0		28	39	41.8	18	30	37.5	27	16	62.8	40.6	115.7
