	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh	empty1	corsi_for	corsi_against	corsi_pct	fenwick_for	fenwick_against	fenwick_pct	faceoff_wins	faceoff_losses	faceoff_percentage	zs_offense_pct	pdo
0	2016-10-13		Detroit Red Wings	6	4	W			36	20	3	6	0		32	38	1	2	0		56	39	58.9	41	33	55.4	35	28	55.6	56.8	100.4
1	2016-10-15		New Jersey Devils	3	2	W			34	10	0	3	0		34	8	0	3	0		45	42	51.7	37	33	52.9	17	24	41.5	29.4	103.0
2	2016-10-18		Florida Panthers	4	3	W	SO		28	8	0	3	0		31	8	0	3	1		40	48	45.5	33	42	44.0	26	27	49.1	29.5	104.2
3	2016-10-20		Colorado Avalanche	0	4	L			27	9	0	3	0		16	11	0	2	0		48	31	60.8	33	26	55.9	20	19	51.3	60.0	73.3
4	2016-10-22	@	Ottawa Senators	4	1	W			35	6	2	4	0		28	8	0	3	0		49	38	56.3	35	26	57.4	28	21	57.1	34.4	102.1
5	2016-10-25	@	Toronto Maple Leafs	7	3	W			24	8	2	4	0		43	8	1	4	0		31	59	34.4	25	48	34.2	21	40	34.4	31.3	121.9
6	2016-10-27	@	Montreal Canadiens	1	3	L			31	11	0	3	0		26	11	1	3	0		56	43	56.6	38	30	55.9	24	23	51.1	67.7	95.4
7	2016-10-29	@	New Jersey Devils	1	3	L			33	7	0	4	0		23	13	0	1	0		42	27	60.9	36	26	58.1	21	25	45.7	64.5	88.4
8	2016-10-30	@	New York Rangers	1	6	L			32	10	1	4	0		37	8	0	5	0		51	57	47.2	39	45	46.4	26	32	44.8	58.4	81.3
9	2016-11-01	@	New York Islanders	6	1	W			36	32	2	7	1		27	29	0	4	0		28	38	42.4	22	24	47.8	9	20	31.0	29.4	112.4
10	2016-11-03		Boston Bruins	3	4	L	SO		30	8	2	4	0		31	8	1	4	0		38	43	46.9	28	29	49.1	31	29	51.7	54.5	95.8
11	2016-11-05		New Jersey Devils	4	1	W			35	10	1	4	0		38	10	0	4	0		47	50	48.5	35	41	46.1	29	24	54.7	50.0	107.9
12	2016-11-07	@	Florida Panthers	1	3	L			35	8	0	2	0		32	6	1	3	0		58	45	56.3	49	34	59.0	25	27	48.1	62.9	95.4
13	2016-11-10		New York Islanders	4	1	W			28	2	2	6	0		32	12	0	1	0		40	53	43.0	26	38	40.6	22	22	50.0	23.1	108.3
14	2016-11-12		San Jose Sharks	1	3	L			26	2	0	2	0		20	4	1	1	0		49	36	57.6	34	27	55.7	29	27	51.8	59.1	92.6
15	2016-11-14	@	New York Islanders	4	0	W			31	13	0	5	0		34	25	0	4	0		32	45	41.6	22	33	40.0	19	24	44.2	31.3	122.2
16	2016-11-15	@	Detroit Red Wings	4	3	W			22	25	1	3	0		28	13	2	4	0		31	36	46.3	27	29	48.2	17	24	41.5	33.6	110.2
17	2016-11-17	@	Buffalo Sabres	4	1	W			38	12	2	3	0		33	8	1	5	0		43	36	54.4	35	28	55.6	21	26	44.7	46.7	106.7
18	2016-11-19	@	Philadelphia Flyers	3	0	W			18	17	1	2	0		32	11	0	5	0		22	51	30.1	18	36	33.3	19	19	50.0	32.6	112.5
19	2016-11-21	@	Nashville Predators	1	3	L			25	22	0	3	0		30	21	1	4	0		41	36	53.2	34	31	52.3	26	29	47.3	46.9	95.8
20	2016-11-23		Philadelphia Flyers	4	2	W			29	8	1	7	0		31	14	0	4	0		40	38	51.3	29	28	50.9	29	24	54.7	48.1	105.9
21	2016-11-25		Columbus Blue Jackets	3	5	L			28	8	0	1	0		38	6	1	2	1		50	55	47.6	43	43	50.0	30	28	51.7	51.5	102.1
22	2016-11-27	@	Boston Bruins	1	4	L			31	9	0	2	0		30	11	1	1	0		56	46	54.9	45	39	53.6	29	23	55.8	65.7	92.2
23	2016-11-29	@	Columbus Blue Jackets	1	5	L			27	2	0	1	0		38	2	0	1	0		51	53	49.0	36	44	45.0	31	25	55.4	36.8	88.5
24	2016-12-01	@	St. Louis Blues	4	5	L			26	14	1	2	0		26	4	3	7	0		46	36	56.1	35	32	52.2	20	22	47.6	59.1	101.5
25	2016-12-03		Washington Capitals	2	1	W	SO		33	12	1	3	0		35	6	1	6	0		38	48	44.2	35	34	50.7	19	23	45.2	47.5	100.0
26	2016-12-04	@	Carolina Hurricanes	0	1	L	OT		30	8	0	5	0		30	10	0	4	0		34	46	42.5	29	34	46.0	18	16	52.9	36.5	95.7
27	2016-12-08		Vancouver Canucks	1	5	L			41	6	0	3	0		30	6	0	3	0		60	44	57.7	42	35	54.5	23	21	52.3	57.1	85.1
28	2016-12-10		Pittsburgh Penguins	3	4	L			23	32	1	4	0		37	20	3	5	0		33	43	43.4	26	33	44.1	26	30	46.4	51.0	107.4
29	2016-12-14	@	Calgary Flames	6	3	W			35	15	1	5	1		22	17	2	4	0		42	37	53.2	34	23	59.6	30	20	60.0	64.7	109.3
30	2016-12-16	@	Vancouver Canucks	2	4	L			27	4	1	2	0		24	4	1	2	0		34	40	45.9	29	25	53.7	19	30	38.8	42.3	88.6
31	2016-12-17	@	Edmonton Oilers	2	3	L	SO		33	12	1	4	0		32	8	2	6	0		53	40	57.0	40	32	55.6	19	25	43.2	41.7	104.0
32	2016-12-20		Detroit Red Wings	4	1	W			31	17	2	6	0		27	19	0	5	0		34	36	48.6	28	28	50.0	12	21	36.4	43.8	106.6
33	2016-12-22		St. Louis Blues	5	2	W			32	4	1	2	0		23	6	0	1	0		46	42	52.3	40	31	56.3	28	32	46.7	57.1	104.6
34	2016-12-23	@	Washington Capitals	0	4	L			23	4	0	3	0		27	6	0	2	0		51	44	53.7	34	36	48.6	24	24	50.0	61.3	81.8
35	2016-12-28		Montreal Canadiens	4	3	W	OT		30	4	1	3	0		22	6	1	2	0		44	36	55.0	32	27	54.2	24	25	49.0	56.3	101.0
36	2016-12-29		Toronto Maple Leafs	2	3	L	OT		27	10	0	5	0		35	10	1	5	0		44	46	48.9	30	37	44.8	17	20	45.9	58.3	104.1
37	2016-12-31		Carolina Hurricanes	3	1	W			25	8	2	3	0		27	6	0	4	0		40	41	49.4	29	30	49.2	19	19	50.0	31.6	100.7
38	2017-01-03		Winnipeg Jets	4	6	L			36	10	2	7	0		34	14	1	4	0		41	55	42.7	34	40	45.9	26	23	53.1	56.4	94.5
39	2017-01-05		Nashville Predators	1	6	L			28	15	1	4	0		19	17	1	3	0		58	27	68.2	37	22	62.7	17	22	43.6	75.8	66.7
40	2017-01-07	@	Philadelphia Flyers	2	4	L			26	6	0	2	0		44	6	0	2	0		49	53	48.0	34	43	44.2	19	25	43.2	47.7	95.9
41	2017-01-08	@	Pittsburgh Penguins	2	6	L			30	6	1	4	0		40	8	1	3	0		44	54	44.9	30	42	41.7	26	25	51.0	33.7	89.4
42	2017-01-12		Buffalo Sabres	4	2	W			29	18	2	5	0		26	30	0	4	0		36	35	50.7	23	28	45.1	21	16	56.8	47.8	103.4
43	2017-01-13		Columbus Blue Jackets	1	3	L			32	13	0	3	0		31	11	1	4	1		59	38	60.8	43	31	58.1	29	27	51.8	54.4	98.7
44	2017-01-16	@	Los Angeles Kings	2	1	W			29	11	0	2	0		32	9	0	3	0		51	55	48.1	42	40	51.2	25	21	54.3	63.0	104.2
45	2017-01-17	@	Anaheim Ducks	1	2	L	OT		28	10	0	3	0		21	6	1	5	0		52	33	61.2	32	19	62.7	11	30	26.8	67.9	97.4
46	2017-01-19	@	San Jose Sharks	1	2	L			25	4	1	3	0		24	8	0	1	0		49	46	51.6	35	33	51.5	22	19	53.7	42.1	90.5
47	2017-01-21	@	Arizona Coyotes	3	5	L			48	6	1	5	0		23	20	1	3	0		72	41	63.7	55	32	63.2	25	26	49.0	77.5	84.2
48	2017-01-24	@	Chicago Blackhawks	5	2	W			36	16	0	2	0		36	4	0	3	0		55	47	53.9	46	34	57.5	26	24	52.0	52.9	107.8
49	2017-01-26	@	Florida Panthers	1	2	L	OT		32	13	1	4	0		37	15	1	3	1		46	37	55.4	35	31	53.0	21	21	50.0	50.0	100.0
