	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh
0	2001-10-03		Ottawa Senators	4	5	L			27	30	2		0		24	33	3		0
1	2001-10-06	@	Montreal Canadiens	2	2	T	OT		29	13	0		0		22	13	1		0
2	2001-10-08		Mighty Ducks of Anaheim	6	1	W			31	12	0		0		22	12	0		0
3	2001-10-11	@	Carolina Hurricanes	3	2	W			30	6	0		0		23	10	1		0
4	2001-10-13		St. Louis Blues	2	5	L			20	28	1		0		24	14	1		0
5	2001-10-16	@	Edmonton Oilers	4	1	W			25	21	0		2		16	17	0		0
6	2001-10-18	@	Vancouver Canucks	6	5	W			18	13	0		0		30	25	0		0
7	2001-10-20	@	Calgary Flames	1	4	L			23	24	1		0		23	24	1		0
8	2001-10-23		Boston Bruins	2	0	W			21	11	1		0		30	13	0		0
9	2001-10-25	@	Boston Bruins	1	2	L	OT		17	13	0		0		32	9	1		0
10	2001-10-27		Pittsburgh Penguins	4	0	W			25	11	0		0		23	11	0		0
11	2001-10-30		Tampa Bay Lightning	3	2	W			35	19	0		1		22	11	0		0
12	2001-11-01	@	Pittsburgh Penguins	1	3	L			27	9	0		0		18	11	0		0
13	2001-11-03		Colorado Avalanche	4	1	W			28	8	0		0		24	4	0		0
14	2001-11-06		Washington Capitals	4	2	W			36	14	1		0		38	14	1		0
15	2001-11-09	@	New Jersey Devils	2	3	L	OT		17	22	1		0		29	43	2		0
16	2001-11-10		New Jersey Devils	1	1	T	OT		23	54	1		0		34	70	0		0
17	2001-11-14	@	Florida Panthers	3	2	W			34	8	1		0		28	8	2		0
18	2001-11-15	@	Tampa Bay Lightning	3	2	W			22	4	0		0		20	2	0		0
19	2001-11-17	@	Ottawa Senators	1	2	L	OT		30	22	1		0		27	23	0		0
20	2001-11-19		Florida Panthers	5	1	W			45	27	1		0		18	54	0		0
21	2001-11-21	@	Buffalo Sabres	2	4	L			27	10	0		0		25	2	0		0
22	2001-11-23	@	New York Islanders	1	3	L			25	10	0		0		21	8	0		0
23	2001-11-24		Boston Bruins	2	0	W			12	6	0		0		29	2	0		0
24	2001-11-27		Carolina Hurricanes	2	5	L			28	13	1		0		20	11	1		0
25	2001-11-30	@	Chicago Blackhawks	2	1	W			20	2	0		0		19	8	0		0
26	2001-12-01		Chicago Blackhawks	4	1	W			32	10	1		0		31	21	0		0
27	2001-12-04		Pittsburgh Penguins	0	1	L			27	9	0		0		23	7	0		0
28	2001-12-06	@	New York Rangers	6	3	W			42	22	2		0		26	34	1		0
29	2001-12-08		New York Rangers	4	3	W			28	13	2		0		24	13	1		0
30	2001-12-11		Phoenix Coyotes	6	3	W			25	10	3		0		21	8	1		0
31	2001-12-13	@	St. Louis Blues	4	3	W	OT		18	8	2		0		28	8	2		0
32	2001-12-15		Montreal Canadiens	6	4	W			48	9	1		0		16	13	0		0
33	2001-12-18		Los Angeles Kings	1	3	L			23	11	0		0		32	17	1		0
34	2001-12-21	@	Buffalo Sabres	3	3	T	OT		33	18	1		0		28	16	2		0
35	2001-12-22		Buffalo Sabres	3	2	W			28	18	0		0		18	6	1		0
36	2001-12-26	@	Carolina Hurricanes	3	4	L			25	13	1		0		28	11	3		0
37	2001-12-28	@	Atlanta Thrashers	4	5	L			30	8	0		0		20	6	1		0
38	2001-12-29	@	Florida Panthers	2	4	L			32	46	1		1		31	35	2		0
39	2001-12-31	@	Tampa Bay Lightning	4	1	W			38	4	1		0		17	6	0		0
40	2002-01-03	@	Boston Bruins	2	1	W			22	6	0		0		22	6	0		0
41	2002-01-05		Ottawa Senators	3	1	W			22	10	2		0		10	18	0		1
42	2002-01-07	@	Ottawa Senators	3	4	L			26	12	0		0		16	8	1		0
43	2002-01-08		Nashville Predators	4	3	W			26	15	1		0		25	21	0		0
44	2002-01-11	@	Washington Capitals	3	3	T	OT		32	4	1		0		25	12	2		0
45	2002-01-12		Montreal Canadiens	1	1	T	OT		39	0	0		0		29	4	0		0
46	2002-01-15		Atlanta Thrashers	2	3	L			42	7	0		0		22	7	0		0
47	2002-01-17	@	Nashville Predators	2	3	L	OT		30	6	1		0		26	8	1		0
48	2002-01-19		Philadelphia Flyers	0	3	L			31	33	0		0		26	33	0		0
49	2002-01-22	@	Calgary Flames	6	1	W			31	20	0		0		29	26	0		0
50	2002-01-25	@	Vancouver Canucks	1	6	L			21	18	1		0		32	16	2		0
51	2002-01-26	@	Edmonton Oilers	1	4	L			23	20	0		0		20	6	1		0
52	2002-01-29		San Jose Sharks	4	3	W			33	26	1		0		25	38	0		0
53	2002-01-30	@	Atlanta Thrashers	6	0	W			40	12	1		1		17	14	0		0
54	2002-02-05		Minnesota Wild	3	1	W			35	17	1		0		24	21	0		0
55	2002-02-07	@	New York Islanders	1	4	L			27	13	0		0		26	13	1		1
56	2002-02-09		Montreal Canadiens	4	1	W			46	10	0		1		22	10	1		0
57	2002-02-11		Atlanta Thrashers	5	4	W			29	4	1		0		25	6	0		0
58	2002-02-26		Carolina Hurricanes	4	1	W			25	28	0		1		31	12	0		0
59	2002-03-01	@	New Jersey Devils	2	4	L			21	19	0		0		26	15	0		1
60	2002-03-02		Buffalo Sabres	3	3	T	OT		26	25	2		1		28	10	2		0
61	2002-03-04	@	Washington Capitals	3	2	W			28	4	1		0		29	6	0		0
62	2002-03-06	@	Detroit Red Wings	2	6	L			35	12	1		1		25	10	3		0
63	2002-03-09	@	Montreal Canadiens	1	1	T	OT		28	18	0		0		21	16	1		0
64	2002-03-10	@	Philadelphia Flyers	3	1	W			20	15	1		0		17	19	0		1
65	2002-03-12		Philadelphia Flyers	1	1	T	OT		22	8	0		0		23	10	0		0
66	2002-03-14	@	Boston Bruins	2	1	W			27	10	1		0		20	24	1		0
67	2002-03-16		Dallas Stars	5	5	T	OT		35	6	3		0		31	12	1		0
68	2002-03-19		New York Islanders	3	2	W	OT		24	16	1		0		28	14	1		0
69	2002-03-21		Washington Capitals	3	4	L			22	10	1		0		31	14	0		0
70	2002-03-23		Buffalo Sabres	2	0	W			23	10	0		0		20	10	0		0
71	2002-03-25	@	Philadelphia Flyers	1	4	L			26	20	0		0		36	18	0		1
72	2002-03-26		Tampa Bay Lightning	7	2	W			28	8	0		0		26	4	0		0
73	2002-03-28		New York Islanders	4	5	L			32	10	1		0		22	8	1		0
74	2002-03-30		New Jersey Devils	1	3	L			33	11	0		0		31	11	1		0
75	2002-04-01	@	Detroit Red Wings	5	4	W	OT		26	19	0		0		35	17	0		0
76	2002-04-04		New York Rangers	2	4	L			37	2	1		0		24	8	0		0
77	2002-04-06		Florida Panthers	2	2	T	OT		48	12	1		0		25	16	0		0
78	2002-04-08		Columbus Blue Jackets	4	1	W			34	18	0		0		30	22	0		1
79	2002-04-10	@	New York Rangers	7	2	W			26	23	0		0		23	31	1		0
80	2002-04-12	@	Pittsburgh Penguins	5	2	W			28	10	1		0		29	6	0		0
81	2002-04-13	@	Ottawa Senators	5	2	W			26	48	2		0		28	36	1		0
