	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh	empty1	corsi_for	corsi_against	corsi_pct	fenwick_for	fenwick_against	fenwick_pct	faceoff_wins	faceoff_losses	faceoff_percentage	zs_offense_pct	pdo
0	2019-10-02		San Jose Sharks	4	1	W			35	10	1	4	1		22	8	0	5	0		50	34	59.5	40	24	62.5	21	18	53.8	43.3	101.4
1	2019-10-04	@	San Jose Sharks	5	1	W			29	40	0	3	2		35	36	0	5	0		40	39	50.6	26	34	43.3	14	26	35.0	43.1	110.1
2	2019-10-08		Boston Bruins	3	4	L			34	6	2	3	0		35	6	1	3	0		48	54	47.1	38	42	47.5	22	33	40.0	52.5	93.7
3	2019-10-10	@	Arizona Coyotes	1	4	L			38	4	0	4	0		29	8	0	2	0		39	42	48.1	28	32	46.7	20	21	48.8	59.3	89.2
4	2019-10-12		Calgary Flames	6	2	W			30	8	0	3	0		35	6	0	4	0		39	45	46.4	30	30	50.0	15	30	33.3	60.9	114.9
5	2019-10-13	@	Los Angeles Kings	5	2	W			36	6	3	3	0		38	6	0	3	0		51	55	48.1	43	46	48.3	33	20	62.3	36.1	101.8
6	2019-10-15		Nashville Predators	2	5	L			35	20	1	4	0		39	18	1	5	0		54	43	55.7	38	32	54.3	29	24	54.7	54.1	86.9
7	2019-10-17		Ottawa Senators	3	2	W	SO		54	13	1	3	0		39	11	0	4	0		63	43	59.4	50	36	58.1	30	28	51.7	48.8	96.0
8	2019-10-19	@	Pittsburgh Penguins	3	0	W			24	8	1	3	1		29	6	0	4	0		28	45	38.4	24	31	43.6	26	25	51.0	47.1	105.0
9	2019-10-21	@	Philadelphia Flyers	2	6	L			35	10	1	5	0		37	10	2	5	0		36	51	41.4	31	40	43.7	20	22	47.6	41.7	90.2
10	2019-10-22	@	Chicago Blackhawks	2	1	W	SO		34	8	0	5	0		32	10	0	4	0		48	33	59.3	35	28	55.6	19	23	45.2	62.5	99.4
11	2019-10-25		Colorado Avalanche	1	6	L			26	8	0	4	0		40	10	1	3	1		43	60	41.7	32	43	42.7	15	17	46.9	44.4	92.7
12	2019-10-27		Anaheim Ducks	5	2	W			49	2	2	4	0		15	8	0	1	0		81	32	71.7	64	23	73.6	24	25	49.0	56.5	94.0
13	2019-10-31		Montreal Canadiens	4	5	L	OT		35	6	0	1	0		29	2	0	3	0		56	54	50.9	46	43	51.7	28	28	50.0	58.8	94.8
14	2019-11-02		Winnipeg Jets	3	4	L	OT		26	13	1	3	0		39	11	1	4	0		45	57	44.1	38	40	48.7	40	24	62.5	31.3	99.2
15	2019-11-05	@	Columbus Blue Jackets	2	1	W			25	8	0	3	1		30	6	0	4	0		39	40	49.4	29	32	47.5	17	21	44.7	48.0	100.5
16	2019-11-07	@	Toronto Maple Leafs	1	2	L	OT		38	12	0	5	0		37	10	1	6	0		46	43	51.7	33	30	52.4	19	23	45.2	76.9	99.2
17	2019-11-09	@	Washington Capitals	2	5	L			32	14	1	4	0		34	10	1	6	0		37	41	47.4	28	36	43.8	14	23	37.8	61.1	85.5
18	2019-11-10	@	Detroit Red Wings	2	3	L			19	4	0	2	0		19	4	1	2	0		34	28	54.8	22	24	47.8	26	26	50.0	55.5	103.6
19	2019-11-13		Chicago Blackhawks	3	5	L			42	4	1	2	0		26	6	0	1	0		64	43	59.8	54	34	61.4	28	24	53.8	72.4	85.6
20	2019-11-16	@	Los Angeles Kings	3	4	L			31	4	0	3	0		25	6	1	2	1		52	38	57.8	42	30	58.3	26	26	50.0	70.5	101.1
21	2019-11-17		Calgary Flames	6	0	W			37	12	1	3	0		34	14	0	2	0		61	61	50.0	50	41	54.9	34	25	57.6	50.6	116.7
22	2019-11-19		Toronto Maple Leafs	4	2	W			37	4	2	2	0		33	4	1	2	0		60	59	50.4	43	40	51.8	26	33	44.1	69.0	102.9
23	2019-11-21		San Jose Sharks	1	2	L	OT		38	4	0	3	0		29	6	0	2	0		57	41	58.2	42	30	58.3	24	20	54.5	67.0	94.8
24	2019-11-23		Edmonton Oilers	2	4	L			27	6	0	0	0		31	0	1	3	0		51	47	52.0	33	32	50.8	25	27	48.1	65.7	95.4
25	2019-11-25	@	Dallas Stars	2	4	L			28	8	0	4	0		28	10	2	3	0		59	46	56.2	36	30	54.5	20	19	51.3	65.8	98.7
26	2019-11-27	@	Nashville Predators	4	3	W	OT		30	4	0	2	0		34	4	0	2	0		49	54	47.6	37	42	46.8	27	28	49.1	51.6	105.2
27	2019-11-29		Arizona Coyotes	2	1	W	SO		38	4	1	5	0		36	10	0	1	0		50	56	47.2	35	44	44.3	26	20	56.5	51.0	97.1
28	2019-12-02	@	New York Rangers	4	1	W			32	12	2	2	0		30	6	0	6	0		50	51	49.5	40	34	54.1	19	13	59.4	35.9	102.6
29	2019-12-03	@	New Jersey Devils	4	3	W			30	6	1	3	0		35	8	0	2	0		41	55	42.7	28	42	40.0	24	22	52.2	38.5	103.9
30	2019-12-05	@	New York Islanders	2	3	L	OT		33	4	0	1	0		31	2	1	2	0		57	57	50.0	39	44	47.0	22	27	44.9	56.9	99.6
31	2019-12-08		New York Rangers	0	5	L			38	15	0	4	0		25	13	2	5	0		54	32	62.8	38	26	59.4	24	21	53.3	47.1	84.2
32	2019-12-10		Chicago Blackhawks	5	1	W			37	8	1	2	1		29	4	1	4	0		48	51	48.5	38	40	48.7	29	28	50.9	41.0	109.7
33	2019-12-12	@	St. Louis Blues	2	4	L			29	0	0	3	0		29	6	0	0	0		47	42	52.8	33	37	47.1	20	18	52.6	65.0	93.2
34	2019-12-13	@	Dallas Stars	3	2	W	OT		32	4	0	2	0		30	4	0	2	0		52	51	50.5	40	31	56.3	27	24	52.9	40.0	103.2
35	2019-12-15		Vancouver Canucks	6	3	W			46	8	2	4	0		29	12	1	2	0		63	44	58.9	48	36	57.1	22	34	39.3	48.3	102.5
36	2019-12-17		Minnesota Wild	3	2	W			29	10	0	1	0		26	2	1	5	0		51	45	53.1	38	30	55.9	25	17	59.5	59.8	106.5
37	2019-12-19	@	Vancouver Canucks	4	5	L	OT		43	14	0	1	0		34	6	1	5	0		65	38	63.1	48	36	57.1	20	33	37.7	72.1	96.0
38	2019-12-22	@	San Jose Sharks	3	1	W			37	10	0	3	0		38	10	0	3	0		66	51	56.4	51	34	60.0	25	22	53.2	64.8	105.1
39	2019-12-23		Colorado Avalanche	3	7	L			32	17	0	1	0		38	9	2	5	1		47	55	46.1	38	43	46.9	25	35	41.7	44.7	98.2
40	2019-12-27	@	Anaheim Ducks	3	4	L			29	10	0	2	0		18	8	2	3	0		51	31	62.2	41	24	63.1	16	18	47.1	57.5	97.3
41	2019-12-28		Arizona Coyotes	4	1	W			36	15	2	3	0		28	11	0	5	0		54	47	53.5	42	31	57.5	21	20	51.2	56.9	102.3
42	2019-12-31		Anaheim Ducks	5	2	W			43	9	0	1	0		28	7	0	2	0		66	43	60.6	55	34	61.8	24	22	52.2	58.6	102.9
43	2020-01-02		Philadelphia Flyers	5	4	W			33	6	1	1	0		38	2	1	3	0		61	45	57.5	48	37	56.5	25	29	46.3	39.5	103.3
44	2020-01-04		St. Louis Blues	5	4	W	OT		33	12	0	2	0		31	10	2	3	0		55	40	57.9	42	30	58.3	20	38	34.5	55.7	107.8
45	2020-01-07		Pittsburgh Penguins	3	4	L			34	4	1	3	0		16	6	1	2	0		60	29	67.4	46	23	66.7	24	25	49.0	75.0	87.1
46	2020-01-09		Los Angeles Kings	2	5	L			46	2	0	1	0		23	2	1	1	0		75	44	63.0	58	31	65.2	41	26	61.2	69.4	85.4
47	2020-01-11		Columbus Blue Jackets	0	3	L			27	4	0	3	0		22	6	1	2	0		48	35	57.8	38	24	61.3	25	18	58.1	68.8	88.2
48	2020-01-14	@	Buffalo Sabres	2	4	L			26	8	1	3	0		26	8	2	3	0		49	34	59.0	33	29	53.2	17	24	41.5	55.3	95.8
49	2020-01-16	@	Ottawa Senators	4	2	W			43	8	0	1	1		35	2	1	4	0		61	44	58.1	47	37	56.0	25	22	53.2	64.1	104.1
50	2020-01-18	@	Montreal Canadiens	4	5	L	SO		34	2	0	2	0		32	4	0	1	0		58	48	54.7	41	40	50.6	25	24	51.0	74.2	100.4
51	2020-01-21	@	Boston Bruins	2	3	L			29	10	1	2	0		37	4	0	5	0		36	44	45.0	31	40	43.7	20	20	50.0	62.9	94.9
