	date_game	game_location	opp_name	goals	opp_goals	game_outcome	overtimes	empty1	shots	pen_min	goals_pp	chances_pp	goals_sh	empty2	shots_against	pen_min_opp	goals_against_pp	opp_chances_pp	goals_against_sh
0	1996-10-05		Chicago Blackhawks	2	5	L			23	24	0		0		27	28	1		0
1	1996-10-08	@	Dallas Stars	3	5	L			26	33	2		0		27	29	1		0
2	1996-10-11		Tampa Bay Lightning	6	2	W			31	16	2		1		23	16	0		0
3	1996-10-12		Los Angeles Kings	3	4	L			22	6	0		0		26	6	0		0
4	1996-10-18		Buffalo Sabres	1	4	L			32	22	1		0		26	22	0		1
5	1996-10-19	@	Pittsburgh Penguins	1	2	L			19	36	1		0		19	43	1		0
6	1996-10-23	@	New York Rangers	3	2	W			23	12	0		0		25	8	1		0
7	1996-10-26	@	St. Louis Blues	6	4	W			28	18	1		0		29	20	1		0
8	1996-10-28	@	Colorado Avalanche	0	1	L			40	10	0		0		34	10	0		0
9	1996-10-30		Philadelphia Flyers	4	2	W			28	29	2		0		25	29	1		0
10	1996-11-01		Pittsburgh Penguins	4	2	W			35	23	2		1		41	19	2		0
11	1996-11-02	@	New York Islanders	1	6	L			29	12	1		0		20	12	2		0
12	1996-11-06	@	Tampa Bay Lightning	2	1	W			26	16	0		0		17	14	0		0
13	1996-11-07	@	Florida Panthers	2	4	L			26	12	0		1		32	12	1		0
14	1996-11-09		New York Rangers	3	2	W			21	11	1		0		25	13	1		0
15	1996-11-12	@	New Jersey Devils	2	3	L	OT		20	20	0		0		26	4	0		0
16	1996-11-14	@	Philadelphia Flyers	5	2	W			27	10	2		0		30	8	0		0
17	1996-11-15		Montreal Canadiens	3	1	W			24	14	0		0		31	22	0		0
18	1996-11-18	@	Florida Panthers	4	2	W			29	23	1		0		29	19	0		1
19	1996-11-19		Boston Bruins	2	2	T	OT		30	6	0		0		23	10	1		0
20	1996-11-22	@	New Jersey Devils	5	1	W			27	29	2		1		39	19	0		0
21	1996-11-23		New Jersey Devils	4	3	W			23	34	1		0		32	21	1		0
22	1996-11-27		Ottawa Senators	1	2	L			32	4	0		0		15	2	0		0
23	1996-11-29		New York Islanders	0	2	L			23	21	0		0		22	21	0		1
24	1996-11-30	@	Montreal Canadiens	2	0	W			20	12	0		0		27	6	0		0
25	1996-12-04		Detroit Red Wings	0	2	L			19	67	0		0		18	63	1		1
26	1996-12-06		Pittsburgh Penguins	3	5	L			29	8	0		0		28	22	1		0
27	1996-12-07	@	New York Islanders	0	2	L			24	34	0		0		23	24	0		0
28	1996-12-11	@	San Jose Sharks	2	3	L			22	25	0		0		28	21	1		1
29	1996-12-13	@	Mighty Ducks of Anaheim	4	5	L			37	33	1		1		26	33	1		0
30	1996-12-14	@	Los Angeles Kings	4	4	T	OT		44	14	1		0		31	12	0		0
31	1996-12-17	@	Phoenix Coyotes	3	4	L			34	17	2		0		26	15	0		1
32	1996-12-20		San Jose Sharks	3	2	W			32	21	0		0		21	8	0		0
33	1996-12-21	@	Boston Bruins	3	4	L			31	4	0		0		33	4	0		0
34	1996-12-23	@	Tampa Bay Lightning	3	1	W			34	6	1		0		24	12	0		0
35	1996-12-26	@	Detroit Red Wings	4	5	L	OT		38	6	0		0		33	6	0		0
36	1996-12-28		Florida Panthers	1	1	T	OT		25	19	0		0		20	21	0		0
37	1996-12-30	@	Pittsburgh Penguins	3	5	L			28	10	0		1		30	4	0		0
38	1997-01-01		Hartford Whalers	3	2	W	OT		25	26	1		0		24	37	1		1
39	1997-01-03		Phoenix Coyotes	3	0	W			24	30	2		0		22	27	0		0
40	1997-01-04	@	Hartford Whalers	1	1	T	OT		30	15	0		0		25	15	0		0
41	1997-01-09		New York Rangers	2	0	W			24	18	1		0		25	10	0		0
42	1997-01-11	@	Philadelphia Flyers	3	3	T	OT		31	19	2		0		30	17	1		0
43	1997-01-13		Toronto Maple Leafs	6	3	W			35	12	0		1		30	8	2		0
44	1997-01-15	@	Ottawa Senators	1	5	L			22	56	0		0		28	32	3		0
45	1997-01-20	@	Boston Bruins	3	2	W			26	30	1		0		33	26	0		0
46	1997-01-22		New York Rangers	3	5	L			40	25	0		0		28	17	1		0
47	1997-01-24		Dallas Stars	2	5	L			38	20	1		0		34	14	2		0
48	1997-01-26		Edmonton Oilers	1	3	L			41	15	1		0		25	41	0		0
49	1997-01-29		Philadelphia Flyers	1	2	L			30	25	0		0		27	29	1		0
50	1997-02-01	@	Florida Panthers	3	1	W			27	30	0		0		21	27	1		0
51	1997-02-02	@	Buffalo Sabres	2	2	T	OT		29	21	1		0		24	23	0		0
52	1997-02-07	@	Calgary Flames	2	5	L			27	14	1		0		27	10	1		0
53	1997-02-09	@	Edmonton Oilers	1	4	L			31	22	0		0		33	22	2		0
54	1997-02-11	@	Vancouver Canucks	5	2	W			29	23	1		0		27	11	1		0
55	1997-02-14		Tampa Bay Lightning	5	4	W	OT		24	17	2		0		25	19	1		0
56	1997-02-15	@	Tampa Bay Lightning	1	4	L			39	63	0		0		24	83	1		0
57	1997-02-18		Ottawa Senators	1	6	L			32	4	1		0		29	10	0		0
58	1997-02-22	@	Hartford Whalers	0	2	L			28	9	0		0		21	17	0		0
59	1997-02-24		Boston Bruins	3	3	T	OT		45	16	1		0		26	20	1		0
60	1997-02-26	@	Toronto Maple Leafs	3	1	W			31	8	1		0		29	6	0		0
61	1997-02-28		Mighty Ducks of Anaheim	1	4	L			25	10	0		0		33	6	1		1
62	1997-03-02		New York Islanders	0	2	L			39	18	0		0		19	28	1		0
63	1997-03-04		Calgary Flames	2	1	W			24	10	0		0		21	10	0		0
64	1997-03-06		Colorado Avalanche	6	3	W			30	17	3		0		31	19	0		0
65	1997-03-09	@	Philadelphia Flyers	0	5	L			15	54	0		0		25	50	1		0
66	1997-03-11		Vancouver Canucks	4	1	W			31	15	0		0		17	21	1		0
67	1997-03-12	@	New York Rangers	2	3	L			27	35	0		0		41	33	1		0
68	1997-03-15	@	New Jersey Devils	2	3	L			27	11	0		0		27	11	1		0
69	1997-03-16		Hartford Whalers	5	3	W			23	22	0		0		26	18	3		0
70	1997-03-19		New Jersey Devils	2	2	T	OT		30	16	0		0		31	10	1		0
71	1997-03-21		Buffalo Sabres	1	4	L			31	14	0		0		12	16	1		1
72	1997-03-22	@	Montreal Canadiens	3	1	W			20	14	0		1		29	10	0		0
73	1997-03-25		St. Louis Blues	3	2	W			26	6	1		0		25	4	0		0
74	1997-03-26	@	Chicago Blackhawks	3	5	L			35	6	0		0		20	10	1		0
75	1997-03-29		Philadelphia Flyers	3	5	L			24	6	1		0		27	6	1		0
76	1997-04-01		New Jersey Devils	0	1	L			25	12	0		0		27	10	0		0
77	1997-04-03	@	Ottawa Senators	0	4	L			25	36	0		0		32	14	1		0
78	1997-04-06		Florida Panthers	3	3	T	OT		35	47	1		0		23	30	0		0
79	1997-04-10		Montreal Canadiens	3	2	W			33	8	2		0		23	22	1		0
80	1997-04-12		New York Islanders	6	2	W			38	8	0		0		22	8	1		0
81	1997-04-13	@	Buffalo Sabres	8	3	W			38	24	2		0		24	14	1		1
